Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
CPCT02010352T	9.66E-02	4.63E-01	7.05E-01	6.62E-01	7.68E-01	7.53E-01	6.12E-01	5.08E-01	4.06E-01	3.11E-01	3.81E-01	3.67E-01	4.37E-01
CPCT02010362T	3.98E-01	4.04E-01	7.26E-01	9.65E-01	8.97E-01	7.12E-01	7.53E-01	1.07E+00	2.35E-01	6.08E-01	7.94E-01	3.87E-01	1.45E-01
CPCT02010366T	1.08E-01	1.44E-01	1.47E-01	1.13E-01	4.49E-01	5.82E-01	4.64E-01	8.03E-02	2.26E-01	3.49E-01	0.00E+00	3.15E-01	2.57E-01
CPCT02010383T	3.53E-01	1.76E-01	8.71E-01	6.47E-01	7.50E-01	8.66E-01	6.30E-01	9.18E-01	6.06E-01	1.56E-01	4.34E-01	2.73E-01	1.69E-01
CPCT02050049T	4.34E-01	8.22E-01	8.64E-01	1.10E+00	1.60E+00	7.76E-01	1.41E+00	1.20E+00	2.34E-01	7.22E-01	5.53E-01	3.39E-01	5.20E-01
CPCT02020350T	3.49E-01	1.16E+00	1.13E+00	1.91E+00	1.72E+00	7.95E-01	9.39E-01	1.77E+00	5.35E-01	9.62E-01	6.46E-01	2.63E-01	5.06E-01
CPCT02060023T	9.82E-01	1.90E+00	1.42E+00	3.03E+00	3.23E+00	1.02E+00	1.61E+00	2.44E+00	1.17E+00	2.13E+00	1.34E+00	6.61E-01	1.41E+00
CPCT02080030T	1.95E+00	2.28E+00	1.30E+01	3.13E+00	3.60E+00	2.51E+00	4.96E+00	8.79E-01	1.67E+00	1.85E+00	1.15E+01	1.42E+00	1.04E+00
CPCT02060010T	2.12E+00	1.81E+00	2.42E+00	3.26E+00	2.77E+00	1.09E+00	2.37E+00	2.78E+00	1.30E+00	1.52E+00	1.61E+00	6.81E-01	1.36E+00
CPCT02040037T	7.50E+00	1.64E+01	1.36E+00	4.95E+00	3.84E+00	4.79E+00	1.75E+00	1.75E+00	7.06E-01	1.33E+00	2.12E+00	1.59E+01	1.14E+00
CPCT02070018T	9.33E-01	1.50E+00	1.27E+00	1.58E+00	2.79E+00	1.07E+00	1.25E+00	2.03E+00	1.28E+00	1.86E+00	1.04E+00	5.04E-01	7.48E-01
CPCT02080041T	7.15E-01	1.34E+00	2.41E+00	2.78E+00	4.02E+00	1.55E+00	2.75E+00	2.21E+00	1.54E+00	2.18E+00	1.87E+00	4.09E-01	9.71E-01
CPCT02070029T	2.70E+00	2.20E+00	9.71E-01	3.15E+00	1.95E+00	7.47E-01	1.68E+00	2.85E+00	1.86E+00	1.37E+00	1.47E+00	7.21E-01	6.61E-01
CPCT02060033T	1.13E+00	1.83E+00	1.19E+00	2.95E+00	2.09E+00	1.57E+00	1.89E+00	2.61E+00	1.08E+00	1.54E+00	1.66E+00	9.25E-01	1.48E+00
CPCT02020399T	4.10E+00	5.06E+00	2.65E+00	1.10E+01	4.48E+00	1.61E+00	5.86E+00	8.82E+00	1.28E+00	1.49E+00	2.50E+00	1.36E+00	1.14E+00
CPCT02140024T	5.00E+01	1.35E+01	2.17E+00	6.08E+01	2.97E+00	1.42E+00	5.08E-01	5.71E+00	2.17E+00	1.69E+00	1.19E+00	8.39E-01	4.26E-01
CPCT02080050T	7.48E-01	9.42E-01	1.30E+00	1.99E+00	2.06E+00	1.07E+00	1.21E+00	1.91E+00	7.53E-01	7.25E-01	9.31E-01	0.00E+00	5.40E-01
CPCT02030293T	9.57E-01	1.24E+00	1.20E+00	1.41E+00	1.35E+00	9.81E-01	1.44E+00	1.18E+00	8.54E-01	7.81E-01	7.86E-01	4.80E-01	7.01E-01
CPCT02010441T	6.12E+02	8.21E+01	1.24E+01	6.30E+02	5.69E+00	1.40E+00	1.25E+01	1.16E+01	2.18E+01	5.28E-01	3.69E+00	6.77E+00	2.55E+00
CPCT02090030T	2.09E+00	2.04E+00	1.21E+00	2.00E+00	1.95E+00	1.30E+00	1.25E+00	1.69E+00	1.11E+00	1.09E+00	1.05E+00	4.91E-01	7.18E-01
CPCT02010718T	1.28E+00	1.73E+00	7.44E-01	1.58E+00	2.02E+00	1.36E+00	1.06E+00	1.37E+00	9.42E-01	8.64E-01	9.91E-01	7.37E-01	5.00E-01
CPCT02020653T	6.45E-01	1.08E+00	1.11E+00	1.13E+00	1.86E+00	1.50E+00	1.07E+00	1.27E+00	7.75E-01	1.13E+00	6.95E-01	4.95E-01	5.97E-01
CPCT02340008TII	7.06E-01	1.26E+00	8.95E-01	1.28E+00	1.50E+00	1.64E+00	8.19E-01	1.02E+00	5.34E-01	5.81E-01	6.67E-01	6.82E-01	4.52E-01
CPCT02020876T	6.71E-01	7.43E-01	9.85E-01	1.43E+00	1.78E+00	6.77E-01	8.56E-01	1.33E+00	4.88E-01	8.82E-01	9.22E-01	4.82E-01	0.00E+00
CPCT02370016T	9.35E-01	1.36E+00	1.46E+00	2.96E+00	2.60E+00	1.09E+00	2.13E+00	2.46E+00	6.23E-01	1.56E+00	1.11E+00	5.15E-01	7.83E-01
CPCT02070275T	9.69E-01	1.95E+00	8.53E-01	1.47E+00	1.62E+00	1.32E+00	1.26E+00	1.15E+00	6.93E-01	9.08E-01	8.26E-01	3.73E-01	7.13E-01
CPCT02011028T	2.89E+00	2.06E+00	1.57E+00	3.19E+00	3.05E+00	9.42E-01	2.01E+00	2.33E+00	1.22E+00	1.51E+00	1.45E+00	8.47E-01	1.21E+00
CPCT02230072T	3.61E+02	1.08E+02	1.47E+01	4.56E+02	1.55E+01	7.02E+00	2.64E+01	1.89E+01	1.14E+01	4.78E+00	2.40E+01	6.21E+00	3.30E+00
CPCT02130028T	1.44E+00	1.73E+00	6.57E-01	1.40E+00	1.60E+00	1.10E+00	1.30E+00	9.73E-01	8.48E-01	8.15E-01	8.24E-01	6.53E-01	4.18E-01
CPCT02060182T	4.66E-01	5.82E-01	9.13E-01	8.45E-01	6.61E-01	8.98E-01	8.57E-01	9.11E-01	4.23E-01	6.86E-01	5.91E-01	3.65E-01	4.29E-02
CPCT02020657T	1.57E-01	7.42E-01	8.38E-01	7.81E-01	1.63E+00	1.12E+00	9.37E-01	9.90E-01	6.37E-01	4.34E-01	4.81E-01	5.27E-01	5.94E-01
DRUP01090026T	5.45E-01	9.95E-01	9.70E-01	2.38E+00	1.43E+00	6.88E-01	1.12E+00	2.08E+00	7.02E-01	7.85E-01	1.04E+00	2.68E-01	5.92E-01
CPCT02130029T	1.99E-01	2.40E-01	7.84E-01	8.87E-01	8.23E-01	8.64E-01	9.16E-01	1.03E+00	0.00E+00	3.77E-01	4.71E-01	3.44E-01	6.00E-02
CPCT02340010TII	6.46E+00	2.47E+00	1.00E+00	2.50E+00	3.78E+00	2.49E+00	6.88E-01	4.65E+00	8.32E+00	4.68E+00	1.51E+00	7.01E-01	7.26E-01
DRUP01020022T	3.72E-01	7.81E-01	8.91E-01	1.17E+00	1.28E+00	9.96E-01	1.38E+00	1.47E+00	7.39E-01	7.26E-01	1.10E+00	4.07E-01	6.34E-01
CPCT02120103T	7.76E-01	1.67E+00	7.38E-01	2.44E+00	1.70E+00	1.03E+00	8.11E-01	2.25E+00	9.71E-01	1.51E+00	1.05E+00	4.63E-01	6.22E-01
CPCT02300030T	1.11E+00	1.92E+00	1.12E+00	1.93E+00	1.84E+00	1.31E+00	1.15E+00	1.79E+00	6.04E-01	1.02E+00	9.66E-01	4.53E-01	5.50E-01
CPCT02150044T	5.29E-01	1.12E+00	6.66E-01	1.88E+00	1.34E+00	6.50E-01	1.17E+00	1.66E+00	4.90E-01	8.00E-01	7.47E-01	5.78E-01	2.90E-01
CPCT02020920T	4.55E-01	7.06E-01	1.14E+00	1.64E+00	1.89E+00	8.89E-01	1.21E+00	1.47E+00	6.74E-01	1.11E+00	7.94E-01	6.17E-01	7.69E-01
CPCT02080192T	7.55E-01	1.49E+00	9.68E-01	1.28E+00	2.00E+00	1.42E+00	1.45E+00	1.15E+00	7.77E-01	9.10E-01	8.87E-01	5.05E-01	6.91E-01
CPCT02130170T	3.24E+00	1.15E+00	1.96E+00	4.00E+00	3.74E+00	1.09E+00	3.05E+00	4.09E+00	4.60E+00	2.22E+00	1.54E+00	1.04E+00	4.96E-01
CPCT02260014T	4.07E+00	5.17E+00	1.88E+00	6.60E+00	2.99E+00	1.49E+00	2.03E+00	5.56E+00	1.33E+00	1.01E+00	2.21E+00	3.02E+00	9.82E-01
CPCT02020922T	1.97E-01	9.62E-01	7.80E-01	1.48E+00	1.57E+00	5.59E-01	4.27E-01	1.48E+00	5.11E-01	7.32E-01	1.37E+00	5.10E-01	5.50E-01
CPCT02011072T	5.14E-01	8.20E-01	7.37E-01	8.53E-01	1.03E+00	6.12E-01	5.98E-01	7.69E-01	4.86E-01	4.57E-01	3.26E-01	5.20E-01	2.98E-01
CPCT02010758T	2.44E-01	8.17E-01	1.18E+00	1.83E+00	2.54E+00	1.35E+00	1.14E+00	1.50E+00	7.43E-01	1.35E+00	9.16E-01	5.02E-01	5.64E-01
WIDE01010006T	0.00E+00	5.85E-01	3.44E-01	1.13E+00	7.02E-01	8.71E-01	7.58E-01	1.19E+00	5.44E-01	2.10E-01	7.23E-01	6.28E-01	6.43E-01
CPCT02040220T	5.98E-01	1.32E+00	7.26E-01	6.00E-01	1.76E+00	1.13E+00	7.12E-01	5.74E-01	8.86E-01	1.34E+00	7.11E-01	6.97E-01	6.59E-01
CPCT02100157T	1.98E+00	2.30E+00	9.75E-01	2.68E+00	2.16E+00	1.71E+00	1.26E+00	2.84E+00	1.44E+00	1.00E+00	1.57E+00	5.55E-01	9.80E-01
CPCT02230088T	5.48E+00	2.02E+00	4.06E+01	1.20E+01	6.39E+00	2.79E+00	1.85E+01	1.06E+01	4.88E+00	2.79E+00	3.70E+01	4.47E+00	1.53E+00
CPCT02130178T	4.57E-01	8.65E-01	9.38E-01	1.15E+00	1.53E+00	6.44E-01	9.50E-01	1.48E+00	8.88E-01	1.10E+00	9.59E-01	4.41E-01	3.39E-01
WIDE01010017T	1.08E+00	1.40E+00	1.35E+00	1.88E+00	1.66E+00	9.10E-01	1.59E+00	1.93E+00	9.31E-01	1.34E+00	1.41E+00	4.84E-01	1.09E+00
WIDE01010025T	4.79E-01	9.47E-01	7.93E-01	1.67E+00	9.79E-01	7.53E-01	1.46E+00	1.90E+00	5.22E-01	6.10E-01	7.13E-01	5.31E-01	4.11E-01
WIDE01010028T	3.18E+00	2.52E+00	1.61E+00	3.62E+00	3.20E+00	1.24E+00	2.64E+00	3.95E+00	1.51E+00	2.35E+00	2.26E+00	8.09E-01	1.66E+00
WIDE01010012T	1.27E+00	3.45E+00	1.11E+00	2.84E+00	4.84E+00	1.86E+00	2.56E+00	1.88E+00	9.43E-01	5.24E+00	1.03E+00	6.23E-01	8.71E-01
WIDE01010031T	4.50E+00	6.87E+00	2.28E+00	6.36E+00	2.81E+00	2.45E+00	2.17E+00	5.00E+00	1.43E+00	1.52E+00	1.93E+00	7.49E+00	1.60E+00
CPCT02020956T	2.47E-01	5.82E-01	6.78E-01	8.27E-01	1.07E+00	6.68E-01	1.93E-01	9.56E-01	2.48E-01	3.21E-01	6.32E-01	6.26E-01	7.09E-01
CPCT02010774T	2.81E-01	9.95E-01	1.01E+00	1.85E+00	2.13E+00	9.67E-01	1.29E+00	1.57E+00	3.20E-01	1.00E+00	7.34E-01	0.00E+00	3.16E-01
CPCT02010756T	4.13E-01	3.02E-01	6.55E-01	1.40E+00	1.63E+00	1.08E+00	1.10E+00	1.49E+00	2.26E-01	8.03E-01	8.40E-01	4.10E-01	6.14E-01
WIDE01010045T	6.12E-01	8.90E-01	9.24E-01	5.18E-01	2.29E+00	9.14E-01	1.12E+00	5.02E-01	6.61E-01	1.64E+00	6.23E-01	5.84E-01	7.49E-01
CPCT02080204T	3.55E-01	5.78E-01	9.76E-01	1.03E+00	1.43E+00	9.50E-01	6.58E-01	1.22E+00	5.48E-01	4.28E-01	8.53E-01	3.78E-01	7.50E-01
WIDE01010037T	3.75E+00	4.63E+00	1.63E+00	3.96E+00	2.76E-01	1.15E+00	2.49E+00	4.11E+00	1.68E+00	1.19E+00	2.16E+00	1.79E+00	1.34E+00
WIDE01010056T	2.37E+00	2.73E+00	3.77E-01	3.12E+00	1.89E+00	1.16E+00	1.60E+00	2.04E+00	9.77E-01	1.19E+00	1.12E+00	8.14E-01	1.53E+00
CPCT02070298T	1.91E+00	1.96E+00	1.14E+00	2.13E+00	1.24E+00	8.22E-01	1.44E+00	1.31E+00	9.15E-01	8.78E-01	8.95E-01	6.70E-01	7.24E-01
WIDE01010594T	5.98E-01	1.18E+00	8.08E-01	1.94E+00	2.19E+00	8.67E-01	1.03E+00	1.86E+00	7.00E-01	6.94E-01	8.36E-01	5.88E-01	5.38E-01
WIDE01010078T	5.81E-01	7.12E-01	1.65E+00	1.28E+00	3.51E+00	8.37E-01	2.06E+00	1.52E+00	1.18E+00	2.52E+00	1.12E+00	5.52E-01	8.79E-01
CPCT02130054T	9.71E-01	1.30E+00	1.44E+00	1.82E+00	1.65E+00	1.36E+00	1.14E+00	1.91E+00	8.53E-01	7.19E-01	9.58E-01	0.00E+00	8.92E-01
CPCT02040228T	7.06E-01	1.38E+00	6.45E-01	1.42E+00	1.56E+00	1.24E+00	9.46E-01	1.50E+00	5.67E-01	8.19E-01	7.86E-01	7.00E-01	3.63E-01
WIDE01010051T	6.71E-01	1.38E+00	1.03E+00	2.84E+00	1.71E+00	9.90E-01	2.10E+00	2.22E+00	9.61E-01	7.91E-01	1.38E+00	1.13E+00	8.79E-01
CPCT02050319T	3.91E-01	2.56E-01	5.81E-01	1.08E+00	7.90E-01	1.16E+00	8.58E-01	1.36E+00	1.02E+00	6.32E-01	7.74E-01	2.36E-01	7.39E-01
CPCT02020689T	3.83E-01	1.03E+00	8.59E-01	1.39E+00	2.41E+00	1.42E+00	3.57E-01	1.49E+00	6.38E-01	1.45E+00	8.26E-01	3.67E-01	7.24E-01
WIDE01010043T	7.51E-01	1.11E+00	1.01E+00	1.79E+00	1.73E+00	6.33E-01	1.32E+00	1.36E+00	6.04E-01	1.10E+00	7.62E-01	3.13E-01	5.73E-01
WIDE01010112T	2.06E+00	2.31E+00	1.57E+00	2.14E+00	2.72E+00	1.05E+00	1.73E+00	2.17E+00	1.20E+00	2.07E+00	1.24E+00	6.63E-01	1.01E+00
WIDE01010092T	5.13E-01	1.21E+00	8.38E-01	1.36E+00	1.37E+00	8.67E-01	1.06E+00	1.40E+00	4.73E-01	6.80E-01	9.69E-01	7.24E-01	4.71E-01
WIDE01010119T	1.23E+00	1.84E+00	1.15E+00	2.99E+00	1.77E+00	7.15E-01	1.55E+00	2.67E+00	1.31E+00	1.17E+00	1.33E+00	8.22E-01	2.04E-01
CPCT02170022T	4.06E-01	9.46E-01	4.65E-01	8.51E-01	1.56E+00	1.27E+00	9.29E-01	1.09E+00	6.50E-01	8.04E-01	6.17E-01	2.48E-01	1.48E-01
WIDE01010120T	2.39E-01	8.05E-01	9.49E-01	9.80E-01	1.29E+00	8.24E-01	1.04E+00	9.99E-01	4.60E-01	8.71E-01	6.08E-01	2.51E-01	6.37E-01
WIDE01010127T	5.57E+00	4.72E+00	2.45E+01	1.17E+01	3.41E+00	1.78E+00	9.03E+00	2.34E+00	2.80E+00	2.43E+00	2.33E+01	2.48E+00	1.03E+00
CPCT02300036T	1.14E+00	2.41E+00	1.77E+00	3.07E+00	2.49E+00	1.16E+00	1.61E+00	2.62E+00	9.04E-01	1.66E+00	1.43E+00	5.06E-01	7.41E-01
WIDE01010146T	4.55E-01	7.47E-01	9.78E-01	1.22E+00	1.58E+00	3.27E-01	1.02E+00	1.33E+00	4.73E-01	1.27E+00	7.57E-01	5.21E-01	3.80E-01
CPCT02070309T	5.56E-01	9.49E-01	1.05E+00	2.21E+00	2.15E+00	1.09E+00	1.26E+00	1.80E+00	6.50E-01	1.14E+00	8.21E-01	4.83E-01	4.56E-01
WIDE01010157T	2.19E+00	2.61E+00	1.20E+01	3.81E+00	3.29E+00	1.30E+00	4.53E+00	2.90E+00	1.63E+00	1.79E+00	9.33E+00	1.49E+00	1.28E+00
WIDE01010170T	9.92E-01	1.09E+00	8.95E-01	1.26E+00	7.19E-01	6.98E-01	1.22E+00	1.41E+00	5.85E-01	8.79E-01	1.21E+00	4.77E-01	3.64E-01
CPCT02020696T	3.90E-01	7.62E-01	9.83E-01	9.33E-01	1.93E+00	1.23E+00	2.15E-01	1.08E+00	4.23E-01	8.90E-01	6.69E-01	3.33E-01	4.84E-01
CPCT02030471T	4.33E-01	9.10E-01	6.92E-01	1.43E+00	1.82E+00	1.68E+00	7.12E-01	1.66E+00	9.37E-01	8.65E-01	6.78E-01	2.52E-01	6.46E-01
CPCT02130032T	4.02E-01	5.92E-01	1.06E+00	1.15E+00	1.94E+00	1.31E+00	1.05E+00	1.32E+00	7.93E-01	3.10E-01	8.37E-01	3.70E-01	5.52E-01
CPCT02070310T	4.51E+00	8.15E+00	7.50E-01	3.09E+00	2.86E+00	2.78E+00	1.92E+00	2.53E+00	1.07E+00	1.70E+00	1.44E+00	8.69E+00	1.07E+00
WIDE01010164T	1.34E+00	2.28E+00	2.21E+00	3.63E+00	2.84E+00	1.03E+00	2.64E+00	2.90E+00	3.36E-01	1.65E+00	1.42E+00	1.26E+00	1.03E+00
WIDE01010190T	5.24E-01	1.00E+00	1.33E+00	2.15E+00	1.70E+00	6.72E-01	1.41E+00	1.94E+00	5.03E-02	2.96E-01	8.25E-01	4.41E-01	5.11E-01
WIDE01010182T	2.41E+00	2.78E+00	2.29E+00	3.37E+00	3.52E+00	1.38E+00	2.36E+00	3.10E+00	1.45E+00	2.19E+00	1.63E+00	1.72E+00	8.42E-01
DRUP01050040TII	3.89E+00	3.21E+00	9.86E-01	3.03E+00	3.08E-01	1.73E+00	5.64E+00	1.40E+00	1.03E+00	1.10E+00	3.81E+00	1.79E+00	1.06E+00
WIDE01010225T	1.36E+00	1.91E+00	1.20E+00	4.52E+00	2.85E+00	1.08E+00	3.01E+00	4.11E+00	9.11E-01	7.79E-01	1.29E+00	5.72E-01	4.21E-01
CPCT02050348T	1.06E+00	1.24E+00	1.40E+00	2.25E+00	1.95E+00	9.10E-01	2.09E+00	1.69E+00	5.01E-01	9.84E-01	1.00E+00	3.55E-01	5.93E-01
WIDE01010275T	9.33E-01	1.35E+00	1.58E+00	1.15E+00	2.83E+00	1.07E+00	1.81E+00	1.64E+00	1.32E+00	2.08E+00	7.25E-01	7.08E-01	1.32E+00
CPCT02010810T	6.51E-01	1.19E+00	8.26E-01	1.72E+00	1.39E+00	9.17E-01	9.37E-01	1.62E+00	5.01E-01	6.54E-01	7.50E-01	5.17E-01	4.02E-01
CPCT02060206T	3.19E+00	2.97E+00	2.11E+01	5.33E+00	3.75E+00	2.32E+00	8.59E+00	3.93E+00	1.80E+00	1.89E+00	2.03E+01	2.26E+00	1.30E+00
WIDE01010284T	5.31E-01	9.12E-01	9.34E-01	1.34E+00	5.17E-01	6.31E-01	1.27E+00	1.46E+00	4.67E-01	3.58E-01	5.27E-01	2.86E-01	5.92E-01
WIDE01010330T	4.90E-01	1.01E+00	7.45E-01	1.40E+00	1.18E+00	5.61E-01	1.04E+00	1.11E+00	5.90E-01	5.66E-01	6.96E-01	2.23E-01	3.55E-01
WIDE01010312T	3.69E+00	2.41E+00	1.93E+01	6.18E+00	4.02E+00	1.62E+00	7.39E+00	2.38E+00	2.18E+00	1.81E+00	1.80E+01	2.21E+00	7.08E-01
WIDE01010317T	2.24E+00	4.49E+00	2.15E+00	4.27E+00	4.76E+00	2.03E+00	3.63E+00	2.62E+00	1.21E+00	6.16E+00	1.62E+00	1.32E+00	5.06E-01
WIDE01010337T	1.18E+00	2.49E+00	3.06E+00	3.86E+00	2.96E+00	1.22E+00	2.13E+00	3.84E+00	7.43E-01	1.61E+00	2.38E+00	1.13E+00	1.34E-01
CPCT02220043T	3.46E+00	5.58E+00	3.46E+00	9.26E+00	5.05E+00	2.21E+00	6.20E+00	6.75E+00	1.49E+00	2.12E+00	6.15E+00	3.76E+00	9.00E-01
CPCT02130094T	1.26E+00	2.43E+00	2.12E+00	1.94E+00	3.76E+00	1.34E+00	1.71E+00	1.92E+00	1.55E+00	2.57E+00	1.25E+00	8.04E-01	1.09E+00
WIDE01010329T	3.86E+00	4.03E+00	1.02E+01	6.28E+00	3.92E+00	2.06E+00	5.00E+00	4.76E+00	1.71E+00	3.45E+00	9.52E+00	1.59E+00	1.26E+00
WIDE01010331T	4.60E-01	9.24E-01	5.00E-01	9.98E-01	1.15E+00	7.98E-01	5.09E-01	1.19E+00	5.43E-01	3.72E-01	6.97E-01	6.02E-01	4.92E-01
CPCT02010828T	1.62E+00	2.31E+00	5.31E+00	3.69E+00	3.04E+00	1.52E+00	3.23E+00	3.15E+00	1.01E+00	1.37E+00	4.14E+00	9.10E-01	1.15E+00
WIDE01010101T	2.00E+00	2.71E+00	1.30E+01	2.96E+00	3.15E+00	1.39E+00	5.05E+00	1.65E+00	1.83E+00	1.84E+00	1.13E+01	1.73E+00	8.83E-01
WIDE01010349T	2.71E-01	8.67E-01	1.11E+00	1.62E+00	1.78E+00	7.24E-01	1.19E+00	1.42E+00	1.96E-01	8.32E-01	8.35E-01	4.92E-01	5.27E-01
WIDE01010342T	6.01E-01	1.34E+00	1.05E+00	1.52E+00	1.54E+00	8.25E-01	7.70E-01	1.43E+00	6.06E-01	8.07E-01	7.81E-01	8.10E-01	6.05E-01
WIDE01010359T	3.03E-01	7.26E-01	7.29E-01	9.86E-01	7.02E-01	8.35E-01	8.99E-01	1.21E+00	4.30E-01	5.12E-01	7.12E-01	5.39E-01	4.78E-01
WIDE01010370T	4.35E-01	0.00E+00	1.18E+00	1.33E+00	1.74E+00	6.37E-01	1.26E+00	1.34E+00	6.81E-01	9.38E-01	8.70E-01	3.96E-01	4.29E-01
WIDE01010369T	6.57E-01	1.64E+00	9.61E-01	1.72E+00	1.68E+00	7.11E-01	6.75E-01	1.67E+00	6.47E-01	9.49E-01	8.98E-01	3.96E-01	5.21E-01
CPCT02340084T	2.02E+00	2.08E+00	2.76E+00	3.12E+00	2.50E+00	9.45E-01	2.44E+00	2.07E+00	7.19E-01	1.08E+00	2.25E+00	6.73E-01	4.57E-01
DRUP01030015T	1.22E+00	3.38E+00	3.36E+00	1.93E+00	2.09E+00	1.49E+00	4.85E+00	1.64E+00	1.04E+00	1.35E+00	6.33E+00	6.24E-01	7.68E-01
CPCT02060236T	4.09E-01	8.34E-01	8.08E-01	1.14E+00	1.34E+00	1.16E+00	8.33E-01	1.34E+00	5.86E-01	5.46E-01	9.18E-01	3.24E-01	5.73E-01
CPCT02120125T	1.63E+00	2.30E+00	1.18E+01	3.42E+00	2.25E+00	1.28E+00	4.70E+00	2.70E+00	1.48E+00	8.49E-01	9.89E+00	1.26E+00	1.11E+00
CPCT02230098T	1.08E+01	6.86E+00	1.82E-01	6.69E+00	8.03E-01	1.89E+00	2.58E+00	2.28E+00	1.28E+00	7.08E-01	8.12E-01	9.70E-01	1.32E+00
DRUP01090015T	1.33E-01	8.92E-02	9.40E-01	8.18E-01	1.13E+00	1.32E+00	9.66E-01	1.13E+00	6.86E-01	4.92E-01	7.32E-01	4.65E-01	5.03E-01
