Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
SP103535	1.18E+00	1.60E+01	8.19E+00	1.60E+01	1.38E+01	1.08E+00	3.81E+00	6.03E-01	1.41E+01	1.05E+00	1.11E+00
SP102718	9.00E-01	9.97E+00	7.29E+00	6.39E+00	9.93E+00	8.03E-01	3.58E+00	3.54E-01	4.81E+00	1.56E+00	9.00E-01
SP103483	6.07E-01	6.60E+00	5.08E+00	3.93E+00	5.31E+00	4.92E-01	1.53E+00	2.36E-01	2.29E+00	1.01E+00	4.94E-01
SP103428	9.38E-01	1.22E+01	9.24E+00	7.58E+00	1.17E+01	8.18E-01	3.17E+00	5.95E-01	5.68E+00	1.77E+00	1.01E+00
SP102755	1.57E+00	2.69E+01	1.97E+01	1.51E+01	2.64E+01	7.76E-01	8.18E+00	0.00E+00	1.03E+01	2.92E+00	1.80E+00
SP103694	1.45E+00	1.83E+01	1.40E+01	1.10E+01	1.63E+01	8.14E-01	5.79E+00	6.60E-01	9.95E+00	3.01E+00	1.02E+00
SP103595	6.18E-01	7.07E+00	4.57E+00	4.13E+00	6.89E+00	5.95E-01	2.41E+00	4.56E-01	2.52E+00	1.69E+00	7.87E-01
SP103396	1.41E-01	5.56E+00	4.12E+00	3.53E+00	5.84E+00	3.11E-01	2.12E+00	1.85E-01	1.49E+00	9.03E-01	3.15E-02
SP102716	4.67E-01	5.56E+00	4.17E+00	3.32E+00	5.18E+00	3.63E-01	1.09E+00	2.01E-01	2.06E+00	7.59E-01	3.57E-01
SP102733	6.06E-01	3.72E+00	2.98E+00	2.99E+00	4.25E+00	6.53E-01	2.11E+00	5.36E-01	2.83E+00	1.72E+00	1.28E+00
SP102989	8.66E-01	9.61E+00	6.85E+00	5.60E+00	9.89E+00	1.10E+00	3.49E+00	3.49E-01	2.95E+00	2.08E+00	9.50E-01
SP103603	9.87E-01	1.15E+01	7.02E+00	5.28E+00	1.07E+01	8.28E-01	3.86E+00	3.78E-01	3.81E+00	1.50E+00	3.10E-01
SP102921	6.20E-01	6.46E+00	4.92E+00	4.45E+00	7.01E+00	7.21E-01	2.74E+00	4.80E-01	3.31E+00	1.83E+00	1.94E-01
SP103742	1.03E+00	1.10E+01	7.70E+00	7.50E+00	1.13E+01	1.16E+00	4.10E+00	4.62E-01	6.11E+00	2.29E+00	8.87E-01
SP103555	4.33E-01	1.08E+00	5.71E-01	1.48E+00	1.53E+00	3.05E-01	6.69E-01	0.00E+00	6.95E-01	9.18E-01	4.19E-01
SP103523	3.74E-01	5.34E+00	3.40E+00	3.95E+00	5.64E+00	4.95E-01	2.50E+00	3.19E-01	2.61E+00	1.04E+00	4.38E-01
SP103575	6.91E-01	7.69E+00	4.99E+00	5.15E+00	6.93E+00	9.69E-01	2.47E+00	2.75E-01	3.26E+00	1.77E+00	1.04E+00
SP103045	7.26E-01	1.08E+01	7.29E+00	6.67E+00	1.14E+01	5.06E-01	3.06E+00	5.27E-01	4.14E+00	1.53E+00	6.81E-01
SP103455	1.04E+00	1.00E+01	6.76E+00	6.72E+00	8.83E+00	8.82E-01	3.20E+00	5.64E-01	5.52E+00	1.99E+00	1.03E+00
SP103856	2.85E-01	2.65E+00	1.86E+00	2.17E+00	2.72E+00	1.93E-01	9.23E-01	0.00E+00	1.04E+00	9.90E-01	3.42E-01
CPCT02020340T	6.59E-01	1.07E+01	5.91E+00	6.85E+00	1.06E+01	8.66E-01	4.73E+00	1.18E+00	5.16E+00	1.87E+00	1.20E+00
CPCT02140010T	9.12E-01	8.07E+00	5.24E+00	5.87E+00	7.37E+00	9.13E-01	3.05E+00	1.19E+00	4.87E+00	1.45E+00	1.28E+00
CPCT02110007T	1.16E+00	8.84E+00	7.49E+00	6.48E+00	9.75E+00	1.24E+00	3.14E+00	1.69E+00	6.16E+00	2.55E+00	2.21E+00
CPCT02140015T	1.06E+00	7.19E+00	4.15E+00	4.14E+00	6.11E+00	1.13E+00	2.38E+00	1.81E+00	2.86E+00	1.83E+00	1.38E+00
CPCT02020376T	7.47E-01	4.28E+00	2.53E+00	1.85E+00	4.38E+00	1.36E+00	3.02E+00	1.16E+00	2.40E+00	1.43E+00	7.16E-01
CPCT02050051T	8.92E-01	6.70E+00	4.99E+00	4.50E+00	5.46E+00	1.03E+00	2.52E+00	1.36E+00	2.88E+00	1.46E+00	9.29E-01
CPCT02140017T	1.71E+00	1.68E+01	1.30E+01	9.31E+00	1.52E+01	2.07E+00	4.92E+00	1.77E+00	5.71E+00	2.71E+00	1.90E+00
CPCT02040048T	1.39E+00	1.56E+01	1.30E+01	9.34E+00	1.48E+01	1.41E+00	5.02E+00	1.70E+00	8.70E+00	3.70E+00	3.15E+00
CPCT02060029T	1.26E+00	6.19E+00	4.85E+00	4.10E+00	5.16E+00	2.40E+00	2.64E+00	1.03E+00	2.71E+00	1.46E+00	1.52E+00
CPCT02060039T	9.97E-01	7.48E+00	4.51E+00	5.53E+00	8.22E+00	8.93E-01	2.62E+00	9.27E-01	4.22E+00	1.30E+00	1.91E+00
CPCT02050077T	1.27E+00	9.25E+00	6.26E+00	5.32E+00	8.16E+00	1.26E+00	3.33E+00	1.39E+00	3.93E+00	1.53E+00	1.30E+00
CPCT02060050T	1.23E+00	1.14E+01	8.71E+00	6.39E+00	1.14E+01	1.37E+00	2.81E+00	1.21E+00	4.13E+00	2.65E+00	1.72E+00
CPCT02020866T	8.01E-01	5.94E+00	3.31E+00	4.11E+00	4.52E+00	7.72E-01	2.88E+00	1.17E+00	3.44E+00	1.39E+00	1.86E+00
CPCT02120177T	9.46E-01	8.96E+00	6.58E+00	5.56E+00	7.20E+00	6.73E-01	1.76E+00	1.01E+00	4.18E+00	1.36E+00	1.27E+00
CPCT02140095T	1.59E+00	1.58E+01	1.08E+01	1.04E+01	1.24E+01	1.44E+00	3.40E+00	1.23E+00	6.99E+00	2.66E+00	5.44E+00
CPCT02120176T	1.81E+00	1.09E+01	8.30E+00	6.27E+00	8.15E+00	2.50E+00	3.14E+00	8.09E-01	6.21E+00	3.26E+00	1.88E+00
CPCT02120085T	8.59E-01	6.17E+00	4.02E+00	4.13E+00	5.81E+00	1.23E+00	2.86E+00	1.96E+00	2.59E+00	1.61E+00	1.20E+00
CPCT02100138T	1.15E+00	6.00E+00	4.09E+00	3.80E+00	5.54E+00	1.62E+00	2.38E+00	1.23E+00	3.04E+00	1.59E+00	1.95E+00
CPCT02080177T	1.10E+00	6.13E+00	5.22E+00	3.96E+00	6.47E+00	2.06E+00	2.56E+00	1.29E+00	3.83E+00	1.72E+00	1.79E+00
CPCT02230079T	1.39E+00	1.07E+01	8.77E+00	5.80E+00	9.60E+00	1.75E+00	3.91E+00	1.53E+00	5.10E+00	1.84E+00	3.00E+00
CPCT02340107T	1.44E+00	7.76E+00	5.24E+00	6.10E+00	6.94E+00	1.96E+00	2.36E+00	1.08E+00	4.53E+00	1.49E+00	1.77E+00
CPCT02120096T	9.31E-01	1.11E+01	8.30E+00	6.80E+00	1.06E+01	1.03E+00	3.30E+00	2.05E+00	3.47E+00	1.28E+00	1.28E+00
CPCT02120102T	3.99E-01	2.70E+00	2.32E+00	1.32E+00	2.36E+00	5.02E-01	1.10E+00	6.65E-01	1.07E+00	7.57E-01	4.74E-01
CPCT02440023T	1.35E+00	1.12E+01	7.79E+00	7.39E+00	9.57E+00	1.34E+00	3.91E+00	1.45E+00	4.74E+00	3.02E+00	2.58E+00
CPCT02160060T	9.62E-01	1.09E+01	7.67E+00	6.65E+00	9.77E+00	1.00E+00	2.93E+00	1.08E+00	4.55E+00	1.02E+00	1.99E+00
CPCT02180055T	7.94E-01	4.63E+00	3.22E+00	3.58E+00	4.54E+00	1.29E+00	2.01E+00	1.10E+00	2.45E+00	1.39E+00	9.60E-01
CPCT02140104T	9.88E-01	3.10E+00	2.57E+00	2.27E+00	3.05E+00	1.22E+00	1.74E+00	7.99E-01	1.72E+00	1.33E+00	1.59E+00
CPCT02140105T	1.08E+00	1.05E+01	7.43E+00	5.70E+00	8.37E+00	1.29E+00	2.53E+00	1.07E+00	3.79E+00	2.63E+00	2.55E+00
CPCT02190055T	1.41E+00	8.83E+00	5.85E+00	6.40E+00	8.35E+00	1.50E+00	3.81E+00	1.29E+00	5.66E+00	2.85E+00	2.57E+00
CPCT02030551TII	1.71E+00	5.13E+00	5.38E+00	5.04E+00	7.69E+00	3.84E+00	4.31E+00	1.71E+00	4.98E+00	2.43E+00	4.92E+00
CPCT02050317T	3.68E-01	1.42E+00	1.35E+00	1.60E+00	2.44E+00	7.24E-01	1.57E+00	1.64E+00	1.50E+00	1.07E+00	8.23E-01
CPCT02180078T	7.45E-01	8.03E+00	5.44E+00	5.21E+00	7.07E+00	7.57E-01	3.10E+00	8.85E-01	4.35E+00	1.64E+00	1.29E+00
CPCT02220075T	7.85E-01	8.73E+00	6.77E+00	4.60E+00	8.18E+00	1.17E+00	2.46E+00	1.03E+00	2.66E+00	1.72E+00	1.23E+00
CPCT02230085T	1.24E+00	1.10E+01	8.56E+00	6.32E+00	1.04E+01	1.78E+00	4.00E+00	1.47E+00	5.93E+00	2.51E+00	2.12E+00
CPCT02120195T	9.55E-01	1.03E+01	6.33E+00	6.47E+00	9.84E+00	1.12E+00	4.04E+00	9.57E-01	4.41E+00	1.29E+00	1.05E+00
CPCT02080302T	1.16E+00	1.14E+01	8.25E+00	6.94E+00	1.02E+01	1.67E+00	3.40E+00	1.39E+00	6.11E+00	3.07E+00	1.41E+00
CPCT02070470T	5.90E-01	3.55E+00	2.68E+00	2.05E+00	2.84E+00	5.56E-01	1.58E+00	7.99E-01	1.16E+00	1.14E+00	1.02E+00
CPCT02300034T	9.20E-01	1.18E+01	9.18E+00	5.81E+00	9.57E+00	1.37E+00	3.04E+00	1.67E+00	5.08E+00	1.70E+00	1.37E+00
CPCT02020955T	8.52E-01	5.79E+00	4.00E+00	3.72E+00	5.01E+00	1.05E+00	1.90E+00	1.01E+00	3.10E+00	1.50E+00	1.59E+00
CPCT02020965T	9.98E-01	7.89E+00	5.38E+00	4.97E+00	6.69E+00	1.10E+00	2.98E+00	1.13E+00	3.44E+00	1.51E+00	1.57E+00
CPCT02140094TII	1.67E+00	1.42E+01	8.30E+00	8.50E+00	1.53E+01	1.95E+00	8.10E+00	1.87E+00	7.04E+00	2.49E+00	5.97E+00
CPCT02210083T	2.33E-01	2.03E+00	2.26E+00	2.29E+00	2.50E+00	9.04E-01	7.17E-01	9.38E-01	1.76E+00	1.24E+00	1.65E+00
CPCT02100200T	1.23E+00	1.08E+01	8.62E+00	8.50E+00	1.00E+01	1.24E+00	3.89E+00	8.50E-01	5.27E+00	2.77E+00	1.79E+00
CPCT02140106T	7.60E-01	4.35E+00	3.33E+00	3.34E+00	3.66E+00	9.13E-01	1.60E+00	8.72E-01	2.38E+00	1.28E+00	1.39E+00
CPCT02140059T	1.32E+00	1.34E+01	1.04E+01	6.66E+00	9.84E+00	9.87E-01	3.01E+00	1.28E+00	5.28E+00	1.88E+00	2.19E+00
WIDE01010156T	4.81E-01	2.89E+00	1.99E+00	1.90E+00	2.32E+00	7.30E-01	1.46E+00	7.17E-01	1.49E+00	1.26E+00	1.04E+00
CPCT02100174T	1.11E+00	7.38E+00	4.01E+00	4.06E+00	6.99E+00	1.02E+00	2.77E+00	1.43E+00	3.03E+00	2.50E+00	1.28E+00
CPCT02120200T	5.96E-01	4.50E+00	2.82E+00	2.43E+00	3.46E+00	5.98E-01	1.59E+00	8.16E-01	2.08E+00	1.41E+00	1.09E+00
CPCT02140070T	1.08E+00	4.20E+00	1.45E+00	2.35E+00	3.34E+00	1.50E+00	2.45E+00	1.60E+00	1.90E+00	1.21E+00	1.50E+00
CPCT02040248T	8.12E-01	7.16E+00	4.22E+00	4.01E+00	6.37E+00	1.22E+00	2.85E+00	1.91E+00	4.12E+00	1.73E+00	2.66E+00
CPCT02060149T	8.61E-01	5.50E+00	3.33E+00	2.96E+00	4.64E+00	9.73E-01	2.63E+00	1.54E+00	2.22E+00	1.15E+00	1.31E+00
CPCT02020718T	8.97E-01	6.63E+00	4.70E+00	4.42E+00	5.74E+00	1.23E+00	2.53E+00	1.24E+00	3.01E+00	1.14E+00	9.66E-01
CPCT02230096T	1.51E+00	1.14E+01	8.43E+00	5.51E+00	9.75E+00	2.17E+00	3.91E+00	1.42E+00	4.77E+00	2.67E+00	2.08E+00
CPCT02180064T	8.70E-01	6.13E+00	4.06E+00	3.89E+00	5.30E+00	9.53E-01	2.40E+00	1.49E+00	2.96E+00	1.52E+00	1.48E+00
CPCT02020764T	1.05E+00	7.79E+00	5.80E+00	3.88E+00	6.24E+00	2.34E+00	3.19E+00	2.51E+00	4.39E+00	1.75E+00	7.87E-01
CPCT02440012T	8.82E-01	1.01E+01	7.46E+00	5.54E+00	9.65E+00	1.26E+00	3.78E+00	1.82E+00	3.68E+00	2.65E+00	1.41E+00
CPCT02020752T	8.19E-01	6.27E+00	4.16E+00	3.39E+00	5.56E+00	1.22E+00	2.20E+00	1.01E+00	2.12E+00	1.09E+00	8.03E-01
CPCT02140071T	8.12E-01	6.90E+00	4.58E+00	5.06E+00	5.48E+00	1.02E+00	2.63E+00	1.82E+00	3.88E+00	1.82E+00	9.64E-01
CPCT02140074T	1.05E+00	9.02E+00	6.91E+00	5.12E+00	7.41E+00	1.18E+00	2.58E+00	1.33E+00	3.97E+00	1.78E+00	1.37E+00
CPCT02140017TII	1.48E+00	1.73E+01	1.27E+01	9.45E+00	1.48E+01	1.89E+00	4.65E+00	1.99E+00	5.59E+00	3.13E+00	1.96E+00
CPCT02120143T	8.66E-01	7.52E+00	5.08E+00	4.51E+00	6.34E+00	1.18E+00	2.78E+00	1.39E+00	4.04E+00	1.68E+00	1.20E+00
CPCT02030431T	7.68E-01	5.49E+00	3.93E+00	3.29E+00	4.60E+00	1.13E+00	1.31E+00	1.32E+00	2.45E+00	1.22E+00	1.15E+00
CPCT02180067T	3.69E-01	4.71E+00	3.14E+00	3.17E+00	4.48E+00	1.18E+00	1.85E+00	1.37E+00	2.21E+00	1.14E+00	1.03E+00
CPCT02160052T	9.87E-01	1.03E+01	8.90E+00	6.13E+00	9.45E+00	9.62E-01	3.04E+00	1.68E+00	3.95E+00	2.19E+00	2.07E+00
CPCT02140080T	6.31E-01	3.20E+00	2.15E+00	2.14E+00	2.79E+00	1.15E+00	1.71E+00	1.02E+00	1.54E+00	7.38E-01	6.67E-01
CPCT02170036T	2.33E+00	1.09E+00	9.50E-01	4.36E-01	2.51E+00	2.92E+00	1.25E+00	1.66E+00	2.10E+00	9.93E-01	1.40E+00
CPCT02290045T	6.21E-01	4.75E+00	3.09E+00	3.07E+00	4.12E+00	1.00E+00	2.11E+00	1.27E+00	1.87E+00	1.58E+00	1.19E+00
CPCT02060269T	9.79E-01	5.76E+00	3.71E+00	4.21E+00	5.53E+00	1.06E+00	2.03E+00	1.18E+00	3.07E+00	1.48E+00	1.40E+00
CPCT02230113T	4.75E-01	1.49E+00	9.83E-01	1.74E+00	2.20E+00	1.01E+00	8.68E-01	1.09E+00	1.06E+00	1.17E+00	1.18E+00
CPCT02050407T	8.42E-01	5.78E+00	3.77E+00	3.61E+00	4.15E+00	1.29E+00	2.17E+00	1.55E+00	2.95E+00	1.43E+00	1.06E+00
CPCT02030543T	1.16E+00	8.79E+00	5.51E+00	5.52E+00	8.41E+00	1.51E+00	4.19E+00	1.83E+00	3.11E+00	1.99E+00	2.21E+00
CPCT02190050T	1.04E+00	8.67E+00	5.98E+00	5.60E+00	7.01E+00	1.37E+00	2.88E+00	1.57E+00	4.62E+00	1.71E+00	1.94E+00
CPCT02140087T	6.68E-01	8.55E+00	5.99E+00	5.06E+00	8.03E+00	8.67E-01	3.47E+00	1.34E+00	3.42E+00	1.43E+00	1.32E+00
CPCT02100190T	1.13E+00	8.08E+00	4.89E+00	4.37E+00	6.32E+00	2.16E+00	3.34E+00	2.43E+00	3.45E+00	1.32E+00	2.16E+00
CPCT02140094T	8.44E-01	7.39E+00	4.33E+00	3.56E+00	7.28E+00	9.56E-01	4.07E+00	2.77E+00	1.89E+00	9.46E-01	6.73E-01
CPCT02130164T	7.52E-01	6.84E+00	4.65E+00	4.40E+00	5.47E+00	7.66E-01	2.66E+00	9.83E-01	2.42E+00	1.78E+00	1.39E+00
CPCT02140093T	1.11E+00	1.29E+01	1.01E+01	8.96E+00	1.20E+01	1.28E+00	1.88E+00	9.70E-01	5.16E+00	1.86E+00	1.09E+00
CPCT02020592T	6.10E-01	3.16E+00	1.63E+00	1.31E+00	2.36E+00	6.00E-01	2.00E+00	1.70E+00	1.16E+00	9.14E-01	4.20E-01
CPCT02180076T	6.10E-01	4.21E+00	2.37E+00	2.74E+00	3.84E+00	7.18E-01	1.91E+00	7.19E-01	1.80E+00	1.09E+00	1.36E+00
CPCT02020865T	1.15E+00	1.23E+01	8.23E+00	8.48E+00	1.21E+01	9.89E-01	4.20E+00	1.19E+00	7.55E+00	2.62E+00	2.70E+00
CPCT02230059T	7.53E-01	5.07E+00	3.49E+00	3.44E+00	5.24E+00	9.43E-01	2.24E+00	1.57E+00	2.66E+00	1.58E+00	1.06E+00
CPCT02180022T	1.35E+00	5.09E+00	4.21E+00	3.76E+00	4.61E+00	1.99E+00	2.28E+00	1.08E+00	3.40E+00	1.30E+00	1.71E+00
CPCT02120014T	1.37E+00	8.70E+00	5.82E+00	5.12E+00	8.52E+00	1.24E+00	3.63E+00	1.52E+00	4.34E+00	1.96E+00	2.22E+00
CPCT02180033T	8.44E+01	3.20E+00	3.87E+00	8.43E+00	8.83E+01	6.67E+01	1.71E+00	2.42E+00	7.30E+01	8.56E+00	4.48E+00
CPCT02140046T	1.29E+00	5.96E+00	4.23E+00	3.12E+00	4.42E+00	1.39E+00	2.46E+00	1.12E+00	1.93E+00	1.27E+00	1.03E+00
CPCT02080111T	1.55E+00	2.71E+00	4.21E-01	6.91E+00	2.74E+00	2.40E+00	4.68E+00	1.46E+00	2.18E+01	1.74E+01	2.03E+00
CPCT02120027T	1.64E+00	6.73E+00	5.08E+00	4.64E+00	5.21E+00	1.68E+00	2.50E+00	1.06E+00	3.36E+00	1.73E+00	1.84E+00
CPCT02140042TII	6.77E-01	3.20E+00	1.87E+00	2.31E+00	2.80E+00	7.11E-01	1.71E+00	6.95E-01	2.06E+00	8.05E-01	1.07E+00
CPCT02070169T	7.19E-01	4.06E+00	1.79E+00	3.16E+00	3.50E+00	6.09E-01	2.00E+00	1.19E+00	2.04E+00	4.72E-01	1.47E+00
CPCT02160024T	1.08E+00	7.91E+00	5.94E+00	5.73E+00	8.46E+00	1.59E+00	3.52E+00	9.83E-01	4.37E+00	2.02E+00	1.39E+00
CPCT02020566T	6.72E-02	0.00E+00	1.45E-01	2.86E-01	3.37E-01	2.57E-01	1.49E-01	7.28E-01	7.92E-01	5.10E-01	3.00E-01
CPCT02230033T	7.47E-01	5.08E+00	4.12E+00	3.34E+00	5.06E+00	1.16E+00	1.89E+00	1.19E+00	2.46E+00	1.34E+00	1.46E+00
CPCT02030356T	1.06E+00	8.03E+00	5.01E+00	5.10E+00	7.36E+00	7.22E-01	3.73E+00	1.47E+00	3.34E+00	1.68E+00	9.98E-01
CPCT02090021T	1.01E+00	9.36E+00	7.21E+00	6.25E+00	8.25E+00	1.06E+00	3.58E+00	2.15E+00	4.67E+00	9.10E-01	1.52E+00
CPCT02330047T	7.78E-01	8.30E+00	5.66E+00	4.49E+00	6.04E+00	1.09E+00	2.25E+00	2.18E+00	3.42E+00	1.85E+00	2.08E+00
CPCT02100107T	1.17E+00	1.03E+01	7.49E+00	5.67E+00	8.68E+00	1.79E+00	3.41E+00	2.33E+00	4.38E+00	3.04E+00	2.11E+00
CPCT02020580T	9.18E-01	4.08E+00	2.53E+00	2.67E+00	3.85E+00	1.09E+00	2.63E+00	2.11E+00	1.93E+00	1.34E+00	9.50E-01
CPCT02180003T	3.96E-01	1.49E+00	8.62E-01	1.19E+00	1.64E+00	5.37E-01	1.83E+00	1.73E+00	1.12E+00	8.69E-01	6.57E-01
CPCT02020414T	1.13E+00	7.65E+00	5.73E+00	4.88E+00	6.96E+00	1.26E+00	2.89E+00	1.54E+00	3.42E+00	1.51E+00	1.96E+00
CPCT02050087T	8.03E-01	5.82E+00	3.36E+00	3.02E+00	4.43E+00	1.27E+00	2.19E+00	1.23E+00	2.30E+00	1.44E+00	1.29E+00
CPCT02010458T	7.15E-01	2.03E+00	1.56E+00	1.86E+00	2.86E+00	1.19E+00	2.36E+00	1.24E+00	1.79E+00	1.47E+00	2.15E+00
CPCT02020447T	1.13E+00	6.26E+00	3.88E+00	3.35E+00	4.50E+00	1.61E+00	2.41E+00	9.91E-01	2.24E+00	1.75E+00	1.39E+00
CPCT02060067T	9.58E-01	5.31E+00	3.93E+00	3.74E+00	5.57E+00	1.31E+00	4.47E+00	1.67E+00	2.80E+00	1.57E+00	2.06E+00
CPCT02020480T	1.04E+00	8.00E+00	6.03E+00	4.30E+00	7.42E+00	8.52E-01	2.60E+00	1.15E+00	3.76E+00	1.69E+00	1.49E+00
CPCT02140042T	1.06E+00	7.26E+00	4.87E+00	4.72E+00	7.10E+00	1.53E+00	3.19E+00	8.12E-01	3.11E+00	1.71E+00	1.58E+00
CPCT02120002T	7.91E-01	6.83E+00	5.27E+00	4.68E+00	5.65E+00	9.19E-01	2.21E+00	9.82E-01	3.96E+00	1.84E+00	1.50E+00
CPCT02030332T	9.91E-01	6.21E+00	3.56E+00	3.66E+00	5.09E+00	1.24E+00	2.31E+00	1.30E+00	2.68E+00	1.98E+00	2.06E+00
CPCT02230015T	1.18E+00	7.23E+00	4.65E+00	4.33E+00	6.29E+00	9.97E-01	2.53E+00	1.04E+00	3.31E+00	1.84E+00	1.19E+00
CPCT02060138T	1.24E+00	1.62E+01	9.31E+00	9.39E+00	1.62E+01	1.71E+00	6.66E+00	2.55E+00	6.44E+00	1.94E+00	1.33E+00
CPCT02360007T	2.52E+02	8.21E+00	1.23E+01	2.21E+01	2.73E+02	1.88E+02	1.83E+00	5.54E+00	2.38E+02	3.00E-01	1.51E+01
CPCT02040181T	1.30E+00	1.38E+01	8.87E+00	7.12E+00	1.12E+01	1.14E+00	4.37E+00	1.76E+00	6.57E+00	1.16E+00	1.81E+00
CPCT02300027T	1.09E+00	1.07E+01	8.17E+00	7.07E+00	1.03E+01	1.07E+00	3.18E+00	1.43E+00	4.23E+00	1.34E+00	1.04E+00
CPCT02120090T	7.49E-01	6.88E+00	5.89E+00	3.99E+00	6.63E+00	9.77E-01	2.36E+00	1.49E+00	2.77E+00	1.28E+00	9.29E-01
WIDE01010520T	1.30E+00	1.07E+01	6.19E+00	7.31E+00	1.01E+01	1.29E+00	4.57E+00	1.33E+00	4.59E+00	2.38E+00	2.04E+00
WIDE01010600T	4.47E-01	4.89E+00	3.18E+00	2.75E+00	4.29E+00	4.36E-01	1.46E+00	7.89E-01	1.78E+00	1.41E+00	1.21E+00
WIDE01010710T	2.78E+00	6.50E+00	4.21E+00	5.78E+00	6.04E+00	2.88E+00	3.62E+00	1.37E+00	4.57E+00	2.45E+00	1.85E+00
WIDE01010727T	6.23E-01	3.38E+00	2.29E+00	2.77E+00	3.18E+00	7.43E-01	1.53E+00	9.54E-01	2.03E+00	8.49E-01	1.20E+00
