Samples	ID83A	ID83B	ID83C	ID83D	ID83E
SP117655	463	376	625	0	0
SP117556	172	489	125	0	0
SP117627	56	228	144	3	26
SP117775	299	298	334	12	39
SP117332	16	41	72	4	21
SP117712	26	159	304	1	37
SP117017	11	234	106	10	24
SP117031	205	577	107	0	53
SP117759	521	642	379	0	0
SP117621	133	392	308	5	29
SP117425	129	182	279	0	0
SP117930	311	1167	172	0	0
SP99287	0	59	107	0	0
SP99293	15	50	231	10	8
SP99289	29	133	514	1	48
SP99297	0	5	12	6	0
SP99301	953	135	189	0	0
SP99305	10	93	128	12	22
SP99309	17	249	226	0	0
SP99313	5	52	202	44	241
SP99317	0	0	37	0	0
SP99321	43	101	88	1	13
SP99325	119878	6194	0	0	0
SP99329	0	0	82	0	438
SP99333	5	148	78	4	15
SP99337	20	312	108	0	0
SP99341	10	223	85	7	9
SP99345	0	9	36	0	10
SP99113	0	0	79	0	0
SP99185	8	20	379	1	25
SP99209	12	144	334	3	43
SP99213	96	302	112	13	14
SP99221	0	0	48	0	0
SP99225	11	51	115	0	20
SP99241	47	118	514	19	160
CPCT02020318T	132	216	70	78	6
CPCT02010377T	26	295	161	78	36
CPCT02060017T	45	385	98	99	50
CPCT02060166T	255	283	77	178	38
DRUP01080024T	24	94	93	92	23
CPCT02300029T	291	474	114	251	55
CPCT02130024T	95	243	70	163	19
CPCT02370015T	20	36	174	72	22
CPCT02080291T	58	253	51	38	13
CPCT02330082T	12	168	75	58	1
CPCT02130035T	273	384	91	188	48
CPCT02020667T	8	213	81	159	37
CPCT02190030T	65	240	290	116	53
CPCT02070304T	141	456	155	148	59
CPCT02230093T	413	333	191	129	49
CPCT02170024T	9	208	149	199	4
CPCT02050342T	94	376	190	203	21
CPCT02130064T	16	225	87	255	36
CPCT02130063T	995	166	445	331	214
CPCT02080208T	21	35	86	146	16
CPCT02130066T	408	508	333	83	0
CPCT02130067T	91	370	314	173	17
CPCT02100172T	34	62	26	153	2
CPCT02130084T	29	305	132	101	39
CPCT02060220T	49	275	96	264	26
CPCT02100169T	815	651	113	297	71
CPCT02080218T	377	824	124	283	72
CPCT02050332T	69	81	66	67	347
DRUP01080031T	72052	0	0	0	0
CPCT02040245T	341	918	126	94	31
DRUP01050048T	101318	9111	0	0	0
DRUP01010142T	52453	2402	0	0	0
CPCT02080224T	35	187	152	148	34
CPCT02260021T	11	169	99	137	1
CPCT02020762T	6	81	59	227	57
CPCT02130116T	12	275	99	74	20
CPCT02050342TII	99	385	198	94	18
CPCT02130138T	69	260	150	171	43
CPCT02130139T	233	437	137	194	52
CPCT02230115T	144	133	84	217	28
CPCT02010902T	0	644	0	200	0
CPCT02290056T	2	287	249	135	298
CPCT02130152T	21	64	72	89	31
DRUP01170003T	0	64	0	115	327
DRUP01010095T	0	917	0	88	0
DRUP01030024T	325	267	95	234	120
CPCT02040292T	43	320	26	493	96
DRUP01050035T	1145	246	615	205	177
CPCT02020577T	12	226	115	211	55
CPCT02050263T	226	380	126	95	13
DRUP01010108T	2624	1995	446	302	48
DRUP01010109T	22	313	121	39	7
DRUP01010113T	27	87	485	100	280
CPCT02120059T	184	1238	54	228	110
CPCT02170010T	4	73	112	257	155
CPCT02030398T	144	265	43	187	27
CPCT02050250T	183	266	34	85	20
CPCT02050076TII	296	615	90	159	24
CPCT02050182T	23	220	117	60	28
CPCT02070187T	28	501	4	147	20
CPCT02030373T	876	583	370	202	46
CPCT02020589T	30	182	51	178	391
CPCT02040154T	85	287	93	131	29
CPCT02050091T	19	109	72	67	17
CPCT02020406T	30	158	112	82	18
CPCT02020405T	105	556	0	115	202
CPCT02070052T	107	451	96	102	19
CPCT02060063T	147	200	0	211	1285
CPCT02230004T	80	377	177	54	19
CPCT02300006T	108	331	35	137	37
CPCT02080066T	103	120	113	30	7
CPCT02010492T	22	0	94	60	17
CPCT02020460T	2	77	63	89	30
DRUP01010019T	144	677	259	82	48
CPCT02050133T	372	716	39	90	38
CPCT02050144T	1547	1190	256	206	80
CPCT02050286T	205	378	0	467	1181
CPCT02130006T	444	331	200	147	15
CPCT02130003T	58	91	78	129	50
CPCT02340039T	226	412	107	156	30
CPCT02230075T	161	86	41	67	19
CPCT02080169T	85	157	82	186	35
CPCT02150005T	26	85	163	131	28
WIDE01010522T	10	82	103	84	26
WIDE01010696T	12	108	122	33	18
