Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
CPCT02090004T	1.39E+01	1.56E+01	9.82E+00	4.00E+00	8.78E+00	1.27E+01	4.17E+00	7.51E+00	3.06E+00	2.42E+00	1.20E+01	2.82E+00	1.98E+00
CPCT02050115T	1.34E+01	1.38E+01	1.06E+01	2.40E+00	1.33E+01	1.29E+01	1.73E+00	4.41E+00	1.82E+00	1.32E+00	5.17E+00	1.71E+00	1.08E+00
CPCT02210007T	9.53E+00	8.96E+00	1.86E+01	2.10E+00	1.07E+01	2.55E+01	1.26E+00	4.42E+00	2.42E+00	1.56E+00	4.19E+00	1.11E+00	1.06E+00
CPCT02050175T	7.93E+00	8.35E+00	8.35E+00	2.04E+00	7.88E+00	9.67E+00	1.57E+00	3.98E+00	1.53E+00	1.37E+00	4.14E+00	1.17E+00	1.49E+00
CPCT02380005T	6.34E+00	6.60E+00	9.76E+00	2.20E+00	6.96E+00	1.31E+01	1.25E+00	3.41E+00	2.08E+00	2.88E+00	2.77E+00	1.24E+00	9.72E-01
CPCT02010543T	5.81E+00	6.01E+00	9.08E+00	2.56E+00	8.24E+00	1.16E+01	1.42E+00	4.69E+00	2.75E+00	1.94E+00	5.97E+00	1.69E+00	1.64E+00
CPCT02270001T	1.06E+01	9.73E+00	1.36E+01	4.88E+00	6.81E+00	1.88E+01	3.80E+00	4.82E+00	2.68E+00	6.53E+00	5.21E+00	1.64E+00	1.64E+00
CPCT02100019T	1.90E+03	1.84E+03	2.21E+02	4.47E+02	2.25E+02	3.59E+02	5.98E+00	8.03E+01	1.90E+01	1.33E+01	2.64E+01	5.22E+00	8.90E+00
CPCT02010576T	3.93E+00	4.71E+00	3.69E+00	2.58E+00	3.32E+00	7.21E+00	4.38E-01	2.35E+00	3.86E+00	9.36E-01	2.89E+00	8.46E-01	7.65E-01
CPCT02330024T	1.02E+01	9.86E+00	1.15E+01	2.46E+00	5.80E+00	1.53E+01	9.70E-01	3.73E+00	1.68E+00	1.53E+00	3.08E+00	1.39E+00	1.48E+00
CPCT02120021T	9.78E+00	9.15E+00	1.34E+01	2.45E+00	6.86E+00	1.66E+01	6.87E-01	5.66E+00	2.24E+00	1.85E+00	3.66E+00	1.70E+00	1.25E+00
CPCT02120023T	5.44E+00	5.64E+00	6.16E+00	1.90E+00	4.64E+00	7.34E+00	1.03E+00	2.74E+00	1.66E+00	1.81E+00	1.79E+00	8.63E-01	1.26E+00
CPCT02030343T	4.65E+00	4.91E+00	5.16E+00	1.22E+00	2.85E+00	6.58E+00	3.61E-01	2.44E+00	9.58E-01	9.57E-01	1.56E+00	1.29E+00	1.11E+00
CPCT02330036T	1.12E+01	1.24E+01	6.70E+00	2.06E+00	6.48E+00	8.37E+00	1.18E+00	4.70E+00	2.32E+00	1.39E+00	3.62E+00	1.45E+00	1.36E+00
CPCT02050184T	1.78E+01	2.08E+01	8.39E+00	6.00E+00	5.98E+00	5.38E+00	1.31E+00	1.17E+01	9.50E+00	6.05E+00	1.01E+01	2.34E+00	1.62E+00
DRUP01070017T	9.98E+00	9.57E+00	6.31E+00	4.55E+00	6.10E+00	9.02E+00	4.67E+00	4.38E+00	3.39E+00	3.96E+00	3.29E+00	1.70E+00	1.79E+00
CPCT02210018T	1.91E+01	1.90E+01	2.07E+01	2.53E+00	1.30E+01	2.95E+01	1.82E+00	4.61E+00	2.02E+00	1.39E+00	4.23E+00	1.03E+00	7.08E-01
CPCT02020521T	4.92E+00	4.22E+00	8.54E+00	2.02E+00	4.05E+00	1.06E+01	6.51E-01	2.59E+00	3.08E+00	2.20E+00	2.89E+00	1.12E+00	9.25E-01
CPCT02110033T	1.38E+01	1.17E+01	1.17E+01	3.59E+00	9.28E+00	8.78E+00	1.17E+00	7.06E-01	3.65E+00	5.04E+00	4.13E+00	1.31E+01	3.43E+00
CPCT02220019T	9.29E+00	8.62E+00	1.16E+01	3.99E+00	1.03E+01	1.39E+01	4.09E+00	4.77E+00	4.05E+00	2.88E+00	6.95E+00	2.12E+00	1.96E+00
CPCT02010579T	1.41E+01	1.42E+01	2.07E+01	1.51E+00	1.17E+01	2.84E+01	8.19E-01	5.28E+00	2.68E+00	1.51E+00	3.43E+00	1.90E+00	1.92E+00
CPCT02010587T	6.67E+00	6.11E+00	6.38E+00	1.95E+00	2.74E+00	8.50E+00	1.24E+00	2.77E+00	2.22E+00	2.27E+00	2.58E+00	9.90E-01	1.43E+00
CPCT02220020T	5.19E+00	5.28E+00	1.06E+01	2.08E+00	7.68E+00	1.37E+01	1.89E+00	4.94E+00	2.51E+00	1.91E+00	6.50E+00	1.69E+00	1.62E+00
CPCT02060096T	1.09E+01	1.14E+01	1.04E+01	1.29E+00	7.35E+00	1.45E+01	1.46E+00	3.10E+00	1.49E+00	1.39E+00	4.23E+00	1.00E+00	1.29E+00
CPCT02070167T	6.01E+00	6.75E+00	8.67E+00	8.20E-01	2.41E+00	9.26E+00	7.09E-01	4.03E+00	1.02E+00	1.26E+00	1.79E+00	8.89E-01	8.88E-01
CPCT02080077T	5.70E+00	5.32E+00	8.92E+00	1.74E+00	4.93E+00	1.13E+01	1.20E+00	2.62E+00	1.77E+00	1.69E+00	2.58E+00	1.05E+00	1.05E+00
CPCT02300017T	6.94E+00	7.74E+00	1.23E+01	4.48E+00	6.71E+00	1.40E+01	5.70E-01	3.10E+00	5.36E+00	1.63E+00	4.27E+00	1.25E+00	1.47E+00
CPCT02010590T	1.84E+01	1.95E+01	1.08E+01	3.53E+00	1.28E+01	1.31E+01	2.98E+00	4.82E+00	3.68E+00	2.49E+00	4.62E+00	1.48E+00	1.77E+00
CPCT02220022T	8.12E+00	7.57E+00	1.49E+01	1.95E+00	6.83E+00	1.82E+01	1.01E+00	3.97E+00	2.19E+00	1.69E+00	2.41E+00	2.05E+00	9.95E-01
CPCT02120031T	1.19E+01	1.24E+01	1.24E+01	2.48E+00	9.55E+00	1.68E+01	1.70E+00	5.26E+00	1.91E+00	1.62E+00	3.99E+00	1.26E+00	1.18E+00
CPCT02120030T	7.51E+00	7.83E+00	1.45E+01	1.79E+00	7.49E+00	1.92E+01	1.32E+00	5.09E+00	1.88E+00	1.56E+00	2.74E+00	1.44E+00	1.63E+00
DRUP01010025T	2.80E+03	2.76E+03	1.46E+02	7.56E+02	1.04E+02	2.68E+02	4.95E+00	7.02E+01	3.44E+01	1.77E+01	1.17E+01	3.41E+00	6.27E+00
CPCT02010604T	4.29E+00	4.27E+00	6.80E+00	1.76E+00	6.87E+00	7.88E+00	7.69E-01	2.05E+00	1.66E+00	1.23E+00	2.53E+00	1.27E+00	1.27E+00
CPCT02100086T	5.89E+00	6.05E+00	6.69E+00	1.80E+00	3.39E+00	7.34E+00	1.48E+00	3.23E+00	3.70E+00	2.19E+00	3.30E+00	3.09E+00	1.73E+00
CPCT02050199T	1.11E+01	1.03E+01	1.26E+01	3.96E+00	6.55E+00	1.41E+01	1.73E+00	6.06E+00	8.40E+00	2.30E+00	1.11E+01	1.35E+00	1.85E+00
CPCT02220023T	6.18E+00	1.78E+01	5.44E+00	1.20E+02	3.80E-01	1.92E+01	1.61E+00	1.75E+00	1.88E+01	1.63E+02	1.49E+02	8.44E+00	1.70E+00
CPCT02010605T	1.23E+01	1.11E+01	1.87E+01	1.69E+00	8.13E+00	2.49E+01	1.06E+00	3.81E+00	1.70E+00	1.70E+00	3.45E+00	9.95E-01	1.03E+00
CPCT02060103T	2.63E+01	2.64E+01	7.63E+00	2.03E+00	5.58E+00	9.92E+00	1.51E+00	3.48E+00	3.03E+00	1.77E+00	4.33E+00	1.32E+00	1.00E+00
CPCT02010607T	5.80E+00	6.07E+00	5.26E+00	1.50E+00	4.01E+00	6.52E+00	2.91E+00	3.74E+00	2.02E+00	1.91E+00	2.77E+00	1.24E+00	1.47E+00
CPCT02010598T	1.95E+01	2.11E+01	7.70E+00	1.62E+00	5.85E+00	9.94E+00	9.63E-01	6.76E+00	2.26E+00	1.34E+00	2.99E+00	1.12E+00	1.48E+00
CPCT02140047T	9.76E+00	8.57E+00	7.04E+00	2.39E+00	6.87E+00	8.88E+00	6.22E-01	8.80E+00	2.45E+00	1.98E+00	3.37E+00	1.85E+00	1.18E+00
CPCT02070171T	6.69E+00	7.08E+00	1.40E+01	1.69E+00	8.04E+00	1.93E+01	1.03E+00	3.79E+00	1.59E+00	1.34E+00	3.11E+00	1.28E+00	2.16E+00
CPCT02220024T	1.67E+01	1.64E+01	1.00E+01	4.13E+00	8.00E+00	1.29E+01	3.96E+00	4.18E+00	5.37E+00	3.89E+00	5.24E+00	2.98E+00	2.73E+00
CPCT02160028T	9.08E+00	8.24E+00	1.65E+01	2.78E+00	1.04E+01	2.16E+01	1.83E+00	5.45E+00	2.53E+00	1.74E+00	3.59E+00	1.23E+00	1.13E+00
CPCT02370005T	8.74E+00	1.01E+01	6.51E+00	1.83E+00	7.67E+00	7.75E+00	1.22E+00	4.78E+00	1.79E+00	1.71E+00	3.43E+00	2.64E+00	2.03E+00
CPCT02230024T	7.54E+00	6.36E+00	1.36E+01	2.90E+00	8.65E+00	1.79E+01	1.88E+00	4.60E+00	4.41E+00	1.93E+00	5.22E+00	2.67E+00	2.02E+00
CPCT02230032T	1.55E+01	1.58E+01	1.05E+01	2.82E+00	8.68E+00	1.44E+01	1.18E+00	4.41E+00	1.39E+00	1.74E+00	3.40E+00	1.22E+00	1.30E+00
CPCT02070185T	6.44E+00	6.85E+00	1.04E+01	1.92E+00	8.75E+00	1.30E+01	1.44E+00	4.35E+00	1.92E+00	2.03E+00	3.41E+00	1.40E+00	1.21E+00
CPCT02230027T	9.36E+00	8.79E+00	1.77E+01	2.98E+00	9.27E+00	2.26E+01	1.00E+00	5.38E+00	4.63E+00	2.40E+00	5.39E+00	1.94E+00	2.42E+00
CPCT02030357T	4.90E+03	5.00E+03	4.82E+02	1.15E+03	2.70E+02	6.02E+02	1.07E+01	1.56E+02	5.95E+01	4.21E+01	1.58E+01	1.04E+01	1.51E+01
CPCT02080062T	1.14E+01	1.15E+01	1.75E+01	2.54E+00	1.21E+01	2.40E+01	1.26E+00	5.52E+00	1.63E+00	1.78E+00	6.04E+00	1.61E+00	2.14E+00
CPCT02330045T	9.46E+00	8.65E+00	1.40E+01	3.38E+00	6.90E+00	1.78E+01	1.08E+00	4.23E+00	3.88E+00	4.13E+00	4.11E+00	1.11E+00	1.45E+00
CPCT02010614T	3.92E+00	3.93E+00	5.19E+00	1.21E+00	2.90E+00	5.85E+00	2.07E+00	2.40E+00	9.08E-01	1.03E+00	2.33E+00	1.25E+00	1.96E+00
CPCT02380015T	5.77E+00	5.22E+00	9.04E+00	1.85E+00	4.95E+00	1.13E+01	4.48E-01	3.53E+00	1.78E+00	1.43E+00	2.68E+00	1.06E+00	1.52E+00
CPCT02050187T	1.12E+01	1.17E+01	7.66E+00	3.03E+00	5.17E+00	8.77E+00	1.09E+00	3.70E+00	4.00E+00	1.63E+00	3.33E+00	1.64E+00	1.84E+00
CPCT02050211T	1.91E+03	1.89E+03	2.89E+02	5.04E+02	1.56E+02	4.50E+02	5.75E+00	1.05E+02	2.29E+01	1.30E+01	7.06E+00	4.09E-01	5.11E+00
CPCT02020554T	1.88E+01	1.83E+01	1.54E+01	2.46E+00	8.90E+00	1.85E+01	2.52E+00	7.35E+00	2.66E+00	2.09E+00	1.28E+01	2.64E+00	3.62E+00
CPCT02030361T	8.09E+00	7.76E+00	9.54E+00	4.84E+00	8.27E+00	1.09E+01	2.68E+00	4.42E+00	4.83E+00	3.13E+00	5.56E+00	2.60E+00	1.81E+00
CPCT02080131T	6.46E+00	6.06E+00	6.95E+00	2.24E+00	3.52E+00	8.14E+00	8.12E-01	2.60E+00	2.67E+00	9.81E-01	3.23E+00	9.06E-01	1.11E+00
CPCT02380016T	1.15E+02	1.15E+02	1.10E+01	2.16E+01	6.44E+00	1.25E+01	5.61E+00	4.67E+00	3.48E+00	2.46E+00	3.03E+00	1.81E+00	2.37E+00
CPCT02340017T	6.42E+00	6.30E+00	6.43E+00	2.85E+00	4.94E+00	8.85E+00	2.58E+00	4.11E+00	2.54E+00	4.19E+00	4.13E+00	2.54E+00	2.31E+00
CPCT02010623T	2.69E+01	2.66E+01	1.19E+01	2.75E+00	1.13E+01	1.60E+01	2.75E+00	4.14E+00	5.13E+00	1.69E+00	5.69E+00	1.82E+00	2.28E+00
CPCT02010624T	2.02E+01	1.89E+01	1.63E+01	1.83E+00	1.03E+01	2.19E+01	1.03E+00	3.99E+00	2.45E+00	1.92E+00	3.31E+00	1.46E+00	1.85E+00
DRUP01090003T	2.66E+03	2.72E+03	3.17E+02	5.72E+02	1.82E+02	4.50E+02	6.69E+00	1.11E+02	3.22E+01	2.26E+01	7.63E+00	3.49E+00	7.89E+00
CPCT02210023T	9.02E+00	8.29E+00	6.33E+00	3.52E+00	6.01E+00	7.49E+00	2.12E+00	3.53E+00	5.03E+00	2.91E+00	4.65E+00	1.47E+00	2.51E+00
CPCT02210024T	3.35E+00	3.32E+00	5.96E+00	2.59E+00	4.51E+00	5.18E+00	3.55E+00	3.89E+00	5.27E+00	1.88E+00	5.96E+00	1.37E+00	1.79E+00
CPCT02050227T	2.75E+00	3.06E+00	5.52E+00	1.01E+00	3.14E+00	6.16E+00	6.00E-01	1.89E+00	1.48E+00	1.41E+00	2.25E+00	1.30E+00	1.55E+00
CPCT02070198T	7.03E+00	7.29E+00	8.04E+00	1.56E+00	4.76E+00	1.03E+01	1.09E+00	3.70E+00	2.11E+00	1.40E+00	2.72E+00	1.33E+00	2.06E+00
CPCT02030371T	6.41E+00	7.08E+00	6.55E+00	3.29E+00	5.31E+00	8.22E+00	2.61E+00	4.23E+00	3.47E+00	2.01E+00	4.65E+00	1.95E+00	1.88E+00
CPCT02040140T	4.09E+00	4.29E+00	4.03E+00	1.57E+00	2.94E+00	4.81E+00	5.96E-01	2.31E+00	2.44E+00	1.17E+00	2.27E+00	1.57E+00	1.88E+00
CPCT02060124T	2.73E+00	2.89E+00	5.79E+00	3.33E+00	3.31E+00	4.77E+00	1.98E-01	4.06E+00	5.07E+00	3.22E+00	5.74E+00	2.78E+00	2.36E+00
CPCT02220025T	1.69E+01	1.81E+01	1.24E+01	2.50E+00	7.80E+00	1.73E+01	1.63E+00	5.91E+00	2.52E+00	2.28E+00	4.48E+00	1.69E+00	1.68E+00
CPCT02120042T	3.86E+03	3.90E+03	1.77E+02	9.41E+02	1.78E+02	3.90E+02	8.37E+00	1.39E+02	4.07E+01	4.11E+01	8.06E+00	8.07E+00	1.10E+01
CPCT02120048T	8.16E+00	8.44E+00	5.19E+00	1.58E+00	2.85E+00	6.40E+00	6.99E-01	2.83E+00	1.70E+00	1.04E+00	1.70E+00	8.39E-01	1.32E+00
CPCT02120044T	5.14E+00	5.10E+00	4.75E+00	1.39E+00	3.26E+00	5.61E+00	1.36E+00	2.02E+00	2.01E+00	1.07E+00	2.55E+00	1.25E+00	1.71E+00
CPCT02120041T	4.94E+00	4.58E+00	6.59E+00	1.94E+00	4.80E+00	7.90E+00	1.06E+00	2.57E+00	1.01E+00	8.83E-01	3.19E+00	1.10E+00	1.39E+00
CPCT02050234T	2.47E+01	2.53E+01	1.10E+01	1.80E+00	6.91E+00	1.52E+01	6.49E-01	5.03E+00	1.92E+00	1.44E+00	2.70E+00	1.30E+00	2.02E+00
CPCT02050241T	7.18E+00	5.92E+00	5.57E+00	2.00E+00	4.62E+00	7.58E+00	1.26E+00	4.74E+00	2.61E+00	2.07E+00	3.62E+00	2.37E+00	2.13E+00
CPCT02100106T	6.18E+00	6.13E+00	9.79E+00	1.14E+00	5.79E+00	1.29E+01	7.37E-01	3.50E+00	1.41E+00	1.38E+00	2.75E+00	1.26E+00	2.38E+00
CPCT02210029T	1.15E+01	1.09E+01	6.86E+00	3.09E+00	5.27E+00	8.16E+00	2.59E+00	2.98E+00	3.89E+00	1.21E+00	3.30E+00	2.40E+00	1.95E+00
CPCT02340022T	3.70E+01	3.90E+01	1.45E+02	1.89E+01	4.64E+01	1.59E+02	6.52E+00	1.89E+00	1.28E+01	5.04E-01	1.38E+01	0.00E+00	9.65E+00
CPCT02040148T	1.91E+01	1.87E+01	2.59E+01	3.25E+00	1.28E+01	3.37E+01	9.21E-01	6.37E+00	2.66E+00	2.62E+00	3.94E+00	1.84E+00	2.43E+00
CPCT02040152T	1.31E+01	1.34E+01	1.06E+01	2.11E+00	6.53E+00	1.44E+01	6.33E-01	4.83E+00	1.57E+00	1.34E+00	2.78E+00	1.25E+00	1.44E+00
CPCT02040151T	7.99E+00	7.76E+00	9.91E+00	1.54E+00	5.57E+00	1.35E+01	1.52E+00	2.85E+00	2.57E+00	1.33E+00	3.03E+00	1.01E+00	1.69E+00
CPCT02180008T	1.79E+01	1.68E+01	2.26E+01	1.16E+00	9.59E+00	3.00E+01	1.27E+00	4.65E+00	2.47E+00	1.35E+00	5.31E+00	1.01E+00	1.73E+00
CPCT02110012T	1.93E+00	1.72E+00	3.85E+00	7.18E-01	2.55E+00	4.48E+00	2.87E-01	1.52E+00	1.16E+00	7.45E-01	1.10E+00	6.38E-01	1.07E+00
CPCT02050093T	1.07E+01	1.13E+01	1.47E+01	4.57E+00	1.11E+01	1.72E+01	9.87E-01	6.19E+00	6.28E+00	1.72E+00	6.74E+00	2.17E+00	1.02E+00
CPCT02040068T	6.42E+00	5.97E+00	5.35E+00	2.07E+00	4.66E+00	6.27E+00	1.09E+00	5.45E+00	1.51E+00	1.67E+00	2.53E+00	1.45E+00	1.58E+00
CPCT02050085T	1.61E+01	1.60E+01	1.59E+01	2.05E+00	6.83E+00	2.13E+01	1.92E+00	5.71E+00	2.50E+00	2.42E+00	4.43E+00	2.05E+00	1.89E+00
CPCT02110013T	3.11E+01	3.08E+01	1.70E+01	3.85E+00	1.27E+01	2.25E+01	1.71E+00	6.43E+00	3.45E+00	3.50E+00	4.92E+00	1.86E+00	2.70E+00
CPCT02100042T	5.64E+00	4.81E+00	1.04E+01	2.81E+00	6.02E+00	1.10E+01	2.55E+00	4.22E+00	2.98E+00	3.08E+00	3.98E+00	1.72E+00	1.96E+00
CPCT02040067T	8.39E+00	8.25E+00	9.89E+00	2.22E+00	7.62E+00	1.26E+01	8.67E-01	5.44E+00	1.51E+00	1.63E+00	3.51E+00	1.44E+00	1.71E+00
CPCT02030306T	7.08E+00	7.88E+00	1.29E+01	3.10E+00	7.41E+00	1.61E+01	9.65E-01	5.01E+00	2.66E+00	3.00E+00	4.32E+00	3.18E+00	2.37E+00
CPCT02050097T	9.27E+00	9.80E+00	8.85E+00	3.23E+00	6.86E+00	1.03E+01	9.25E-01	3.80E+00	3.95E+00	1.27E+00	3.61E+00	1.05E+00	1.27E+00
CPCT02040062T	6.24E+00	5.23E+00	1.59E+01	1.83E+00	9.21E+00	2.04E+01	1.25E+00	4.74E+00	2.51E+00	1.45E+00	3.36E+00	9.99E-01	9.47E-01
CPCT02190004T	5.34E+00	5.09E+00	3.63E+00	1.20E+00	3.49E+00	4.01E+00	9.68E-01	4.52E+00	1.63E+00	1.28E+00	2.10E+00	9.46E-01	1.70E+00
CPCT02070066T	1.04E+01	1.12E+01	8.91E+00	3.53E+00	1.08E+01	1.06E+01	4.77E+00	5.01E+00	3.76E+00	2.48E+00	4.61E+00	2.09E+00	1.79E+00
CPCT02230003T	1.13E+01	1.75E+01	1.23E+01	9.92E+00	1.33E+01	1.33E+01	1.56E+00	6.69E+00	1.36E+01	1.16E+00	1.23E+01	1.83E+00	2.05E+00
CPCT02210008T	1.37E+01	1.40E+01	1.09E+01	2.56E+00	6.76E+00	1.46E+01	1.53E+00	4.04E+00	3.47E+00	1.90E+00	3.97E+00	1.64E+00	1.65E+00
CPCT02050095T	1.23E+01	1.27E+01	7.16E+00	1.81E+00	6.70E+00	8.89E+00	1.68E+00	3.28E+00	2.30E+00	1.55E+00	2.12E+00	1.13E+00	1.63E+00
CPCT02210009T	9.69E+00	1.08E+01	6.28E+00	3.29E+00	4.83E+00	6.50E+00	1.83E+00	4.88E+00	4.61E+00	3.63E+00	5.77E+00	1.46E+00	1.45E+00
CPCT02230005T	3.30E+00	2.85E+00	3.64E+00	1.41E+00	2.41E+00	4.61E+00	4.31E-01	1.79E+00	1.78E+00	9.17E-01	1.52E+00	7.96E-01	5.50E-01
CPCT02010473T	4.83E+00	5.10E+00	1.04E+01	1.99E+00	4.78E+00	1.30E+01	6.70E-01	3.00E+00	1.70E+00	1.60E+00	2.63E+00	7.76E-01	1.15E+00
CPCT02010485T	5.17E+00	5.25E+00	5.90E+00	1.97E+00	3.23E+00	5.42E+00	1.36E+00	3.42E+00	3.05E+00	1.95E+00	3.68E+00	2.97E+00	1.96E+00
CPCT02050104T	8.30E+00	7.49E+00	7.33E+00	7.20E+00	7.42E+00	8.20E+00	1.17E+01	4.83E+00	5.59E+00	7.50E+00	7.81E+00	3.19E+00	2.45E+00
CPCT02010483T	8.40E+00	9.60E+00	6.40E+00	1.42E+00	7.49E+00	7.25E+00	2.93E+00	5.21E+00	1.70E+00	1.67E+00	3.20E+00	1.54E+00	1.33E+00
CPCT02020442T	8.30E+00	9.77E+00	1.06E+01	2.68E+00	7.90E+00	1.40E+01	9.58E-01	4.91E+00	2.56E+00	2.49E+00	3.12E+00	1.37E+00	1.55E+00
CPCT02050107T	4.92E+00	5.08E+00	4.42E+00	9.12E-01	3.74E+00	5.46E+00	1.03E+00	2.14E+00	9.96E-01	8.70E-01	2.76E+00	1.05E+00	9.55E-01
CPCT02070070T	9.59E+00	1.06E+01	5.52E+00	2.78E+00	7.07E+00	6.65E+00	2.29E+00	4.22E+00	2.61E+00	3.09E+00	3.12E+00	1.97E+00	1.50E+00
CPCT02050113T	5.62E+00	4.67E+00	1.29E+01	2.16E+00	7.31E+00	1.72E+01	1.50E+00	2.97E+00	1.68E+00	1.56E+00	2.48E+00	1.18E+00	1.26E+00
CPCT02020454T	9.30E+00	9.41E+00	1.16E+01	2.66E+00	8.33E+00	1.41E+01	2.65E+00	4.13E+00	4.53E+00	1.85E+00	5.32E+00	1.32E+00	1.56E+00
CPCT02010474T	2.46E+01	2.87E+01	6.94E+00	3.66E+00	7.44E+00	1.28E+01	1.96E+00	1.47E+01	3.85E+00	2.65E+00	3.46E+00	2.53E+00	2.07E+00
CPCT02010471T	6.94E+00	7.97E+00	7.32E+00	1.47E+00	4.62E+00	8.66E+00	6.41E-01	4.45E+00	2.30E+00	1.64E+00	3.71E+00	1.15E+00	1.65E+00
CPCT02040075T	6.76E+00	6.16E+00	1.30E+01	2.01E+00	1.00E+01	1.66E+01	4.81E-01	5.06E+00	1.99E+00	2.07E+00	3.32E+00	1.31E+00	1.37E+00
CPCT02210011T	4.63E+00	3.89E+00	8.77E+00	1.54E+00	4.05E+00	1.08E+01	5.13E-01	2.90E+00	1.30E+00	1.29E+00	1.39E+00	8.57E-01	6.80E-01
CPCT02080075T	5.75E+00	6.03E+00	1.10E+01	2.78E+00	1.01E+01	1.33E+01	1.16E+00	3.91E+00	2.60E+00	2.40E+00	3.87E+00	1.38E+00	1.33E+00
CPCT02100013TII	1.80E+01	1.84E+01	1.02E+01	5.33E+00	9.03E+00	1.26E+01	1.13E+00	5.64E+00	8.89E+00	2.53E+00	8.16E+00	4.72E+00	2.54E+00
CPCT02210012T	3.00E+00	2.90E+00	3.79E+00	1.08E+00	2.60E+00	4.72E+00	5.89E-01	1.88E+00	1.08E+00	1.01E+00	2.01E+00	6.58E-01	9.39E-01
CPCT02010506T	4.35E+00	4.44E+00	4.34E+00	1.67E+00	3.49E+00	5.67E+00	1.96E+00	3.43E+00	2.65E+00	1.53E+00	3.34E+00	9.87E-01	8.73E-01
CPCT02190007T	1.83E+01	1.80E+01	5.57E+00	5.63E+00	5.92E+00	6.93E+00	2.00E+00	4.67E+00	6.37E+00	1.84E+00	6.11E+00	2.35E+00	1.77E+00
CPCT02010488T	8.38E+00	8.56E+00	1.28E+01	2.23E+00	9.48E+00	1.57E+01	2.88E+00	5.20E+00	2.43E+00	1.77E+00	3.73E+00	1.28E+00	6.75E-01
CPCT02010512T	8.63E+00	7.55E+00	7.25E+00	3.79E+00	5.90E+00	9.83E+00	4.55E+00	7.17E+00	4.07E+00	6.26E+00	4.19E+00	1.91E+00	1.89E+00
CPCT02080080T	8.82E+00	8.40E+00	1.10E+01	2.68E+00	5.51E+00	1.26E+01	1.25E+00	3.94E+00	3.74E+00	2.40E+00	2.70E+00	1.15E+00	1.51E+00
DRUP01050001T	2.55E+03	2.58E+03	2.66E+02	6.48E+02	1.56E+02	4.14E+02	5.85E+00	1.06E+02	2.74E+01	2.23E+01	8.12E+00	4.14E+00	6.48E+00
CPCT02030319T	8.46E+00	8.92E+00	4.06E+00	1.54E+00	3.96E+00	4.08E+00	1.78E+00	6.89E+00	1.08E+00	1.29E+00	3.15E+00	1.40E+00	1.40E+00
CPCT02080084T	2.21E+01	2.01E+01	2.54E+01	3.54E+00	1.00E+01	3.43E+01	2.22E+00	4.88E+00	3.33E+00	3.79E+00	4.20E+00	1.95E+00	2.04E+00
CPCT02010514T	4.59E+00	4.31E+00	3.23E+00	5.43E-01	1.82E+00	3.75E+00	2.79E-01	2.02E+00	1.23E+00	6.28E-01	2.37E+00	8.85E-01	1.18E+00
CPCT02230012T	6.50E+00	7.16E+00	1.17E+01	1.34E+00	5.67E+00	1.48E+01	1.91E+00	3.52E+00	3.15E+00	1.43E+00	4.07E+00	1.57E+00	1.50E+00
CPCT02100036T	2.83E+00	2.50E+00	5.30E+00	9.60E-01	3.44E+00	6.48E+00	9.65E-01	2.30E+00	1.03E+00	8.35E-01	2.96E+00	9.29E-01	1.11E+00
CPCT02100057T	1.48E+01	1.79E+01	9.76E+00	3.28E+00	8.01E+00	1.12E+01	1.45E+00	8.56E+00	2.19E+00	2.35E+00	3.25E+00	2.36E+00	2.12E+00
CPCT02230006T	1.75E+01	1.86E+01	1.30E+01	2.26E+00	1.03E+01	1.59E+01	1.12E+00	5.58E+00	1.95E+00	2.28E+00	2.92E+00	1.26E+00	1.06E+00
CPCT02230011T	6.44E-01	4.89E-01	5.20E-01	8.47E-01	1.44E+00	1.28E+00	2.49E-01	1.75E+00	1.42E+00	9.38E-01	1.41E+00	8.24E-01	1.15E+00
CPCT02030323T	2.25E+01	2.14E+01	1.59E+01	4.37E+00	1.45E+01	2.03E+01	3.52E+00	5.31E+00	3.43E+00	4.27E+00	4.42E+00	1.93E+00	2.01E+00
CPCT02010533T	6.09E+00	6.29E+00	4.91E+00	2.75E+00	5.59E+00	6.38E+00	6.02E+00	2.51E+00	3.36E+00	2.21E+00	3.09E+00	2.57E+00	1.93E+00
CPCT02010527T	8.83E+00	1.02E+01	8.15E+00	2.90E+00	1.03E+01	8.01E+00	2.50E+00	4.54E+00	2.19E+00	2.81E+00	2.82E+00	1.71E+00	1.85E+00
CPCT02010529T	8.09E+00	9.44E+00	7.34E+00	1.79E+00	5.80E+00	7.78E+00	1.90E+00	4.64E+00	1.99E+00	1.83E+00	3.23E+00	1.27E+00	1.20E+00
CPCT02370001T	3.15E+01	3.59E+01	1.42E+01	4.80E+00	8.81E+00	1.64E+01	4.19E+00	9.84E+00	2.80E+00	2.64E+00	6.83E+00	2.41E+00	2.78E+00
CPCT02220009T	6.45E+00	6.33E+00	8.47E+00	1.56E+00	6.59E+00	9.80E+00	1.77E+00	5.00E+00	2.49E+00	2.37E+00	3.35E+00	1.47E+00	1.50E+00
CPCT02050139T	8.74E+00	1.01E+01	7.41E+00	2.37E+00	5.98E+00	8.47E+00	1.86E+00	6.16E+00	3.28E+00	1.67E+00	4.35E+00	1.77E+00	1.49E+00
