Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
DRUP01070080T	2.02E+03	1.54E+03	9.84E+02	1.01E+02	8.73E+01	2.01E+01	4.94E+00	6.35E+01	2.13E+03	2.33E+01	2.21E+01	7.69E+00	7.32E+00	6.56E+00	2.97E+01
WIDE01010027T	5.92E+00	5.26E+00	1.23E+00	6.81E+00	6.50E+00	1.98E+00	9.52E-01	2.23E+00	5.21E+00	1.49E+00	2.00E+00	8.85E-01	8.27E-01	8.79E-01	1.05E+00
CPCT02050358T	2.16E+01	1.62E+01	3.41E+00	7.15E+01	5.55E+01	1.06E+01	9.41E-01	6.61E+00	3.81E+01	2.50E+00	2.65E+01	2.23E+00	3.22E+00	1.92E+00	2.08E+00
WIDE01010407T	1.60E+01	1.11E+01	3.83E+00	1.41E+01	1.19E+01	9.14E+00	3.80E+00	2.90E+00	1.23E+01	2.83E+00	7.09E+00	5.88E+00	2.32E+00	1.54E+00	6.38E+00
DRUP01050026T	1.42E+01	1.04E+01	1.71E+00	8.15E+00	7.05E+00	4.46E+00	2.12E+00	3.06E+00	9.45E+00	2.44E+00	4.93E+00	3.11E+00	3.67E+00	1.70E+00	2.79E+00
CPCT02060136T	2.10E+01	1.53E+01	5.21E+00	1.17E+01	8.78E+00	7.82E+00	8.17E+00	3.09E+00	1.50E+01	3.20E+00	8.30E+00	3.39E+00	3.02E+00	2.12E+00	3.47E+00
CPCT02290036T	6.26E+00	4.51E+00	1.80E+00	1.70E+01	1.48E+01	2.45E+00	3.50E-01	3.75E+00	1.06E+01	1.12E+00	4.77E+00	1.48E+00	1.32E+00	7.09E-01	1.96E+00
WIDE01010426T	5.94E+00	5.95E+00	1.68E+00	7.77E+00	6.38E+00	2.42E+00	6.08E-01	3.25E+00	6.12E+00	1.21E+00	3.40E+00	1.16E+00	1.01E+00	9.11E-01	1.17E+00
WIDE01010379T	3.80E+00	3.33E+00	1.40E+00	4.32E+00	4.12E+00	2.18E+00	1.09E+00	2.24E+00	3.15E+00	9.64E-01	3.71E+00	1.96E+00	1.48E+00	1.28E+00	2.24E+00
CPCT02390022T	4.20E+00	3.64E+00	1.70E+00	1.04E+01	8.53E+00	3.38E+00	8.14E-01	2.00E+00	5.51E+00	2.72E+00	3.91E+00	1.12E+00	2.43E+00	1.91E+00	1.18E+00
WIDE01010429T	7.07E+00	6.52E+00	3.25E+00	8.87E+00	8.35E+00	4.85E+00	2.05E+00	3.29E+00	6.34E+00	3.01E+00	8.23E+00	1.53E+00	1.41E+00	1.27E+00	4.20E+00
WIDE01010434T	9.62E+00	7.33E+00	1.63E+00	1.03E+01	9.55E+00	2.56E+00	1.37E+00	2.60E+00	8.78E+00	4.02E+00	3.37E+00	1.24E+00	1.33E+00	1.01E+00	1.48E+00
CPCT02050355T	9.36E+00	5.95E+00	2.48E+00	1.47E+01	1.31E+01	5.09E+00	9.88E-01	4.18E+00	1.05E+01	1.60E+00	6.68E+00	1.26E+00	2.23E+00	1.42E+00	2.04E+00
CPCT02010835T	2.74E+01	2.45E+01	3.50E+00	9.23E+00	8.27E+00	4.19E+00	1.27E+00	6.20E+00	1.91E+01	2.87E+00	4.04E+00	2.86E+00	2.96E+00	1.80E+00	3.01E+00
DRUP01020053T	2.99E+03	2.76E+03	9.84E+02	7.02E+02	5.08E+02	1.30E+02	1.04E+01	9.03E+01	1.99E+03	3.55E+01	2.44E+02	3.40E+01	9.23E+00	8.57E+00	1.99E+01
DRUP01040016T	1.91E+03	1.73E+03	7.96E+02	4.31E+02	3.20E+02	3.83E+01	4.28E+00	2.94E+01	1.75E+03	1.19E+01	1.26E+02	9.63E+00	5.85E+00	4.20E+00	2.22E+01
CPCT02010841T	1.04E+01	9.77E+00	3.77E+00	8.11E+00	7.24E+00	5.00E+00	1.47E+00	3.70E+00	8.71E+00	2.15E+00	4.65E+00	1.76E+00	2.23E+00	1.48E+00	1.83E+00
WIDE01010441T	1.05E+01	7.95E+00	3.34E+00	6.92E+00	4.11E+00	2.89E+00	9.20E-01	3.33E+00	8.05E+00	5.01E+00	3.97E+00	2.56E+00	1.66E+00	2.32E+00	2.87E+00
CPCT02010786T	1.28E+03	1.17E+03	4.86E+02	2.31E+02	1.65E+02	1.88E+01	3.16E+00	2.41E+01	1.21E+03	1.18E+01	6.81E+01	7.08E+00	4.36E+00	2.62E+00	1.18E+01
WIDE01010439T	4.16E+00	3.52E+00	1.11E+00	1.10E+01	8.44E+00	2.30E+00	3.98E-01	2.06E+00	5.99E+00	1.22E+00	3.88E+00	1.06E+00	1.09E+00	1.03E+00	1.37E+00
CPCT02010839T	8.64E+00	6.98E+00	1.92E+00	1.20E+01	9.43E+00	3.75E+00	6.36E-01	2.28E+00	8.09E+00	2.38E+00	5.05E+00	1.36E+00	2.28E+00	1.66E+00	2.04E+00
DRUP01050025T	1.67E+01	1.56E+01	7.70E+00	7.55E+00	9.18E+00	6.20E+00	1.24E+00	6.33E+00	1.44E+01	8.35E+00	9.28E+00	6.35E+00	6.10E+00	2.74E+00	6.69E+00
WIDE01010446T	7.27E+00	6.59E+00	2.16E+00	4.82E+00	4.15E+00	4.60E+00	1.73E+00	2.96E+00	5.59E+00	3.15E+00	4.22E+00	1.22E+00	1.08E+00	1.87E+00	2.08E+00
WIDE01010447T	1.01E+01	7.13E+00	1.56E+00	2.01E+01	1.70E+01	3.49E+00	8.51E-01	2.87E+00	1.17E+01	1.55E+00	5.06E+00	1.45E+00	9.46E-01	7.33E-01	1.87E+00
WIDE01010425T	1.96E+01	1.57E+01	3.63E+00	1.92E+01	1.49E+01	8.24E+00	1.96E+00	4.67E+00	1.71E+01	2.58E+00	8.72E+00	2.07E+00	6.80E-01	1.16E+00	2.33E+00
WIDE01010442T	1.76E+01	1.40E+01	2.66E+00	2.64E+01	2.05E+01	1.02E+01	1.38E+00	5.03E+00	1.81E+01	2.18E+00	1.20E+01	1.67E+00	5.75E-01	1.23E+00	2.38E+00
WIDE01010451T	5.03E+01	4.49E+01	5.76E+00	1.86E+01	2.73E+01	6.22E+00	2.11E+00	4.76E+01	5.95E+01	3.64E+00	6.40E+00	4.65E+00	2.44E+00	2.86E+00	3.65E+00
CPCT02160049T	1.26E+01	1.31E+01	3.40E+00	1.10E+01	9.38E+00	3.62E+00	2.07E+00	9.32E+00	1.14E+01	3.08E+00	5.19E+00	3.39E+00	2.87E+00	3.07E+00	3.76E+00
WIDE01010456T	6.83E+00	7.15E+00	4.09E+00	7.42E+00	6.50E+00	6.75E+00	2.41E+00	3.95E+00	8.04E+00	2.56E+00	5.84E+00	2.82E+00	1.46E+00	1.46E+00	2.69E+00
CPCT02330111T	1.08E+01	7.23E+00	2.69E+00	1.84E+01	1.56E+01	3.14E+00	5.73E-01	2.87E+00	1.21E+01	4.22E+00	6.43E+00	1.25E+00	1.66E+00	6.55E-01	2.14E+00
CPCT02120136T	2.08E+00	1.64E+00	1.53E+00	4.60E+00	3.89E+00	2.37E+00	2.25E-01	1.47E+00	3.45E+00	1.27E+00	3.15E+00	1.03E+00	1.36E+00	9.67E-01	1.06E+00
CPCT02030493T	2.92E+00	2.36E+00	2.76E+00	4.45E+00	4.17E+00	2.70E+00	9.47E-01	1.41E+00	5.58E+00	1.90E+00	2.61E+00	1.26E+00	1.33E+00	6.50E-01	1.56E+00
CPCT02020757T	1.68E+01	1.35E+01	2.86E+00	2.28E+01	1.83E+01	7.18E+00	2.15E+00	3.57E+00	1.54E+01	2.87E+00	1.14E+01	1.92E+00	2.57E+00	1.63E+00	2.94E+00
DRUP01030018T	3.27E+03	2.97E+03	1.07E+03	5.37E+02	4.11E+02	9.29E+01	9.55E+00	8.47E+01	2.13E+03	3.73E+01	1.65E+02	2.70E+01	9.64E+00	7.78E+00	2.55E+01
CPCT02060239T	8.89E+00	7.80E+00	2.75E+00	8.62E+00	8.40E+00	1.46E+00	6.12E-01	5.23E+00	8.34E+00	3.77E+00	3.91E+00	2.23E+00	2.33E+00	2.70E+00	2.28E+00
CPCT02330112T	1.14E+01	7.75E+00	4.07E+00	1.50E+01	1.34E+01	7.89E+00	1.02E+00	5.04E+00	2.03E+01	3.24E+00	9.56E+00	3.41E+00	2.61E+00	1.64E+01	1.22E+01
DRUP01330008T	1.40E+01	1.05E+01	4.01E+00	9.98E+00	8.86E+00	6.21E+00	2.82E+00	5.06E+00	1.03E+01	4.33E+00	9.69E+00	6.90E+00	2.44E+00	2.17E+00	5.19E+00
CPCT02330043T	1.24E+01	9.24E+00	1.07E+01	1.28E+01	1.04E+01	9.21E+00	3.15E+00	1.12E+01	2.38E+01	2.03E+01	9.00E+00	4.21E+00	3.23E+00	3.46E+00	5.74E+00
CPCT02010873T	6.30E+00	4.97E+00	1.61E+00	8.52E+00	7.76E+00	2.79E+00	6.30E-01	2.51E+00	6.47E+00	1.45E+00	4.32E+00	1.06E+00	1.48E+00	9.03E-01	1.59E+00
CPCT02010860T	5.52E+00	4.66E+00	2.12E+00	6.64E+00	6.31E+00	2.31E+00	2.12E-01	2.91E+00	5.12E+00	1.76E+00	3.35E+00	1.36E+00	9.19E-01	8.55E-01	1.44E+00
CPCT02090050T	3.87E+00	3.39E+00	1.29E+00	6.76E+00	5.82E+00	4.62E+00	5.14E-01	1.59E+00	3.56E+00	1.69E+00	4.11E+00	1.70E+00	1.52E+00	1.26E+00	1.93E+00
CPCT02380047T	7.52E+00	4.92E+00	2.46E+00	1.59E+01	1.38E+01	5.69E+00	1.83E+00	3.09E+00	1.15E+01	2.83E+00	6.37E+00	3.57E+00	1.66E+00	1.30E+00	3.90E+00
CPCT02050375T	1.37E+01	1.07E+01	2.47E+00	1.42E+01	1.22E+01	5.50E+00	3.05E+00	6.09E+00	1.17E+01	1.88E+00	6.51E+00	1.79E+00	1.75E+00	1.44E+00	3.09E+00
CPCT02390027T	4.88E+00	3.64E+00	1.50E+00	8.54E+00	7.78E+00	2.01E+00	4.85E-01	1.83E+00	6.18E+00	2.58E+00	2.95E+00	1.04E+00	9.93E-01	1.01E+00	1.21E+00
DRUP01050028T	8.25E+02	7.28E+02	2.70E+02	1.16E+02	7.82E+01	1.39E+01	1.83E+00	1.23E+01	7.50E+02	6.46E+00	2.66E+01	3.69E+00	4.87E+00	2.33E+00	9.72E+00
CPCT02310013T	1.03E+01	7.16E+00	2.87E+00	1.70E+01	1.48E+01	9.03E+00	1.98E+00	4.08E+00	1.33E+01	2.22E+00	9.49E+00	1.53E+00	1.74E+00	1.87E+00	2.03E+00
CPCT02120145T	1.34E+00	2.02E+00	1.02E+00	6.85E+00	5.72E+00	3.33E+00	4.56E-01	2.01E+00	3.50E+00	1.12E+00	4.22E+00	1.04E+00	1.24E+00	1.02E+00	1.23E+00
WIDE01010606T	1.35E+03	1.34E+03	3.86E+02	2.15E+03	1.57E+03	2.33E+02	1.26E+01	2.04E+01	1.53E+03	8.17E+00	9.66E+02	1.02E+01	2.26E+01	1.47E+00	1.34E+01
CPCT02110071T	1.53E+01	1.14E+01	2.87E+00	2.22E+01	1.80E+01	7.44E+00	1.82E+00	3.89E+00	1.51E+01	3.45E+00	9.50E+00	4.92E+00	2.19E+00	2.02E+00	5.01E+00
CPCT02320005T	1.34E+01	1.07E+01	2.91E+00	1.16E+01	9.17E+00	6.43E+00	3.27E+00	6.54E+00	1.00E+01	2.55E+00	7.14E+00	2.30E+00	1.94E+00	1.85E+00	2.60E+00
CPCT02290044T	7.60E+00	6.54E+00	2.30E+00	7.34E+00	6.77E+00	6.11E+00	2.72E+00	4.18E+00	7.17E+00	2.04E+00	5.30E+00	1.62E+00	2.01E+00	1.57E+00	2.09E+00
CPCT02020758T	3.73E+00	2.58E+00	5.19E-01	6.90E+00	5.48E+00	2.39E+00	4.17E-01	2.09E+00	3.69E+00	9.18E-01	3.14E+00	7.75E-01	1.26E+00	1.03E+00	1.18E+00
DRUP01010047TII	1.53E+03	1.45E+03	4.99E+02	1.21E+02	5.07E+01	2.66E+01	4.21E+00	4.43E+01	1.31E+03	1.72E+01	3.29E+01	1.78E+01	6.37E+00	4.54E+00	8.02E+00
CPCT02010880T	5.99E+00	2.96E+00	2.19E+00	8.92E+00	7.62E+00	3.58E+00	9.31E-01	3.22E+00	6.86E+00	2.23E+00	3.80E+00	2.71E+00	1.78E+00	1.47E+00	1.96E+00
CPCT02010884T	4.64E+00	4.09E+00	1.55E+00	6.61E+00	5.65E+00	4.66E+00	3.22E+00	3.20E+00	4.98E+00	1.87E+00	4.31E+00	1.69E+00	1.57E+00	2.00E+00	1.82E+00
WIDE01010460T	2.26E+03	2.02E+03	9.47E+02	8.88E+02	6.40E+02	1.20E+02	7.10E+00	8.13E+01	2.32E+03	2.05E+01	3.68E+02	2.49E+01	1.29E+01	5.55E+00	1.47E+01
CPCT02010882T	2.27E+03	2.21E+03	7.61E+02	6.45E+02	4.03E+02	9.78E+01	7.73E+00	5.22E+01	1.73E+03	2.11E+01	2.58E+02	2.76E+01	1.13E+01	5.66E+00	1.12E+01
CPCT02080244T	8.23E+00	6.70E+00	1.89E+00	1.33E+01	1.19E+01	3.23E+00	1.71E+00	3.22E+00	9.46E+00	2.54E+00	4.64E+00	2.52E+00	2.05E+00	1.50E+00	2.10E+00
CPCT02010881T	1.07E+01	8.82E+00	2.42E+00	5.41E+00	5.27E+00	3.20E+00	6.39E-01	2.91E+00	7.87E+00	2.72E+00	3.66E+00	1.71E+00	1.70E+00	1.19E+00	2.14E+00
CPCT02170033T	6.95E+00	6.25E+00	1.98E+00	5.89E+00	5.60E+00	1.97E+00	1.15E+00	3.63E+00	5.69E+00	3.45E+00	4.54E+00	1.70E+00	2.35E+00	3.21E+00	1.83E+00
CPCT02120079T	6.26E+00	5.81E+00	1.91E+00	1.21E+01	1.11E+01	3.07E+00	4.72E-01	3.10E+00	7.91E+00	1.84E+00	3.70E+00	1.32E+00	1.91E+00	1.11E+00	1.52E+00
CPCT02040258T	1.33E+01	1.06E+01	3.99E+00	9.14E+00	8.93E+00	1.01E+01	6.59E+00	3.54E+00	9.90E+00	3.40E+00	1.30E+01	2.82E+00	2.57E+00	1.81E+00	4.82E+00
CPCT02040269T	8.50E+00	6.09E+00	2.79E+00	7.58E+00	7.63E+00	4.96E+00	1.35E+00	4.20E+00	7.42E+00	1.93E+00	4.80E+00	2.39E+00	2.27E+00	3.39E+00	3.08E+00
CPCT02090059T	1.26E+01	1.14E+01	4.59E+00	8.54E+00	7.01E+00	3.97E+00	1.97E+00	5.50E+00	1.04E+01	6.43E+00	7.32E+00	3.59E+00	2.69E+00	4.32E+00	3.44E+00
CPCT02330102T	9.57E+00	8.33E+00	5.99E+00	7.30E+00	8.90E+00	4.20E+00	1.19E+00	4.66E+00	1.00E+01	4.78E+00	9.78E+00	2.90E+00	1.67E+00	1.77E+00	3.64E+00
CPCT02390033T	8.02E+00	6.99E+00	1.55E+00	6.71E+00	5.54E+00	4.06E+00	6.12E-01	2.42E+00	5.82E+00	1.48E+00	3.46E+00	1.43E+00	1.82E+00	1.51E+00	1.67E+00
CPCT02030514T	8.03E+00	7.12E+00	1.31E+01	1.79E+01	1.70E+01	6.75E+00	1.73E+00	1.31E+01	1.62E+01	1.49E+01	1.49E+01	3.33E+00	2.69E+00	3.64E+00	8.13E+00
CPCT02010898T	2.53E+00	1.55E+00	1.29E+00	1.26E+01	1.01E+01	5.36E+00	5.11E-01	1.97E+00	4.79E+00	1.08E+00	6.39E+00	1.15E+00	1.35E+00	1.12E+00	1.26E+00
CPCT02110073T	1.34E+01	1.04E+01	1.94E+00	1.60E+01	1.30E+01	2.89E+00	5.34E-01	2.05E+00	1.22E+01	1.99E+00	4.33E+00	1.36E+00	1.99E+00	7.62E-01	1.47E+00
CPCT02340095T	6.14E+00	6.55E+00	1.77E+00	3.85E+00	3.61E+00	3.52E+00	9.26E-01	3.97E+00	5.49E+00	1.84E+00	3.28E+00	1.20E+00	2.00E+00	1.34E+00	1.67E+00
CPCT02050387T	8.70E+00	6.14E+00	1.80E+00	1.36E+01	1.19E+01	2.73E+00	4.52E-01	2.57E+00	9.55E+00	1.44E+00	4.91E+00	1.54E+00	1.59E+00	9.08E-01	2.06E+00
CPCT02390034T	1.80E+01	1.54E+01	3.37E+00	1.43E+01	1.31E+01	6.38E+00	3.53E+00	3.45E+00	1.32E+01	3.85E+00	7.87E+00	2.00E+00	2.69E+00	1.90E+00	2.72E+00
CPCT02130144T	1.06E+01	8.43E+00	4.85E+00	3.64E+01	3.10E+01	7.31E+00	1.03E+00	5.03E+00	2.13E+01	6.39E+00	1.17E+01	2.83E+00	2.23E+00	2.55E+00	3.57E+00
CPCT02210064T	4.49E+01	3.65E+01	4.72E+00	1.81E+01	1.55E+01	5.64E+00	8.82E-01	6.55E+00	3.12E+01	2.83E+00	8.82E+00	1.91E+00	1.97E+00	1.20E+00	2.41E+00
CPCT02410008T	3.55E+00	1.07E+00	1.64E+00	4.83E+00	4.55E+00	1.91E+00	4.51E-01	2.16E+00	4.94E+00	6.81E-01	2.18E+00	1.21E+00	1.27E+00	9.22E-01	1.67E+00
CPCT02170037T	9.90E+00	8.93E+00	3.07E+00	4.96E+00	5.25E+00	3.41E+00	6.23E+00	2.76E+00	5.33E+00	2.98E+00	3.70E+00	2.57E+00	2.26E+00	2.17E+00	2.36E+00
CPCT02170035T	1.75E+03	1.68E+03	6.24E+02	4.08E+02	2.68E+02	6.58E+01	5.20E+00	4.81E+01	1.42E+03	1.75E+01	1.51E+02	1.97E+01	7.59E+00	5.50E+00	1.13E+01
CPCT02020802T	8.39E+00	7.37E+00	1.43E+00	1.70E+01	1.33E+01	5.54E+00	9.38E-01	3.58E+00	1.13E+01	1.85E+00	6.97E+00	1.25E+00	9.34E-01	1.34E+00	1.64E+00
CPCT02230117T	1.54E+01	1.39E+01	3.63E+00	2.06E+01	1.74E+01	7.00E+00	1.06E+00	5.09E+00	1.40E+01	2.19E+00	1.03E+01	3.49E+00	2.80E+00	1.92E+00	3.67E+00
CPCT02350009T	2.13E+01	1.88E+01	3.61E+00	5.61E+00	7.39E+00	3.71E+00	2.04E+00	1.68E+01	2.27E+01	4.46E+00	4.15E+00	3.23E+00	2.43E+00	2.60E+00	3.72E+00
CPCT02210070T	6.79E+00	5.74E+00	2.66E+00	1.08E+01	8.92E+00	3.88E+00	8.39E-01	2.54E+00	7.75E+00	2.27E+00	4.91E+00	1.61E+00	1.67E+00	1.59E+00	1.52E+00
CPCT02120160T	9.72E+00	9.32E+00	2.94E+00	9.62E+00	8.04E+00	5.02E+00	1.38E+00	4.45E+00	8.79E+00	2.43E+00	5.37E+00	2.21E+00	1.91E+00	1.17E+00	2.22E+00
CPCT02180072T	6.20E+00	5.00E+00	1.68E+00	8.55E+00	7.38E+00	2.21E+00	8.19E-01	3.19E+00	6.32E+00	1.56E+00	3.32E+00	1.20E+00	2.23E+00	1.55E+00	1.31E+00
CPCT02350012T	7.93E+00	5.72E+00	1.70E+00	1.36E+01	1.12E+01	3.57E+00	9.43E-01	2.46E+00	8.94E+00	2.56E+00	4.61E+00	1.49E+00	1.45E+00	8.56E-01	1.56E+00
CPCT02050397T	8.52E+00	6.83E+00	2.98E+00	6.34E+00	6.30E+00	4.43E+00	1.04E+00	2.72E+00	6.66E+00	2.57E+00	4.50E+00	1.30E+00	1.92E+00	1.38E+00	2.08E+00
CPCT02030528T	1.13E+01	8.83E+00	2.46E+00	8.19E+00	8.24E+00	6.13E+00	2.85E+00	7.16E+00	1.24E+01	4.35E+00	5.10E+00	2.94E+00	2.59E+00	2.56E+00	3.26E+00
CPCT02100182T	9.59E+00	6.14E+00	1.34E+00	9.62E+00	8.29E+00	4.66E+00	1.92E+00	2.65E+00	8.09E+00	1.64E+00	3.68E+00	1.57E+00	1.50E+00	1.18E+00	1.64E+00
DRUP01050031T	1.66E+01	1.57E+01	6.20E+00	7.79E+00	9.88E+00	4.67E+00	1.36E+00	7.39E+00	1.55E+01	7.21E+00	8.30E+00	6.79E+00	3.18E+00	2.59E+00	5.83E+00
CPCT02370036T	8.48E+00	6.03E+00	2.87E+00	1.72E+01	1.44E+01	7.46E+00	1.54E+00	2.58E+00	1.10E+01	3.32E+00	6.68E+00	1.57E+00	2.26E+00	1.59E+00	1.91E+00
CPCT02050398T	9.93E+00	7.46E+00	3.22E+00	2.19E+01	1.94E+01	4.79E+00	6.81E-01	2.78E+00	1.33E+01	3.22E+00	6.69E+00	6.75E-01	2.58E+00	1.26E+00	2.00E+00
CPCT02120162T	5.38E+00	5.35E+00	2.15E+00	7.24E+00	6.68E+00	2.98E+00	5.67E-01	2.82E+00	5.33E+00	2.78E+00	3.77E+00	1.73E+00	2.03E+00	1.28E+00	1.72E+00
CPCT02130137T	8.90E+00	7.27E+00	1.41E+00	1.86E+01	1.51E+01	4.23E+00	9.22E-01	2.57E+00	9.03E+00	1.73E+00	5.18E+00	1.27E+00	2.74E+00	1.47E+00	1.99E+00
CPCT02300048T	4.58E+00	4.67E+00	2.63E+00	8.55E+00	8.05E+00	2.56E+00	6.23E-01	4.39E+00	7.79E+00	2.76E+00	3.39E+00	2.68E+00	1.59E+00	1.40E+00	2.50E+00
CPCT02250011T	7.63E+00	5.74E+00	8.15E+00	7.23E+00	8.79E+00	9.05E+00	6.88E+00	7.95E+00	1.33E+01	8.92E+00	1.04E+01	3.35E+00	3.82E+00	8.73E+00	8.21E+00
CPCT02050261T	9.45E+00	8.25E+00	1.79E+00	1.08E+01	9.54E+00	5.41E+00	1.49E+00	4.12E+00	8.85E+00	1.87E+00	7.35E+00	1.18E+00	1.38E+00	1.82E+00	2.29E+00
DRUP01160001T	8.78E+00	6.57E+00	4.19E+00	7.59E+00	7.40E+00	4.46E+00	3.37E+00	6.90E+00	8.51E+00	7.69E+00	6.97E+00	5.55E+00	4.52E+00	5.22E+00	4.53E+00
CPCT02150025T	5.61E+00	4.34E+00	3.53E+00	9.51E+00	8.44E+00	3.62E+00	8.12E-01	2.61E+00	8.23E+00	3.83E+00	4.51E+00	1.17E+00	1.77E+00	1.13E+00	1.58E+00
DRUP01020033T	1.58E+01	1.36E+01	3.68E+00	1.11E+01	1.02E+01	4.70E+00	2.89E+00	3.83E+00	1.21E+01	3.81E+00	5.49E+00	4.11E+00	2.45E+00	1.51E+00	4.10E+00
CPCT02460002T	7.73E+00	7.14E+00	2.76E+00	9.94E+00	8.05E+00	6.45E+00	5.38E+00	5.39E+00	6.70E+00	2.93E+00	5.95E+00	6.48E+00	2.10E+00	1.70E+00	5.60E+00
CPCT02040264T	1.00E+01	8.32E+00	2.39E+00	8.68E+00	8.16E+00	5.99E+00	1.61E+00	2.87E+00	6.90E+00	2.71E+00	5.05E+00	1.36E+00	1.90E+00	1.58E+00	1.59E+00
CPCT02370037T	1.64E+01	1.32E+01	4.12E+00	1.11E+01	1.35E+01	5.54E+00	1.28E+00	4.65E+00	1.15E+01	2.73E+00	1.53E+01	1.76E+00	2.34E+00	2.66E+00	6.02E+00
CPCT02100188T	1.14E-01	2.27E-01	4.63E-01	6.55E-01	6.46E-01	1.15E+00	1.42E-01	9.41E-01	1.03E+00	3.96E-01	1.05E+00	9.28E-01	1.23E+00	7.92E-01	1.26E+00
DRUP01220004T	4.15E+00	3.17E+00	3.41E+00	4.27E+00	3.48E+00	2.59E+00	9.44E-01	3.71E+00	4.77E+00	2.07E+00	6.14E+00	3.23E+00	1.12E+00	1.10E+00	6.89E+00
CPCT02380011T	6.26E+00	5.45E+00	2.85E+00	1.01E+01	7.70E+00	4.22E+00	1.43E+00	2.87E+00	6.99E+00	2.69E+00	5.57E+00	3.46E+00	1.60E+00	1.11E+00	2.80E+00
CPCT02160057T	6.22E+00	4.29E+00	1.88E+00	8.84E+00	7.69E+00	5.04E+00	1.67E+00	3.53E+00	6.21E+00	2.15E+00	5.50E+00	3.12E+00	1.56E+00	1.54E+00	3.40E+00
CPCT02050220T	7.39E+00	4.96E+00	1.77E+00	1.02E+01	8.97E+00	4.53E+00	1.82E+00	2.70E+00	7.19E+00	2.16E+00	4.46E+00	1.73E+00	2.03E+00	1.46E+00	1.62E+00
CPCT02220059T	4.18E+00	2.89E+00	1.69E+00	5.21E+00	5.52E+00	2.74E+00	3.35E+00	2.16E+00	4.36E+00	2.00E+00	3.76E+00	1.17E+00	1.69E+00	1.35E+00	1.74E+00
DRUP01090023T	3.92E+00	3.98E+00	1.42E+00	8.25E+00	7.07E+00	4.24E+00	5.71E-01	2.14E+00	3.21E+00	2.22E+00	4.64E+00	1.64E+00	1.21E+00	1.22E+00	1.76E+00
CPCT02120171T	1.04E+01	7.08E+00	1.83E+00	1.42E+01	1.19E+01	3.27E+00	1.13E+00	4.15E+00	1.09E+01	1.27E+00	5.00E+00	2.25E+00	1.59E+00	1.23E+00	2.30E+00
CPCT02050269T	3.95E+00	2.89E+00	1.41E+00	6.90E+00	6.00E+00	4.42E+00	1.77E+00	2.37E+00	4.82E+00	1.87E+00	2.87E+00	1.19E+00	1.70E+00	1.75E+00	1.38E+00
CPCT02230023T	1.23E+01	1.21E+01	5.37E+00	5.01E+00	4.43E+00	2.65E+00	6.69E-01	6.81E+00	1.10E+01	8.29E+00	6.22E+00	2.42E+00	2.54E+00	4.23E+00	3.50E+00
CPCT02180045T	2.10E+01	1.46E+01	3.20E+00	1.32E+01	1.11E+01	4.34E+00	1.01E+00	4.78E+00	1.65E+01	2.60E+00	5.39E+00	2.05E+00	2.01E+00	1.87E+00	2.48E+00
CPCT02090023T	1.20E+01	7.97E+00	3.61E+00	1.62E+01	1.24E+01	9.05E+00	3.24E+00	3.28E+00	1.17E+01	1.62E+00	9.76E+00	2.26E+00	3.00E+00	2.59E+00	3.68E+00
CPCT02050238T	4.02E+00	3.05E+00	1.68E+00	8.21E+00	7.32E+00	2.72E+00	9.73E-01	2.61E+00	4.93E+00	1.29E+00	2.71E+00	1.97E+00	1.75E+00	8.29E-01	2.10E+00
CPCT02070405T	2.37E+01	2.04E+01	3.72E+00	1.08E+01	1.12E+01	8.81E+00	1.99E+00	6.25E+00	1.77E+01	2.04E+00	8.34E+00	3.16E+00	2.42E+00	1.86E+00	2.85E+00
CPCT02060135T	9.57E+00	7.25E+00	2.08E+00	1.33E+01	1.18E+01	3.31E+00	1.02E+00	3.41E+00	8.58E+00	1.96E+00	6.15E+00	2.56E+00	1.86E+00	1.22E+00	2.62E+00
CPCT02230053T	1.77E+01	1.30E+01	1.89E+00	1.55E+01	1.35E+01	3.12E+00	8.93E-01	2.62E+00	1.43E+01	2.07E+00	5.46E+00	1.53E+00	2.25E+00	1.17E+00	1.65E+00
CPCT02330052T	1.53E+01	1.21E+01	9.45E+00	1.54E+01	1.41E+01	6.43E+00	1.44E+00	8.42E+00	1.53E+01	1.14E+01	1.15E+01	2.56E+00	2.46E+00	2.14E+00	7.63E+00
CPCT02330049T	1.23E+01	9.91E+00	2.59E+00	8.06E+00	5.82E+00	4.94E+00	1.12E+00	3.62E+00	9.13E+00	4.08E+00	4.86E+00	2.20E+00	2.40E+00	2.42E+00	2.57E+00
DRUP01010047T	1.75E+03	1.71E+03	5.48E+02	1.83E+02	8.81E+01	5.82E+01	5.40E+00	5.72E+01	1.39E+03	1.90E+01	7.15E+01	2.32E+01	7.00E+00	5.33E+00	1.19E+01
CPCT02370002TII	9.50E+00	8.86E+00	5.45E+00	1.27E+01	1.11E+01	5.93E+00	1.30E+00	6.11E+00	9.62E+00	7.94E+00	6.37E+00	2.86E+00	2.77E+00	1.94E+00	3.97E+00
CPCT02190023T	1.20E+01	8.66E+00	2.30E+00	1.68E+01	1.42E+01	4.77E+00	1.33E+00	5.26E+00	1.28E+01	2.34E+00	6.31E+00	1.77E+00	1.84E+00	1.61E+00	2.22E+00
