Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
SP123975	1:Del:C:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:C:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:C:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:C:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:C:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:C:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Del:T:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:C:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	1:Ins:T:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	2:Del:R:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	3:Del:R:5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	4:Del:R:0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	4:Del:R:1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	4:Del:R:2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	4:Del:R:3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
SP123975	4:Del:R:4	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
