MutationType	SP124389	SP124362	SP124394	SP124334	SP124339	SP124454	SP124380	SP124273	SP124357	SP124399	SP124311	SP124355	SP124434	SP124428	SP124449	SP124298	SP124431	SP124396	SP124409	SP124341	SP124353	SP124278	SP124376	SP124346	SP124439	SP124351	SP124406	SP124323	SP124391	SP124423	SP124382	SP124415	SP124436	SP124460	SP124425	SP124456	SP124367	SP124281	SP124377	SP124412	SP124333	SP124359	SP124286	SP124329	SP124326	SP124458	SP124401	SP124264	SP124384	SP124403	SP124462	SP124271	SP124336	SP124452	SP124386	SP124441	SP124418	SP124291	SP124319	SP124305	SP124447	SP124344	SP124369	SP124348	SP124295	SP124444	SP124365	SP124420	SP124364	SP124307	SP82445	SP83242	SP103894	SP83382	SP82451	SP104330	SP83312	SP82614	SP82431	SP82459	SP113197	SP82532	SP82636	SP82796	SP83482	SP104530	SP82429	SP82644	SP82988	SP82461	SP82900	SP82399	SP82756	SP82836	SP82417	SP82471	SP82435	SP104056	SP83083	SP82433	SP82780	SP83019	SP83099	SP83146	SP103866	SP83844	SP83027	CPCT02060044T	CPCT02030247T	CPCT02050043T	CPCT02020342T	CPCT02010371T	CPCT02030256T	CPCT02050045T	CPCT02050047T	CPCT02010393T	CPCT02020358T	CPCT02090002T	CPCT02010403T	CPCT02030272T	CPCT02020373T	CPCT02050052T	CPCT02030270T	CPCT02050056T	CPCT02050055T	CPCT02030279T	CPCT02020320T	CPCT02060037T	CPCT02100033T	CPCT02010436T	CPCT02010439T	CPCT02060043T	CPCT02030284T	CPCT02020410T	CPCT02020408T	CPCT02030291T	CPCT02050079T	CPCT02050073T	CPCT02220001T	CPCT02010440T	CPCT02011020T	CPCT02340050T	CPCT02080280T	CPCT02080282T	CPCT02060163T	CPCT02011025T	CPCT02010754TII	CPCT02010716T	CPCT02170039T	CPCT02080284T	CPCT02030555T	CPCT02011037T	CPCT02120180T	CPCT02050304T	CPCT02020895T	CPCT02090032T	CPCT02020662T	DRUP01080025T	CPCT02020891T	CPCT02080266TII	CPCT02020901T	CPCT02080287T	CPCT02011045T	CPCT02020897T	CPCT02120101T	CPCT02020910T	CPCT02120095T	CPCT02080294T	CPCT02080292T	CPCT02120098T	CPCT02120105T	CPCT02020914T	CPCT02160035T	CPCT02050310T	CPCT02290061T	CPCT02050308T	CPCT02090035T	CPCT02020933T	CPCT02020930T	CPCT02020934T	CPCT02020939T	CPCT02020670T	CPCT02020837TII	CPCT02030459T	CPCT02350019T	CPCT02050424T	CPCT02340064T	CPCT02011045TII	CPCT02120189T	CPCT02010754T	CPCT02020868T	CPCT02060286T	CPCT02060288T	CPCT02120193T	CPCT02120187T	CPCT02120191T	CPCT02080304T	CPCT02080307T	CPCT02080303T	CPCT02340067T	CPCT02030461T	CPCT02020919T	CPCT02050432T	CPCT02120110T	CPCT02080308T	CPCT02020951T	DRUP01060009T	CPCT02020949T	CPCT02020960T	WIDE01010033T	CPCT02340115T	CPCT02050322T	CPCT02050046T	CPCT02050331T	WIDE01010071T	CPCT02020895TII	CPCT02030468T	CPCT02020959T	CPCT02080313T	CPCT02080311T	CPCT02011108T	CPCT02080314T	CPCT02020694T	CPCT02020672T	WIDE01010123T	CPCT02020665T	CPCT02080207T	CPCT02060291T	CPCT02050441T	CPCT02050440T	CPCT02050438T	DRUP01230001T	CPCT02080205T	CPCT02020714T	WIDE01010172T	CPCT02340081T	CPCT02010801T	CPCT02010794T	CPCT02340083T	CPCT02050347T	CPCT02120198T	CPCT02120199T	WIDE01010255T	CPCT02040241T	WIDE01010305T	WIDE01010314T	CPCT02060228T	WIDE01010328T	CPCT02030479T	CPCT02040246T	WIDE01010376T	WIDE01010381T	WIDE01010392T	CPCT02080221T	CPCT02020723T	CPCT02020736T	CPCT02020743T	CPCT02020739T	CPCT02050365T	CPCT02020670TII	CPCT02030490T	CPCT02300042T	CPCT02020700T	CPCT02220050T	CPCT02050370T	CPCT02050373T	CPCT02080234T	CPCT02030499T	CPCT02020770T	CPCT02050376T	CPCT02080239T	CPCT02050301T	CPCT02080242T	CPCT02020789T	CPCT02020796T	CPCT02220057T	CPCT02340098T	CPCT02340097T	CPCT02170038T	CPCT02010920T	CPCT02050399T	CPCT02050404T	CPCT02050402T	CPCT02060256T	CPCT02080259T	CPCT02020813T	CPCT02020785T	CPCT02020810T	CPCT02020821T	CPCT02340100T	CPCT02080266T	CPCT02010941T	CPCT02020822T	CPCT02020819T	CPCT02050405T	CPCT02020837T	CPCT02340102T	DRUP01060021T	DRUP01060019T	DRUP01060018T	CPCT02070394T	CPCT02080269T	CPCT02030459TII	CPCT02050411T	CPCT02030547T	CPCT02020828T	CPCT02080270T	CPCT02060133T	CPCT02050276TII	CPCT02080271T	CPCT02050243T	CPCT02060126T	DRUP01010106T	CPCT02050245T	CPCT02030548T	CPCT02050415T	CPCT02020853T	CPCT02020506TII	DRUP01080021T	CPCT02020854T	CPCT02010994T	DRUP01080022T	CPCT02020863T	CPCT02050276T	CPCT02030552T	CPCT02080275T	CPCT02030553T	CPCT02120062T	CPCT02020615T	CPCT02050421T	CPCT02120053T	CPCT02020626T	CPCT02120055T	CPCT02070422T	CPCT02120058T	CPCT02170017T	CPCT02020609T	CPCT02050249T	CPCT02060146T	CPCT02060049T	CPCT02050159T	CPCT02010550T	CPCT02010534T	CPCT02050079TII	CPCT02050170T	CPCT02050168T	CPCT02020509T	CPCT02050073TII	CPCT02020511T	CPCT02010565T	CPCT02020517T	CPCT02010393TII	CPCT02050181T	CPCT02020519T	CPCT02020520T	CPCT02060092T	CPCT02080116T	CPCT02080113T	CPCT02050194T	CPCT02050193T	CPCT02030350T	CPCT02080123T	CPCT02020542T	CPCT02010505T	CPCT02020553T	CPCT02170006T	CPCT02050212T	CPCT02050214T	CPCT02050217T	CPCT02020573T	CPCT02180032T	CPCT02010503TII	CPCT02010622T	CPCT02030370T	CPCT02030339TII	CPCT02040142T	CPCT02120050T	CPCT02120037T	CPCT02050235T	CPCT02050236T	CPCT02050232T	CPCT02050240T	CPCT02020574T	CPCT02020578T	CPCT02090005T	CPCT02020423T	CPCT02020426T	CPCT02050092T	CPCT02010403TII	CPCT02020412T	CPCT02010469T	CPCT02180012T	CPCT02020445T	CPCT02050105T	CPCT02050055TII	CPCT02010493T	CPCT02010503T	CPCT02010501T	CPCT02020464T	CPCT02090009T	CPCT02020468T	CPCT02340001T	CPCT02080079T	CPCT02010526T	CPCT02010532T	CPCT02060051T	CPCT02050141T	CPCT02110024T	CPCT02120013T	CPCT02050158T	CPCT02050149T	CPCT02010557T	CPCT02220014T	CPCT02050052TII	CPCT02020506T	CPCT02030339T	CPCT02080163T	CPCT02050281T	CPCT02070243T	CPCT02340040T	CPCT02120077T	CPCT02030437T	CPCT02010641TII	CPCT02050291T	CPCT02020643T	CPCT02150006T	WIDE01010503T	WIDE01010567T	WIDE01010459T	CPCT02060041T	WIDE01010561T	WIDE01010651T
1:Del:T:4	12	23	16	11	2	10	17	4	10	19	21	6	14	49	19	40	15	12	33	17	2	3	8	9	27	6	20	5	4	2	74	59	63	15	8	17	18	1	15	12	8	16	2	5	13	22	48	23	938	2	19	20	6	11	12	14	14	7	14	9	99	7	12	7	22	7	13	16	35	15	47	17	38	13	15	3	11	18	51	9	3	22	12	11	19	31	8	25	11	10	23	21	6	5	22	5	3	47	17	15	6	18	3	43	18	11	5	24	6	3	13	9	5	15	10	18	5	15	1	7	14	11	5	10	23	4	15	0	7	16	10	6	20	8	10	21	1	9	0	6	14	17	18	9	0	10	6	26	1	2	10	26	11	45	4	11	7	32	10	5	13	9	9	11	6	19	11	5	1	10	154	14	23	8	24	7	7	6	14	18	8	26	6	10	3	113	5	9	20	5	5	27	15	5	14	17	7	12	2	21	72	8	8	6	3	2	7	18	8	2	20	12	8	1	7	4	9	8	8	7	36	12	17	3	3	7	9	27	6	14	12	766	22	4	33	2	6	39	22	6	13	14	53	11	26	13	10	7	23	11	5	65	12	2	2	9	8	22	21	26	11	17	13	24	37	2	56	12	21	4	2	9	17	30	13	22	13	20	10	4	3	0	5	7	5	9	96	4	9	74	4	33	14	13	7	4	7	29	22	21	29	30	12	22	4	5	15	1	13	6	8	7	39	10	9	12	10	26	24	1	8	38	26	14	6	28	22	35	9	34	14	14	5	39	4	17	64	10	11	1	23	22	0	3	529	10	2	11	24	11	12	17	31	20	21	6	43	9	25	9	7	35	15	6	5	7	13	7	5	8	6	16	11	8	19	3	1	21	37	19	8	56	0	52	35	16	42	9	2	11	9	11	7	23	25	8	16	22	11	11	1	5	1	2	20	8	6	47	8	19	6	11	14	17	25	13	2	11	16	3	6	7	8	12	20	37	7	41	26	21	24	6
1:Del:T:5	23	26	17	24	5	27	30	28	35	33	25	14	33	55	54	57	20	88	39	28	5	31	29	30	49	8	83	20	13	2	72	74	73	62	12	32	32	11	13	15	14	32	18	4	26	45	107	26	12448	5	50	57	13	26	36	99	20	23	20	10	130	13	38	5	88	31	36	31	172	42	45	28	100	28	39	0	29	29	76	13	5	26	50	22	38	90	17	37	36	20	36	22	8	20	15	16	21	71	24	29	22	25	13	42	36	27	21	71	26	20	28	24	17	42	20	73	24	16	4	42	40	60	11	36	144	25	45	6	10	27	18	57	34	22	48	37	3	10	5	26	66	315	27	60	6	69	29	38	13	3	21	55	18	60	25	35	13	112	35	22	31	27	45	30	25	33	24	25	8	16	2757	31	22	68	40	50	20	29	20	47	12	72	17	66	3	177	33	47	45	25	16	43	104	22	54	29	19	35	13	174	145	109	17	28	20	8	129	43	45	6	72	33	29	21	27	26	46	56	23	14	460	34	49	7	15	26	15	31	47	120	44	17359	108	20	215	7	111	82	60	3	58	65	60	35	43	15	41	18	33	35	22	1102	40	7	24	24	15	34	45	74	47	65	31	89	116	3	90	42	30	9	10	15	62	77	51	51	48	61	36	5	15	25	36	33	44	28	156	15	52	467	20	50	35	13	25	10	22	129	194	155	280	119	85	50	17	11	33	8	32	36	17	23	95	46	18	30	10	70	132	15	23	46	68	32	23	55	48	44	109	250	40	24	69	139	24	96	146	30	107	10	68	37	1	5	11215	60	4	14	41	26	19	56	457	38	32	24	98	20	26	43	25	95	57	13	27	15	37	14	14	18	15	121	40	45	66	12	2	35	291	40	16	559	5	77	59	34	679	23	6	32	21	14	29	112	187	48	91	50	10	86	1	14	8	8	41	33	16	321	39	29	24	50	42	87	51	38	8	25	23	14	21	33	81	8	51	58	28	87	41	37	145	8
1:Ins:C:0	7	16	10	6	1	4	23	5	5	21	24	2	12	27	11	47	11	5	24	6	2	1	3	4	26	2	10	1	2	0	40	106	34	20	5	7	12	4	2	3	4	8	1	0	6	15	50	5	48	2	12	9	4	3	11	6	5	3	6	2	69	5	15	2	4	4	8	4	7	8	59	9	12	7	5	2	3	6	46	3	0	21	2	7	10	12	5	7	7	7	18	17	5	3	3	2	1	45	3	6	5	4	2	27	16	4	1	20	7	1	5	6	5	14	10	19	2	15	1	11	7	1	3	9	13	2	8	2	2	8	4	2	6	5	9	15	1	4	2	6	20	7	18	5	0	11	62	13	2	1	8	23	4	35	5	69	7	90	9	29	5	9	8	7	1	12	7	6	3	6	12	7	9	9	7	2	4	13	9	18	4	20	45	3	0	115	4	6	8	3	8	19	6	13	6	3	2	13	4	9	70	13	0	0	2	1	5	72	9	4	36	8	5	1	5	10	3	7	8	17	15	37	6	2	7	11	6	21	4	7	17	173	13	6	26	1	4	13	14	2	10	13	31	10	12	19	5	10	9	16	5	30	13	2	1	7	3	16	8	18	8	10	6	10	20	2	26	8	9	3	3	7	10	10	32	17	10	7	10	2	1	2	5	8	5	9	81	13	12	23	5	19	23	3	8	5	3	17	14	15	13	21	4	12	1	3	8	0	4	2	3	7	23	10	10	9	4	18	13	4	2	52	15	4	9	7	40	42	7	13	10	8	6	21	3	2	30	17	11	1	21	10	2	3	25	7	1	4	20	9	10	19	85	18	13	3	25	2	5	19	4	25	8	0	1	7	12	1	1	4	2	15	18	3	6	2	1	12	37	16	5	37	4	28	70	19	31	5	2	4	4	7	5	19	22	4	13	22	3	6	0	5	3	2	20	2	3	13	10	8	2	8	8	2	18	5	1	9	10	3	7	3	1	5	20	21	11	34	27	49	7	4
1:Ins:C:1	1	5	3	2	0	0	7	2	1	8	2	3	4	3	3	10	4	9	12	2	3	3	4	4	4	0	4	0	5	0	14	14	7	1	3	2	2	0	1	2	5	2	0	0	1	5	11	3	21	4	7	2	4	0	4	3	2	0	5	2	17	1	11	2	1	0	8	4	5	6	10	2	6	4	4	0	2	4	10	0	1	7	4	3	5	5	2	4	1	3	8	7	2	2	4	3	1	13	4	0	1	4	1	8	5	2	0	1	2	2	2	4	2	4	3	7	0	6	0	2	1	0	1	1	7	0	6	0	2	3	3	2	2	2	4	6	0	4	3	3	7	4	5	1	0	1	17	6	1	1	3	1	3	18	3	7	2	29	4	20	1	4	3	2	5	3	0	5	0	2	4	2	6	1	3	1	2	7	6	2	3	4	19	5	1	27	4	4	2	3	1	5	3	1	2	3	4	2	2	6	23	3	3	0	2	3	1	22	7	4	4	2	4	0	5	0	2	4	2	9	10	7	1	3	1	5	3	3	3	3	6	45	3	0	7	3	3	8	5	1	3	4	7	2	8	2	2	5	5	2	1	8	1	0	0	1	3	9	7	5	4	8	1	10	9	1	11	2	9	11	2	2	2	3	1	9	6	2	3	0	3	2	3	3	2	4	23	3	3	18	3	5	4	2	5	2	1	5	2	3	10	6	7	4	5	2	5	0	2	1	2	2	10	4	0	3	3	5	3	0	0	21	5	1	1	5	9	6	2	3	5	2	0	9	0	2	8	3	1	1	12	6	0	0	18	3	1	7	9	2	3	7	8	7	6	2	15	2	2	5	3	8	7	1	2	2	3	0	2	1	2	4	5	0	5	0	2	5	8	4	2	13	0	15	17	3	9	3	2	3	1	0	2	5	11	2	2	2	3	7	0	1	1	0	4	2	3	7	4	2	2	2	5	0	5	5	0	2	5	3	4	2	3	3	8	7	3	15	1	8	7	4
1:Ins:C:2	3	2	2	1	0	0	2	2	2	3	6	0	3	4	2	2	0	3	5	0	0	0	1	2	3	0	0	1	2	0	0	7	3	1	0	0	5	0	0	0	2	0	0	1	0	3	3	3	7	1	1	1	3	0	0	1	2	0	2	1	9	3	2	2	1	2	4	4	1	1	4	2	2	0	1	0	0	0	4	3	2	3	0	4	1	5	1	4	1	2	3	3	1	2	7	1	0	6	0	2	1	3	1	4	3	2	3	4	3	2	0	4	0	5	2	2	0	2	0	1	3	2	1	3	2	0	3	1	0	3	2	0	2	3	2	4	1	2	1	2	2	5	2	2	1	2	6	3	5	2	3	3	3	7	3	2	2	8	3	5	8	4	5	1	1	0	3	2	2	2	3	6	4	1	3	3	2	2	3	3	0	4	8	3	0	24	1	3	5	3	2	1	1	3	2	3	3	0	2	1	9	2	1	2	1	0	5	6	2	1	0	1	3	0	1	2	4	1	0	5	3	0	0	0	1	4	0	0	1	2	1	17	2	1	2	2	1	5	6	1	3	3	2	4	2	2	1	2	2	3	1	3	4	0	0	5	2	4	3	4	0	0	0	6	5	1	9	3	2	2	2	2	1	2	1	2	2	1	2	1	1	2	2	0	1	2	9	1	1	2	5	0	10	1	1	1	3	4	1	0	4	6	2	5	3	0	3	1	1	2	1	0	11	6	3	5	1	9	2	2	0	11	4	1	1	5	5	4	4	5	2	1	0	8	3	0	8	2	2	0	5	1	1	0	7	0	0	3	2	3	0	2	2	2	3	2	0	0	2	6	3	5	2	0	0	1	4	2	0	4	1	6	1	0	6	1	1	4	5	3	1	5	0	6	8	4	3	2	0	1	2	0	1	4	2	0	4	4	1	5	1	1	0	2	4	1	0	2	1	1	1	0	2	2	7	3	0	2	0	3	1	0	0	1	3	3	2	7	3	3	3	1
1:Ins:C:3	2	1	1	1	0	0	2	3	2	2	1	2	1	1	4	0	1	1	1	5	0	0	1	0	1	0	0	2	3	0	5	6	2	2	1	2	0	1	3	1	2	2	0	0	3	1	2	1	17	0	2	3	2	2	0	0	0	1	2	1	4	1	1	1	4	1	0	3	0	3	2	3	5	2	2	0	2	0	4	2	0	2	2	1	1	2	0	1	1	0	4	2	1	2	1	4	2	5	1	2	0	2	1	1	1	1	1	1	2	1	2	3	1	1	2	5	0	0	1	1	1	0	0	1	1	3	6	0	0	3	2	0	1	3	1	3	0	1	0	0	4	3	0	0	1	4	10	2	2	0	3	3	1	7	2	1	0	5	3	7	2	1	0	0	3	1	1	4	0	3	6	0	0	0	3	1	1	2	4	3	1	4	6	1	1	6	1	0	2	4	0	4	1	4	3	3	2	2	2	2	6	0	0	2	2	0	5	2	3	0	3	1	0	1	3	2	1	0	0	3	1	3	2	0	0	3	4	4	0	2	0	13	1	2	3	0	4	7	2	2	0	1	2	4	1	0	0	1	1	2	0	2	0	2	0	1	1	7	1	5	3	4	1	5	4	1	4	0	3	4	3	4	2	4	3	2	2	3	0	2	2	1	0	3	1	2	4	1	1	5	4	4	4	2	1	3	1	6	3	2	1	4	2	3	0	3	1	0	0	1	1	0	16	1	2	1	0	4	0	4	1	10	2	0	3	1	0	3	1	1	1	2	0	18	1	0	2	2	5	0	1	2	2	1	14	7	2	3	3	3	1	4	3	0	2	2	4	0	3	3	0	5	5	2	1	3	0	1	2	2	1	3	0	1	1	4	0	2	5	1	1	0	0	2	4	4	5	1	0	1	1	1	1	2	4	0	0	3	0	3	0	0	2	0	2	0	1	4	0	1	1	3	0	2	3	1	1	3	1	2	4	0	3	0	3	3	1	6	0	1	3	1
1:Ins:C:4	0	0	1	0	0	2	3	3	1	2	1	1	2	2	3	5	0	5	4	2	1	1	0	1	0	0	0	2	1	0	1	0	1	2	1	1	0	0	0	0	1	0	0	0	0	2	3	0	81	1	1	2	3	1	2	1	0	0	1	1	1	1	1	3	3	3	1	1	0	0	3	0	0	1	2	0	5	0	2	0	1	0	2	1	3	2	1	1	0	0	3	2	2	1	0	3	0	5	0	3	1	1	0	1	2	0	1	2	1	1	4	2	1	2	1	3	1	4	0	3	0	2	1	0	3	3	4	0	2	1	1	4	3	1	0	1	0	1	1	0	1	1	0	1	0	3	5	4	1	0	3	2	1	1	2	2	0	3	3	6	2	2	1	3	1	1	1	0	0	1	8	1	2	1	2	5	3	1	4	0	3	3	5	1	0	3	1	1	1	0	2	3	1	1	0	4	1	0	0	3	3	2	1	2	1	0	9	3	0	0	1	0	2	0	2	1	0	0	0	2	3	2	1	2	1	3	2	1	2	2	1	58	3	0	0	1	2	4	2	1	2	1	2	2	3	1	2	1	1	1	1	2	2	1	1	2	0	2	1	3	4	1	1	3	4	1	0	0	4	2	0	1	3	3	4	3	1	2	1	0	3	2	0	2	2	3	7	1	4	1	1	1	1	2	2	1	0	2	1	0	9	3	5	1	0	1	1	0	1	2	4	0	8	3	2	5	2	0	5	0	1	0	3	2	2	0	2	3	3	2	3	4	1	11	4	2	2	1	0	1	0	5	0	3	52	4	0	4	1	3	1	2	2	0	0	0	2	0	0	0	0	1	2	1	1	1	1	2	1	1	2	2	0	0	1	1	0	5	4	1	0	2	0	2	2	0	3	1	1	1	1	1	0	2	3	0	1	1	0	2	1	0	1	0	3	0	1	6	2	2	3	2	0	1	0	1	0	0	0	3	0	1	1	1	0	0	1	0	3	2	2	0
1:Ins:C:5	4	8	0	1	4	9	7	20	6	9	6	4	1	14	10	24	6	6	5	16	1	9	7	8	7	1	2	6	6	0	2	10	29	8	3	1	3	6	3	1	3	13	2	1	10	3	22	3	326	1	6	11	15	3	8	10	6	3	1	12	11	4	9	20	12	5	5	3	6	3	9	3	8	6	13	0	2	2	1	4	6	11	11	4	4	30	6	3	14	8	20	9	6	13	5	24	6	11	3	7	4	4	10	3	2	3	7	8	3	5	6	12	0	9	6	13	3	5	1	10	5	4	5	4	10	9	21	0	1	3	6	10	7	4	3	9	1	6	2	4	6	27	7	9	3	9	12	11	4	1	9	7	8	7	10	1	5	22	4	21	4	12	6	1	8	10	3	18	2	2	67	5	5	6	6	13	7	1	4	5	10	17	16	11	1	24	5	5	1	3	7	18	7	11	6	9	4	18	1	21	20	3	6	15	4	2	25	12	4	2	12	3	15	3	6	11	9	7	5	10	19	2	8	6	6	2	4	1	5	6	3	451	9	4	14	3	18	6	13	2	7	9	15	13	13	13	7	6	3	2	6	20	9	1	2	9	10	24	12	19	9	12	10	7	12	3	14	3	4	16	3	4	9	3	8	6	4	11	3	2	11	10	0	7	4	4	42	3	13	20	8	6	11	11	4	10	3	16	7	5	30	12	23	10	1	6	7	2	7	4	17	11	20	18	4	7	3	5	16	6	4	15	6	6	5	2	11	2	14	13	6	6	3	22	5	10	12	13	5	4	16	7	0	2	358	11	1	8	5	15	5	11	13	7	6	2	17	4	9	10	2	14	9	5	7	3	8	12	4	6	0	17	1	7	8	5	0	8	20	9	6	14	0	12	7	7	23	9	1	5	5	3	7	7	10	3	13	10	2	13	2	2	3	1	6	5	10	12	13	5	24	16	5	4	7	6	0	3	3	10	8	3	7	2	14	7	5	8	10	4	8	6
1:Ins:T:0	8	31	10	3	3	6	13	3	6	31	20	3	16	33	20	66	11	10	41	3	3	0	3	2	55	1	6	0	3	0	60	152	49	30	6	5	12	3	4	3	5	2	0	3	6	19	74	6	38	2	15	7	5	14	22	2	22	0	15	3	127	1	29	3	3	3	16	5	14	7	97	7	25	4	6	0	4	11	68	11	2	27	5	8	7	17	6	17	10	12	34	14	4	5	8	3	1	69	14	5	8	9	1	39	12	5	1	29	8	5	18	6	4	20	9	44	2	13	2	7	5	14	5	15	12	6	11	2	6	15	5	5	10	9	11	31	4	12	6	2	35	8	43	16	1	22	38	34	5	5	12	31	5	42	5	20	14	67	8	31	17	10	10	11	2	15	11	13	1	8	23	8	20	6	25	10	11	9	11	23	5	48	19	7	0	243	8	10	23	9	2	31	14	10	12	13	10	26	5	8	99	38	10	1	4	5	14	19	12	4	28	13	12	2	11	8	6	12	4	19	22	38	15	3	13	9	10	50	4	15	15	256	24	5	35	4	9	25	14	3	12	7	76	14	26	23	7	13	32	9	2	32	14	3	3	9	6	31	21	50	12	29	9	8	39	2	74	8	19	6	8	8	23	19	10	35	11	9	14	4	8	4	8	9	14	8	149	23	5	52	11	28	34	17	20	5	5	40	8	7	68	34	11	26	3	2	8	2	5	7	3	11	56	15	10	17	5	36	32	8	10	66	31	4	6	25	63	86	11	24	16	17	3	37	10	10	64	15	4	1	41	11	2	2	65	9	8	14	51	12	12	35	18	21	28	1	33	14	21	25	2	43	9	5	4	10	13	5	8	11	4	21	14	3	11	5	5	14	43	35	4	77	4	58	93	32	45	16	3	16	10	4	8	22	13	7	16	42	3	16	3	3	5	1	37	2	11	19	15	9	4	10	3	8	31	9	0	6	11	5	8	10	4	7	12	34	13	42	26	119	22	6
1:Ins:T:1	8	16	6	8	1	8	9	8	8	12	8	1	8	17	7	29	4	8	21	6	4	4	4	13	18	5	5	3	12	0	47	43	33	15	3	3	9	7	5	5	7	8	1	4	10	12	43	8	25	4	8	18	10	8	15	10	8	5	6	12	48	6	20	11	9	4	15	14	11	19	40	8	15	6	7	1	9	11	24	10	3	15	7	6	7	15	6	20	11	11	14	15	5	8	8	8	10	33	8	6	12	6	5	20	13	11	4	15	2	4	12	14	7	8	13	27	8	11	2	6	6	5	4	8	8	2	14	1	5	11	10	8	6	8	8	16	3	14	4	7	15	9	9	9	5	14	11	18	6	1	12	14	8	30	4	9	11	26	9	16	8	12	10	8	9	16	8	11	4	7	19	11	17	8	21	14	7	5	9	22	11	17	19	12	1	89	4	9	8	12	3	13	8	8	10	13	3	9	2	25	37	10	6	6	1	0	11	15	13	4	13	8	14	6	11	3	13	8	8	13	12	10	7	6	9	17	3	17	7	9	10	198	18	9	15	3	11	33	9	1	13	4	36	13	14	11	9	5	21	6	9	12	5	2	2	13	13	34	19	19	11	17	5	27	30	2	34	9	12	14	8	5	16	20	37	18	18	9	9	10	8	1	5	6	8	10	72	8	14	21	12	15	21	12	14	8	8	40	8	6	214	18	20	5	8	6	11	1	13	9	15	11	107	16	7	11	3	19	17	7	7	28	18	13	7	19	33	38	20	9	21	13	2	77	8	17	42	12	4	6	19	13	4	3	24	9	5	15	14	15	12	22	15	10	25	4	36	10	21	13	10	25	17	6	3	6	12	8	3	6	2	13	9	6	21	12	7	11	21	22	7	20	1	31	23	18	27	8	3	10	10	1	9	16	12	3	13	20	7	14	2	4	2	4	18	4	20	19	4	10	10	8	7	8	18	15	4	9	4	7	9	6	4	12	16	29	7	44	21	36	5	2
1:Ins:T:2	5	8	2	2	0	6	6	6	1	4	8	0	6	12	7	21	4	3	15	7	1	5	1	5	14	2	5	1	2	0	27	44	21	10	3	2	2	0	3	6	6	4	0	2	0	9	28	12	107	0	6	8	6	1	8	7	5	3	5	10	39	3	7	6	3	4	7	7	7	8	28	3	12	5	8	0	5	5	23	4	1	7	4	2	3	12	4	13	8	3	12	5	1	4	8	4	5	16	5	5	4	13	3	23	1	3	5	10	3	3	9	6	2	7	11	15	3	7	0	6	7	5	6	4	4	3	10	0	2	5	3	2	10	8	5	13	0	4	2	2	13	10	5	4	1	10	9	19	6	2	3	12	8	28	5	7	3	23	9	9	7	8	1	3	4	8	8	3	1	6	22	9	8	5	16	5	6	4	4	6	4	14	6	4	0	91	5	1	9	4	4	14	8	2	8	4	7	8	3	7	31	6	5	3	3	3	4	14	7	0	10	5	5	1	6	7	5	7	4	8	12	10	5	1	3	4	3	17	2	2	8	380	8	5	16	1	3	12	8	1	4	5	22	9	15	7	4	9	12	9	4	18	8	0	2	6	4	19	8	15	7	7	2	4	17	1	62	6	10	5	1	6	6	15	11	17	7	7	7	4	2	5	2	6	5	3	71	4	4	28	4	8	12	8	7	2	2	16	3	3	137	18	6	14	4	1	5	1	4	3	1	3	152	7	4	5	1	9	8	2	6	42	15	3	4	17	23	34	7	11	10	7	4	78	8	4	30	8	3	0	6	5	2	2	42	6	1	6	18	10	3	16	8	6	14	1	21	9	10	10	6	12	8	0	3	6	8	5	6	2	3	19	9	5	8	5	1	15	15	15	1	20	1	19	13	12	16	1	2	9	8	5	2	10	7	1	18	11	2	6	2	2	3	2	6	1	5	8	8	9	2	5	5	4	10	6	3	6	6	3	1	3	3	4	12	16	6	37	13	28	8	5
1:Ins:T:3	8	17	2	3	0	5	8	2	2	12	3	1	9	9	12	17	6	4	13	7	0	4	3	1	16	0	8	2	3	1	22	52	28	13	11	2	12	1	3	3	2	4	0	4	3	11	24	6	75	1	5	11	4	5	9	3	10	1	2	6	40	3	7	1	2	2	3	8	10	7	19	2	7	1	4	0	5	3	23	5	2	6	4	0	5	11	4	15	6	4	11	12	2	2	7	6	0	23	7	7	3	6	1	19	8	3	0	9	4	5	6	8	3	9	6	15	2	4	0	5	2	4	1	11	4	4	10	2	4	8	5	7	7	8	4	20	1	3	3	4	7	3	7	3	1	5	2	9	1	2	2	16	2	18	4	3	5	14	6	7	7	3	1	5	4	5	10	1	0	5	11	8	6	5	16	8	3	4	8	12	3	17	2	4	2	75	5	2	7	2	2	9	0	5	1	7	0	3	1	8	49	8	2	3	2	0	7	6	6	0	11	8	6	1	9	2	3	1	3	1	5	7	5	2	1	2	3	13	2	7	6	313	6	4	12	0	3	15	6	1	7	3	23	1	10	13	6	6	14	7	1	19	6	2	2	8	2	25	7	17	6	9	6	10	22	3	36	6	4	1	3	6	9	7	17	5	2	4	4	2	3	3	4	5	4	3	78	8	7	33	5	10	16	7	4	0	8	17	8	6	66	13	8	9	3	1	4	1	6	4	3	2	74	4	3	4	5	13	8	2	4	28	13	5	2	20	18	28	7	8	9	5	4	49	1	6	28	3	3	1	22	6	2	1	33	9	3	3	15	9	2	14	8	6	14	2	13	8	9	7	5	13	2	1	1	2	4	2	2	1	4	8	3	2	2	0	2	15	20	21	3	27	1	25	27	12	15	6	1	6	5	2	0	13	6	8	8	18	1	10	1	1	4	0	12	3	6	5	9	7	4	7	2	5	13	2	0	6	6	3	3	1	1	2	7	10	3	37	11	20	20	3
