MutationType	SP101845	SP101682	SP61553	SP101724	SP102103	SP102174	SP101622	SP102161	SP101654	SP102074	SP101694	SP101616	SP101666	SP101558	SP102096	SP102084	SP101580	SP102064	SP101564	SP101921	SP101648	SP101628	SP101708	SP102055	SP101634	SP101588	SP101584	SP101686	SP101532	SP101732	SP101528	SP101536	SP101576	SP102015	SP102168	SP101716	SP101592	SP101658	SP102045	SP101552	SP101519	SP101690	SP102123	SP101662	SP101600	SP101544	SP102133	SP101881	SP102035	SP101642	SP101596	SP101670	SP101674	SP101572	SP101678	SP101740	SP101700	SP101891	SP102143	SP102113	SP101521	SP101526	SP101540	SP101604	SP101548	SP101523	SP102090	SP101795	SP102187	SP101515	SP101931	SP101610	SP61703	SP59707	SP68659	SP62616	SP59761	SP66960	SP61453	SP63796	SP69155	SP59950	SP59938	SP64976	SP64296	SP65807	SP59803	SP66159	SP63356	SP68348	SP62450	SP67428	SP61713	SP68725	SP67609	SP62110	SP64546	SP63546	SP60322	SP60243	SP63966	SP60362	SP69077	SP67346	SP66687	SP63716	SP65376	SP61343	SP60001	SP59860	SP60610	SP64036	SP60842	CPCT02020307T	CPCT02020333T	CPCT02080024T	CPCT02030259TII	CPCT02040038T	CPCT02030250T	CPCT02050058T	CPCT02020393T	CPCT02030280T	CPCT02030278T	CPCT02100030T	CPCT02060056T	CPCT02030296T	CPCT02060046T	CPCT02130056T	CPCT02180051T	CPCT02070434T	DRUP01210006T	CPCT02020659T	CPCT02080191T	CPCT02330084T	CPCT02360009T	CPCT02060196T	CPCT02290028T	CPCT02030455T	CPCT02080198T	CPCT02010679T	CPCT02100152T	CPCT02070465T	CPCT02040224T	DRUP01060007T	CPCT02040223T	CPCT02270023T	CPCT02220079T	CPCT02230082T	CPCT02090043T	CPCT02130051T	CPCT02030259TIII	DRUP01020026T	CPCT02210046T	CPCT02120120T	WIDE01010205T	CPCT02340080T	WIDE01010216T	CPCT02130087T	WIDE01010264T	CPCT02130085T	WIDE01010292T	WIDE01010277T	CPCT02120118T	WIDE01010301T	CPCT02220045T	CPCT02130093T	CPCT02030482T	CPCT02030477T	CPCT02370026T	WIDE01010385T	WIDE01010397T	WIDE01010414T	WIDE01010420T	CPCT02270031T	CPCT02120132T	DRUP01010084T	CPCT02020741T	CPCT02020740T	CPCT02030492T	CPCT02070349T	CPCT02070348T	CPCT02060226T	CPCT02230111T	CPCT02080236T	CPCT02030498T	DRUP01050029T	CPCT02030505T	CPCT02120149T	CPCT02070358T	CPCT02060168T	CPCT02030509T	CPCT02210066T	CPCT02030495T	CPCT02060251T	CPCT02380049T	CPCT02300049T	CPCT02140079T	CPCT02110074T	CPCT02210065T	CPCT02120153T	CPCT02110078T	CPCT02030517T	CPCT02020466T	CPCT02070397T	CPCT02050203T	CPCT02020572T	CPCT02060142T	CPCT02230050T	CPCT02070222T	CPCT02010646T	CPCT02070418T	CPCT02080160T	CPCT02100112T	CPCT02100119T	CPCT02340032T	CPCT02020513T	CPCT02180025T	CPCT02120022T	CPCT02020516T	CPCT02060089T	CPCT02090018T	CPCT02060094T	CPCT02120028T	CPCT02090019T	CPCT02060105T	CPCT02020544T	CPCT02060110T	CPCT02030355T	CPCT02040127T	CPCT02070190T	CPCT02090020T	DRUP01020004T	CPCT02060120T	CPCT02070210T	CPCT02040144T	CPCT02040143T	CPCT02020593T	CPCT02180005T	CPCT02030299T	CPCT02020420T	CPCT02030303T	CPCT02070058T	CPCT02040050T	CPCT02020434T	CPCT02220006T	DRUP01140003T	CPCT02020459T	CPCT02330021T	CPCT02110016T	CPCT02330023T	CPCT02040095T	CPCT02160017T	CPCT02080093T	CPCT02060088T	CPCT02290021T	CPCT02340042T	CPCT02040192T	CPCT02300026T	CPCT02450007T	CPCT02170020T	CPCT02030440T	CPCT02190003T	WIDE01010536T	WIDE01010554T
1:Del:T:4	12	23	4	21	9	10	15	13	23	5	25	29	7	8	3	14	14	11	5	11	9	8	8	5	7	12	11	13	11	21	8	5	18	20	10	18	9	3	30	35	11	18	9	15	5	18	164	13	7	13	10	16	8	1	10	26	8	25	13	8	8	21	11	4	9	9	12	5	14	7	19	10	20	6	5	14	10	5	4	6	0	36	7	12	13	9	9	23	7	12	3	10	6	4	22	17	10	15	8	7	11	7	22	20	12	10	19	9	21	17	3	7	13	13	20	13	15	13	7	21	8	22	19	21	11	6	7	16	2	19	12	2	29	9	32	4	7	9	4	4	26	17	15	0	11	12	15	10	1	8	13	25	13	5	19	2	7	17	9	6	1	5	1	10	46	3	11	7	4	16	6	12	76	1	1	14	20	23	35	6	12	25	6	10	23	6	12	9	8	6	8	13	4	7	3	3	0	10	38	20	32	5	13	6	27	9	9	45	7	11	4	18	8	15	13	7	40	11	16	2	7	3	8	28	13	7	0	8	15	6	3	2	41	18	35	7	20	5	19	4	13	7	6	19	14	0	8	9	7	3	11	23	4	3	8	21	15	17	18	27	26	26	2	5
1:Del:T:5	33	58	42	76	23	39	28	27	91	15	34	40	17	15	21	75	22	25	25	30	7	20	46	20	8	53	32	27	22	33	15	9	39	30	12	101	21	9	43	41	21	36	24	19	16	34	3076	32	21	77	29	35	4	12	29	45	18	62	17	5	52	48	31	20	15	21	36	17	28	11	70	14	26	8	6	52	34	25	23	10	7	74	12	45	52	37	32	40	10	80	10	26	21	9	48	59	5	32	17	13	71	22	40	53	60	14	46	30	33	54	15	25	29	42	29	28	51	38	40	217	63	130	49	51	25	25	14	97	24	38	31	28	87	29	336	18	62	49	11	11	45	69	64	11	51	67	34	26	22	31	45	75	29	52	51	14	49	92	52	97	32	76	16	21	84	18	87	17	10	34	17	56	189	8	10	65	39	74	257	72	25	181	30	47	44	49	24	60	27	16	10	28	21	9	14	11	9	67	266	58	100	80	53	9	42	30	24	130	10	193	31	51	23	136	98	19	143	24	67	107	45	18	89	46	31	21	6	14	72	130	9	13	521	368	143	43	106	100	33	19	19	36	15	52	44	18	19	66	5	14	101	83	49	12	81	93	36	47	56	42	62	256	10	8
1:Ins:C:0	1	2	0	6	1	2	3	1	3	1	5	6	2	1	2	2	3	4	0	2	2	2	6	1	2	5	3	1	3	1	1	1	4	3	1	4	3	1	9	8	1	4	2	1	4	2	97	4	2	10	2	6	3	0	5	4	2	4	5	4	3	1	3	0	3	4	2	2	7	2	1	0	1	0	0	1	3	2	2	0	2	8	2	0	4	2	4	4	0	5	3	4	2	3	11	2	3	6	0	1	1	3	4	4	2	2	3	3	3	3	1	7	5	1	6	6	7	2	3	7	2	6	9	14	4	5	2	4	5	10	82	2	13	4	31	2	2	10	2	1	3	9	8	1	1	6	8	0	2	4	4	4	7	2	7	1	2	6	2	5	5	1	1	2	7	3	6	4	3	8	5	4	21	3	0	5	7	4	8	6	3	10	2	2	5	3	7	4	3	1	1	2	3	1	2	5	2	4	4	4	5	29	4	2	9	9	3	16	2	6	2	9	3	9	5	3	6	3	2	1	5	4	3	10	4	3	2	2	2	1	2	0	11	29	12	3	7	3	9	1	4	6	4	6	3	3	5	3	2	2	7	9	9	2	4	5	4	8	9	3	2	2	2	6
1:Ins:C:1	2	1	2	1	0	0	4	1	2	0	2	2	1	0	2	0	3	4	1	3	2	1	2	1	4	3	2	2	0	1	0	2	4	2	1	4	1	0	4	3	5	3	1	3	0	2	17	1	2	7	1	3	0	1	4	4	2	4	2	3	1	1	1	0	1	0	3	3	2	0	1	2	0	0	2	0	1	1	0	1	0	5	4	1	1	3	3	5	1	2	0	3	2	0	2	4	2	1	3	0	2	1	1	3	0	0	5	0	1	2	1	1	2	2	7	5	3	4	0	3	4	0	5	5	3	3	2	0	2	4	30	0	3	2	5	2	1	6	1	2	5	5	2	0	1	5	5	1	3	2	3	2	2	2	3	1	2	2	2	4	1	0	1	4	5	0	2	2	0	5	2	2	11	0	1	9	2	2	2	5	3	0	2	1	1	0	3	6	2	0	1	2	0	1	0	1	0	4	4	2	3	3	1	1	5	5	2	5	1	1	3	2	0	4	2	2	11	1	3	0	2	1	6	5	4	2	3	0	5	2	1	0	3	4	4	4	3	3	3	3	3	2	1	3	5	0	1	3	3	2	1	11	1	0	1	4	3	2	2	3	3	5	0	1
1:Ins:C:2	3	1	1	1	2	0	1	0	2	2	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	2	2	1	1	1	2	0	2	2	1	1	2	1	2	2	0	1	0	1	0	2	12	3	3	2	0	0	0	2	1	3	0	1	0	1	0	2	1	0	2	0	1	1	1	0	4	1	2	1	0	1	0	0	1	1	0	2	0	1	0	1	3	5	2	0	0	0	1	0	1	1	2	2	0	1	1	0	3	2	0	0	0	0	0	1	0	1	0	1	1	0	1	3	0	2	3	1	3	2	1	0	0	0	3	2	9	2	3	1	2	0	2	2	0	0	0	2	3	2	0	2	3	3	0	2	0	0	1	0	0	0	1	2	1	1	0	2	1	2	2	2	0	0	0	1	1	0	10	1	0	2	2	3	2	2	3	3	0	0	1	2	0	1	0	1	0	1	0	0	1	0	1	2	1	2	3	0	3	1	1	6	2	3	0	2	0	2	1	5	0	0	4	1	1	1	1	1	0	3	1	0	0	1	2	3	0	2	3	4	2	0	2	2	1	0	0	0	1	2	3	0	2	2	0	2	3	2	1	2	3	1	1	2	0	4	3	2	1	0
1:Ins:C:3	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	1	40	1	0	1	1	1	0	1	0	1	0	1	0	2	1	1	3	0	0	1	2	1	1	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	0	1	1	3	1	1	0	1	1	0	2	2	1	0	0	0	2	0	1	0	1	0	0	0	2	1	1	1	0	0	4	1	0	1	0	2	1	2	3	4	3	1	1	2	2	2	10	2	1	0	0	0	1	3	1	0	0	2	4	2	0	1	2	0	0	3	1	5	3	2	0	0	0	1	1	0	0	0	0	0	4	1	1	0	0	0	0	4	3	1	2	3	2	1	3	0	1	2	0	3	0	1	0	0	2	0	1	0	0	1	0	0	1	1	2	2	2	2	0	0	2	5	1	4	1	2	0	1	1	1	4	0	2	2	7	1	1	0	2	1	1	1	0	2	1	0	3	1	1	1	1	1	1	3	3	1	2	1	0	1	3	0	0	1	3	0	2	2	0	2	0	2	0	2	1	1	5	2	0	0
1:Ins:C:4	2	2	0	4	1	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	1	0	1	206	1	1	2	2	0	2	0	1	1	0	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	1	0	2	0	0	1	0	2	0	1	1	1	2	2	1	1	0	0	0	1	0	2	0	1	1	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	3	0	2	3	1	1	0	1	10	0	2	1	2	2	3	7	0	0	0	1	1	2	2	1	0	1	2	1	3	1	2	4	0	1	1	0	1	1	4	0	0	1	1	1	3	0	0	1	0	2	0	1	0	1	0	0	0	2	1	3	0	3	0	2	3	4	3	0	1	0	2	2	0	3	1	2	0	3	0	1	0	0	0	1	1	2	1	3	3	0	0	1	1	1	2	1	2	1	0	1	0	1	0	6	1	1	1	2	0	0	0	2	0	1	1	0	0	1	3	4	2	2	3	1	3	1	0	1	1	1	2	0	0	1	0	1	1	0	0	0	2	1	2	0	0	3	2	0	0
1:Ins:C:5	2	1	3	3	1	1	1	1	4	2	0	6	0	2	6	3	2	2	2	1	0	2	3	3	0	4	0	1	0	0	0	2	3	0	4	4	1	1	0	0	15	3	3	2	6	3	1024	0	0	10	3	3	0	1	2	3	2	3	1	2	2	4	2	0	0	0	7	1	0	1	5	1	2	2	1	1	3	8	1	1	0	2	2	1	3	4	10	5	5	3	1	0	0	1	4	4	1	1	1	0	5	2	2	2	2	1	1	1	5	4	1	3	4	4	4	3	2	2	3	7	13	10	2	12	2	2	7	11	5	3	22	5	4	4	16	1	8	8	4	3	2	5	5	4	5	6	2	2	6	4	5	10	2	6	7	2	5	8	4	27	1	13	3	3	4	4	4	1	0	4	5	0	8	5	4	3	6	7	19	6	5	9	3	4	3	3	2	5	6	5	3	3	3	0	7	0	5	9	6	2	3	14	8	2	2	7	6	7	3	6	4	8	3	7	18	6	2	3	11	7	1	2	8	7	4	0	4	4	6	12	2	3	11	9	18	0	18	9	6	6	1	2	1	7	9	7	3	5	1	4	7	10	5	1	9	6	3	6	4	1	4	6	3	3
1:Ins:T:0	3	2	1	2	1	2	4	6	3	2	3	4	12	3	4	4	9	5	0	2	8	4	3	1	5	2	3	0	5	4	2	2	2	4	4	18	3	0	12	9	2	5	2	2	1	4	63	3	5	5	4	5	4	1	6	14	3	8	3	1	5	6	4	2	5	3	4	3	7	4	3	5	5	1	4	7	3	2	3	1	1	5	4	4	7	12	7	9	4	10	0	5	4	2	15	2	4	5	2	3	1	2	3	4	3	1	5	2	5	4	0	8	2	5	15	10	8	12	12	9	7	18	6	12	7	8	6	10	9	8	47	5	18	6	16	0	9	11	6	3	13	24	8	5	6	14	7	11	2	9	5	10	7	4	10	5	14	5	7	10	4	10	4	4	12	6	12	3	0	5	6	15	22	3	3	10	14	7	16	12	7	11	5	5	4	4	4	10	4	2	7	9	2	1	5	1	0	6	16	5	10	2	10	2	9	11	6	12	2	6	12	12	5	9	9	2	9	4	11	4	6	8	10	11	3	10	1	4	8	3	0	4	12	15	20	8	12	11	9	7	8	8	6	5	19	2	7	4	0	0	12	22	4	1	5	6	6	11	15	8	10	18	0	2
1:Ins:T:1	11	7	6	14	6	4	12	7	6	3	13	6	5	2	8	5	5	6	3	8	4	6	10	1	6	6	3	6	10	12	10	5	10	12	2	9	6	6	20	8	7	9	4	2	6	10	37	9	6	5	5	11	6	4	13	16	2	10	4	2	3	7	8	2	1	8	8	7	7	4	9	5	12	7	2	7	5	9	5	3	1	13	2	6	7	8	9	13	5	11	7	7	6	3	7	9	8	5	2	3	7	3	14	3	7	6	5	2	11	8	7	4	8	10	11	8	12	8	11	7	11	16	12	12	18	8	2	10	10	11	15	5	16	8	15	2	8	11	8	5	20	9	16	6	8	21	11	10	9	13	13	13	10	1	8	5	14	11	4	7	2	1	8	6	14	11	12	1	2	14	4	11	30	7	11	20	13	6	23	20	13	16	5	16	11	5	4	13	10	9	3	10	7	6	8	0	6	9	8	5	9	15	7	9	5	15	7	19	4	9	7	13	8	12	8	4	13	13	15	3	9	4	8	11	5	10	0	18	10	9	2	5	6	16	20	3	17	7	23	6	8	10	8	8	42	2	8	13	2	5	13	18	1	2	13	12	5	10	13	10	7	12	4	11
1:Ins:T:2	8	4	1	6	2	3	0	1	6	2	1	0	3	0	3	6	3	1	2	6	2	2	2	1	2	3	4	4	3	8	1	5	3	13	5	6	5	0	6	4	4	4	4	1	2	3	156	5	6	3	3	5	1	1	3	2	1	5	1	4	1	3	3	4	1	1	1	4	3	1	4	0	6	1	3	3	2	4	1	2	2	5	4	0	1	2	3	4	5	4	1	4	0	2	2	1	1	2	4	1	3	2	2	0	4	1	2	1	2	3	4	2	2	2	11	3	1	2	4	4	6	10	4	7	9	7	3	18	0	9	4	2	9	1	10	1	6	5	4	0	9	7	4	8	1	14	8	4	3	7	3	3	2	1	6	2	4	9	2	7	2	1	2	1	7	6	3	1	2	6	4	7	21	3	4	12	5	3	8	12	3	9	2	4	7	4	6	7	5	3	2	2	3	1	5	2	1	1	10	8	6	7	4	1	4	8	8	10	4	3	5	12	7	3	10	1	7	0	2	3	9	2	1	6	4	4	0	7	4	4	0	4	5	14	12	5	9	2	12	4	7	5	4	5	16	2	4	8	2	1	10	7	1	3	8	5	4	13	2	7	5	5	2	0
1:Ins:T:3	2	2	2	6	3	4	3	3	1	1	6	3	3	0	2	4	1	1	1	2	0	5	2	1	2	1	1	1	2	2	1	3	5	7	1	3	1	1	8	2	1	9	3	1	1	5	115	4	2	3	4	5	0	1	4	6	1	1	0	0	0	1	1	0	1	1	2	2	1	2	2	4	4	0	3	4	3	2	4	1	3	5	1	1	0	2	2	5	4	6	0	2	0	1	5	1	0	2	1	0	5	1	2	4	3	0	4	3	5	5	2	0	3	2	6	3	2	3	2	11	5	6	5	5	2	4	2	8	5	3	3	1	4	4	11	3	2	5	2	0	10	3	4	2	6	6	3	3	5	3	2	3	6	0	7	2	4	7	2	11	1	1	1	7	3	6	4	2	1	1	5	5	14	5	0	6	3	4	4	5	1	7	1	3	5	3	5	3	7	5	0	4	2	1	3	3	4	4	10	4	7	2	5	1	4	10	2	5	3	3	5	4	6	5	7	1	6	2	4	2	4	1	0	4	3	2	1	5	3	2	0	1	3	8	6	2	11	3	2	6	4	3	0	5	13	1	4	5	0	1	3	5	2	0	6	2	2	6	2	3	4	5	3	6
1:Ins:T:4	4	2	3	7	1	0	6	2	1	1	2	6	2	0	4	2	2	3	2	1	1	0	1	4	1	1	1	2	1	2	2	2	4	1	1	3	1	0	0	1	8	3	5	0	2	2	280	0	0	3	1	1	1	0	2	2	3	3	2	0	0	2	3	0	3	0	6	2	1	0	2	1	5	2	3	4	2	4	2	1	1	7	0	0	7	1	5	5	3	1	0	4	3	0	1	0	0	2	0	0	4	4	3	4	4	2	4	1	2	5	1	3	1	5	2	6	1	3	6	5	3	10	4	1	5	1	1	7	2	0	1	3	4	1	8	1	4	5	1	0	3	1	5	0	2	4	10	0	5	1	1	7	2	3	2	1	8	5	2	4	1	1	1	0	3	1	5	0	2	5	0	2	6	1	0	2	3	8	9	14	11	3	4	5	2	4	2	6	0	4	2	1	0	0	0	0	0	5	11	4	3	6	2	0	4	9	1	3	0	6	2	6	4	8	7	3	3	2	6	7	1	7	0	3	3	3	3	2	6	4	0	4	7	11	13	1	6	2	3	5	1	1	2	6	14	4	2	1	3	3	8	5	4	0	5	6	0	4	7	3	3	5	1	1
1:Ins:T:5	86	59	96	112	31	55	23	38	88	33	52	139	50	34	83	107	61	38	45	75	30	60	52	44	20	57	39	36	31	46	28	36	74	20	49	150	49	27	59	29	126	51	74	29	72	80	12434	28	43	89	87	69	11	41	68	56	39	19	31	23	85	51	122	32	32	29	50	38	31	15	62	27	129	58	36	44	72	115	36	28	27	62	24	52	69	70	86	55	75	118	30	44	29	33	38	49	42	43	18	21	123	78	34	66	136	69	43	46	37	74	51	83	42	121	46	89	72	70	69	108	167	237	85	116	81	58	93	106	81	48	43	89	70	94	323	35	109	149	45	26	51	71	77	44	84	167	227	32	103	44	62	240	56	46	103	59	239	89	61	407	16	164	43	42	114	111	106	18	25	61	93	52	151	57	86	94	66	128	248	159	94	114	57	144	34	86	33	68	79	111	32	33	56	9	57	49	39	137	204	81	103	193	77	47	101	170	56	79	21	134	89	151	52	151	215	137	70	57	247	155	114	67	122	74	30	26	12	58	123	119	63	120	176	288	248	78	295	231	43	95	51	61	47	121	209	138	21	136	13	48	108	122	112	38	83	217	48	136	131	27	94	199	63	57
2:Del:R:0	5	10	4	7	8	9	4	4	11	6	10	7	4	2	6	7	2	7	5	6	4	2	5	8	9	6	9	10	7	5	1	4	7	6	2	5	2	1	18	14	2	12	4	6	1	5	9	9	9	7	7	7	3	4	5	9	3	7	8	4	4	8	6	8	4	5	6	4	4	6	13	3	9	5	1	8	2	2	2	2	5	17	6	7	8	6	9	12	3	10	0	6	3	2	15	11	4	5	6	4	10	4	7	12	5	1	10	2	10	15	5	2	3	5	13	11	4	13	12	11	8	9	12	17	8	11	1	5	8	15	5	4	27	6	7	4	6	10	4	2	20	18	8	5	7	15	9	5	4	6	4	8	7	3	9	3	8	13	10	9	1	9	3	4	14	5	10	3	2	11	3	8	29	5	1	22	12	8	21	11	7	16	7	9	10	3	9	11	4	2	5	5	12	2	7	3	5	12	17	11	13	11	5	0	10	16	9	14	2	5	12	12	9	17	8	2	13	7	8	4	11	11	9	10	8	11	3	5	13	5	3	3	14	11	22	6	30	8	16	4	8	7	5	13	16	4	7	5	3	4	12	16	4	3	7	5	5	6	9	15	15	20	0	5
2:Del:R:1	7	10	9	6	7	10	8	6	22	4	11	6	6	6	11	5	8	5	6	10	5	4	6	3	3	7	12	4	9	9	8	7	6	9	10	10	2	2	15	18	8	7	8	2	2	4	24	8	4	14	6	11	4	4	9	13	7	11	2	8	8	11	10	0	4	9	11	5	2	2	9	2	13	5	3	13	8	5	6	5	3	24	1	4	6	8	12	19	7	8	4	4	8	7	14	17	2	10	2	8	14	6	9	10	3	5	6	6	10	25	3	7	5	14	13	9	4	12	25	18	9	20	7	9	8	13	2	12	10	18	14	4	12	7	26	3	10	12	4	1	10	25	21	3	11	12	10	6	3	5	6	9	12	3	13	3	11	20	7	14	2	8	1	6	10	5	14	4	5	12	8	9	32	8	4	23	13	11	22	6	15	17	9	11	8	4	5	10	4	4	6	14	10	0	5	3	3	17	17	13	8	15	7	6	11	7	8	32	6	13	3	17	12	15	3	4	19	8	9	13	8	2	6	16	8	7	1	6	9	10	0	3	19	13	17	5	10	8	13	3	7	11	2	12	10	4	11	10	4	7	17	17	5	0	12	14	6	6	12	9	14	15	2	8
2:Del:R:2	3	3	1	5	3	3	3	2	4	1	8	3	4	0	3	4	0	0	1	2	3	0	1	1	0	2	3	3	0	1	0	1	2	2	0	4	3	0	6	5	3	6	2	0	1	2	9	3	2	6	0	3	0	1	0	2	0	5	0	0	2	2	3	2	5	1	5	4	5	0	3	5	1	1	1	6	1	5	1	2	0	4	2	1	1	2	5	2	1	1	3	2	2	0	5	8	1	3	0	1	7	1	3	2	3	2	4	2	5	5	1	1	4	5	1	4	4	1	3	2	5	6	5	2	4	1	2	3	2	6	2	2	2	2	9	2	6	3	1	0	3	3	3	3	3	2	5	2	3	0	4	4	3	0	4	3	1	9	1	1	3	1	3	0	7	1	5	0	0	3	1	3	10	0	1	8	5	2	2	2	6	4	3	2	7	1	4	6	1	2	3	1	0	0	1	0	4	2	3	2	9	4	2	3	3	3	2	11	1	4	1	7	4	7	1	3	6	3	2	2	3	1	4	7	5	0	1	2	4	3	1	0	7	5	9	0	4	0	5	1	3	4	0	3	5	0	4	4	0	2	9	5	1	2	4	1	2	1	1	1	6	4	1	4
2:Del:R:3	1	0	1	1	0	1	0	1	0	0	0	1	0	0	2	1	2	2	1	1	0	0	0	0	0	0	2	0	0	2	0	0	2	3	0	1	1	0	4	0	0	2	0	1	0	1	12	0	0	0	0	1	0	0	1	1	0	3	0	0	1	4	5	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	2	1	1	4	1	1	3	0	0	0	1	1	2	0	0	0	0	0	4	0	0	0	2	3	1	1	1	2	3	2	6	3	1	0	0	0	0	0	1	3	2	4	1	4	1	1	3	1	1	3	3	5	0	0	0	2	2	0	0	0	4	1	2	2	5	1	4	2	0	1	1	2	2	1	1	3	1	0	3	1	1	5	0	0	3	2	2	3	1	1	5	1	1	1	2	3	0	0	0	1	2	1	0	2	0	4	2	3	1	2	1	0	0	1	1	3	4	1	1	0	3	3	2	1	0	0	2	1	2	1	0	0	5	1	3	2	2	2	2	2	2	4	5	4	1	1	2	1	1	0	0	0	3	0	1	4	1	1	0	1	5	0	0	6	1	1	1	3	1	2	3	0	0
2:Del:R:4	2	1	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	1	1	0	1	2	0	0	2	1	0	2	0	1	1	1	0	0	0	0	0	0	3	0	2	1	2	6	0	0	2	1	0	1	0	1	0	1	0	1	0	1	1	0	1	0	1	2	0	1	0	0	0	0	2	0	5	1	0	2	3	1	2	1	0	2	0	0	2	1	2	0	0	0	2	1	0	1	0	1	1	0	0	1	0	2	0	1	3	0	1	0	2	1	2	1	0	1	0	0	0	1	1	1	3	1	4	0	1	0	1	2	0	0	1	1	0	0	0	1	0	0	2	4	2	0	0	1	0	0	0	0	0	0	0	0	2	2	1	1	4	0	1	0	1	3	0	3	0	0	1	1	0	1
2:Del:R:5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	41	0	1	0	0	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	1	11	6	1	1	3	1	5	0	0	2	0	0	5	0	5	8	6	1	1	1	10	0	4	3	0	2	1	1	0	8	4	3	2	0	5	0	0	3	5	0	3	2	3	1	0	0	8	5	2	1	2	2	2	1	0	1	2	3	4	0	2	2	12	1	4	0	0	1	3	2	4	1	0	2	3	0	0	1	4	7	1	5	2	0	18	5	3	4	2	1	4	2	4	1	9	5	0	3	2	1	5	1	1	9	4	2	1	1	2	2	5	2	1	0	3	3	2	2	1	2	3	0	6	0	4	2	4	2	2	7	4	0	1	1	7	3	0	3	4	2	1	3	4	0	1	0	3	4	0	7	2	3	1	0	2	2	8	4	1	2	8	3	4	0	3	4	4	2	2	0	0	4	0	3	0	0	3	0	1	1	1	0	1	7	3	8	1	3	3	5	3	1
3:Del:R:0	4	3	2	6	3	2	0	1	6	2	5	1	4	2	5	1	1	0	3	1	4	0	0	1	4	3	3	0	3	4	1	4	2	5	2	4	3	0	8	4	2	4	3	1	3	5	1	4	2	7	2	8	0	2	4	8	4	5	3	1	1	2	2	0	6	3	5	7	2	1	6	3	8	0	3	6	4	0	2	1	0	12	1	4	6	4	3	10	2	9	2	6	1	3	9	6	3	2	1	4	3	1	2	2	4	2	6	4	5	8	1	1	1	3	8	4	4	4	3	2	7	7	11	6	8	8	0	2	3	6	10	5	20	5	11	3	2	9	2	0	10	5	3	2	3	5	1	1	1	3	3	4	4	2	7	2	3	5	3	3	0	1	1	1	7	3	1	0	1	2	0	4	16	3	2	5	4	6	9	4	6	4	1	6	0	1	2	3	0	2	4	10	2	1	2	0	2	8	1	7	4	2	4	1	3	2	2	13	2	0	1	8	1	4	1	1	3	2	1	3	3	3	3	11	6	4	1	0	2	0	4	1	7	7	16	4	6	3	7	0	3	5	3	3	7	2	1	2	0	0	5	15	1	1	4	0	2	3	4	5	1	6	1	1
3:Del:R:1	8	13	2	15	7	8	8	6	15	4	9	7	3	1	6	7	6	3	5	9	4	6	9	2	4	11	7	9	6	11	3	9	5	9	7	17	5	1	14	8	1	10	7	5	2	8	19	4	4	13	10	7	2	5	4	15	4	11	6	1	5	9	10	5	7	2	12	7	5	4	11	4	7	1	4	8	7	5	5	5	2	20	3	5	6	6	17	13	8	8	7	10	1	7	9	22	3	7	2	4	10	1	8	20	8	4	7	5	6	13	7	4	6	7	11	4	5	10	14	14	3	14	7	8	7	13	3	10	6	7	8	5	10	7	21	6	12	4	3	2	4	12	9	4	8	20	6	5	4	7	3	9	7	3	10	3	5	14	2	4	1	9	6	9	12	3	12	1	2	6	7	7	32	4	5	17	7	11	21	7	11	18	13	7	5	1	4	11	4	3	7	5	4	1	3	4	3	10	5	17	11	10	11	4	10	10	6	19	3	10	7	11	7	15	7	3	18	9	9	8	12	5	7	8	4	8	0	9	12	8	2	6	9	9	16	3	20	6	4	7	9	8	3	11	8	4	9	3	0	5	15	23	4	2	22	10	6	8	8	9	14	16	2	4
