MutationType	CPCT02060044T	CPCT02030247T	CPCT02050043T	CPCT02020342T	CPCT02010371T	CPCT02030256T	CPCT02050045T	CPCT02050047T	CPCT02010393T	CPCT02020358T	CPCT02090002T	CPCT02010403T	CPCT02030272T	CPCT02020373T	CPCT02050052T	CPCT02030270T	CPCT02050056T	CPCT02050055T	CPCT02030279T	CPCT02020320T	CPCT02060037T	CPCT02100033T	CPCT02010436T	CPCT02010439T	CPCT02060043T	CPCT02030284T	CPCT02020410T	CPCT02020408T	CPCT02030291T	CPCT02050079T	CPCT02050073T	CPCT02220001T	CPCT02010440T	CPCT02011020T	CPCT02340050T	CPCT02080280T	CPCT02080282T	CPCT02060163T	CPCT02011025T	CPCT02010754TII	CPCT02010716T	CPCT02170039T	CPCT02080284T	CPCT02030555T	CPCT02011037T	CPCT02120180T	CPCT02050304T	CPCT02020895T	CPCT02090032T	CPCT02020662T	DRUP01080025T	CPCT02020891T	CPCT02080266TII	CPCT02020901T	CPCT02080287T	CPCT02011045T	CPCT02020897T	CPCT02120101T	CPCT02020910T	CPCT02120095T	CPCT02080294T	CPCT02080292T	CPCT02120098T	CPCT02120105T	CPCT02020914T	CPCT02160035T	CPCT02050310T	CPCT02290061T	CPCT02050308T	CPCT02090035T	CPCT02020933T	CPCT02020930T	CPCT02020934T	CPCT02020939T	CPCT02020670T	CPCT02020837TII	CPCT02030459T	CPCT02350019T	CPCT02050424T	CPCT02340064T	CPCT02011045TII	CPCT02120189T	CPCT02010754T	CPCT02020868T	CPCT02060286T	CPCT02060288T	CPCT02120193T	CPCT02120187T	CPCT02120191T	CPCT02080304T	CPCT02080307T	CPCT02080303T	CPCT02340067T	CPCT02030461T	CPCT02020919T	CPCT02050432T	CPCT02120110T	CPCT02080308T	CPCT02020951T	DRUP01060009T	CPCT02020949T	CPCT02020960T	WIDE01010033T	CPCT02340115T	CPCT02050322T	CPCT02050046T	CPCT02050331T	WIDE01010071T	CPCT02020895TII	CPCT02030468T	CPCT02020959T	CPCT02080313T	CPCT02080311T	CPCT02011108T	CPCT02080314T	CPCT02020694T	CPCT02020672T	WIDE01010123T	CPCT02020665T	CPCT02080207T	CPCT02060291T	CPCT02050441T	CPCT02050440T	CPCT02050438T	DRUP01230001T	CPCT02080205T	CPCT02020714T	WIDE01010172T	CPCT02340081T	CPCT02010801T	CPCT02010794T	CPCT02340083T	CPCT02050347T	CPCT02120198T	CPCT02120199T	WIDE01010255T	CPCT02040241T	WIDE01010305T	WIDE01010314T	CPCT02060228T	WIDE01010328T	CPCT02030479T	CPCT02040246T	WIDE01010376T	WIDE01010381T	WIDE01010392T	CPCT02080221T	CPCT02020723T	CPCT02020736T	CPCT02020743T	CPCT02020739T	CPCT02050365T	CPCT02020670TII	CPCT02030490T	CPCT02300042T	CPCT02020700T	CPCT02220050T	CPCT02050370T	CPCT02050373T	CPCT02080234T	CPCT02030499T	CPCT02020770T	CPCT02050376T	CPCT02080239T	CPCT02050301T	CPCT02080242T	CPCT02020789T	CPCT02020796T	CPCT02220057T	CPCT02340098T	CPCT02340097T	CPCT02170038T	CPCT02010920T	CPCT02050399T	CPCT02050404T	CPCT02050402T	CPCT02060256T	CPCT02080259T	CPCT02020813T	CPCT02020785T	CPCT02020810T	CPCT02020821T	CPCT02340100T	CPCT02080266T	CPCT02010941T	CPCT02020822T	CPCT02020819T	CPCT02050405T	CPCT02020837T	CPCT02340102T	DRUP01060021T	DRUP01060019T	DRUP01060018T	CPCT02070394T	CPCT02080269T	CPCT02030459TII	CPCT02050411T	CPCT02030547T	CPCT02020828T	CPCT02080270T	CPCT02060133T	CPCT02050276TII	CPCT02080271T	CPCT02050243T	CPCT02060126T	DRUP01010106T	CPCT02050245T	CPCT02030548T	CPCT02050415T	CPCT02020853T	CPCT02020506TII	DRUP01080021T	CPCT02020854T	CPCT02010994T	DRUP01080022T	CPCT02020863T	CPCT02050276T	CPCT02030552T	CPCT02080275T	CPCT02030553T	CPCT02120062T	CPCT02020615T	CPCT02050421T	CPCT02120053T	CPCT02020626T	CPCT02120055T	CPCT02070422T	CPCT02120058T	CPCT02170017T	CPCT02020609T	CPCT02050249T	CPCT02060146T	CPCT02060049T	CPCT02050159T	CPCT02010550T	CPCT02010534T	CPCT02050079TII	CPCT02050170T	CPCT02050168T	CPCT02020509T	CPCT02050073TII	CPCT02020511T	CPCT02010565T	CPCT02020517T	CPCT02010393TII	CPCT02050181T	CPCT02020519T	CPCT02020520T	CPCT02060092T	CPCT02080116T	CPCT02080113T	CPCT02050194T	CPCT02050193T	CPCT02030350T	CPCT02080123T	CPCT02020542T	CPCT02010505T	CPCT02020553T	CPCT02170006T	CPCT02050212T	CPCT02050214T	CPCT02050217T	CPCT02020573T	CPCT02180032T	CPCT02010503TII	CPCT02010622T	CPCT02030370T	CPCT02030339TII	CPCT02040142T	CPCT02120050T	CPCT02120037T	CPCT02050235T	CPCT02050236T	CPCT02050232T	CPCT02050240T	CPCT02020574T	CPCT02020578T	CPCT02090005T	CPCT02020423T	CPCT02020426T	CPCT02050092T	CPCT02010403TII	CPCT02020412T	CPCT02010469T	CPCT02180012T	CPCT02020445T	CPCT02050105T	CPCT02050055TII	CPCT02010493T	CPCT02010503T	CPCT02010501T	CPCT02020464T	CPCT02090009T	CPCT02020468T	CPCT02340001T	CPCT02080079T	CPCT02010526T	CPCT02010532T	CPCT02060051T	CPCT02050141T	CPCT02110024T	CPCT02120013T	CPCT02050158T	CPCT02050149T	CPCT02010557T	CPCT02220014T	CPCT02050052TII	CPCT02020506T	CPCT02030339T	CPCT02080163T	CPCT02050281T	CPCT02070243T	CPCT02340040T	CPCT02120077T	CPCT02030437T	CPCT02010641TII	CPCT02050291T	CPCT02020643T	CPCT02150006T	WIDE01010503T	WIDE01010567T	WIDE01010459T	CPCT02060041T	WIDE01010561T	WIDE01010651T
T[Del(C):R8]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
T[Del(C):R(9,)]A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T[Del(C):R(9,)]T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A[Del(T):R1]A	8	1	2	5	2	2	7	2	8	3	10	1	8	3	2	3	4	4	6	3	4	4	4	4	1	10	8	4	10	2	2	1	3	11	5	5	6	2	5	7	9	2	1	7	8	3	18	3	9	3	12	3	4	4	7	3	1	5	7	7	4	2	9	13	6	6	5	5	2	2	3	6	5	2	16	2	3	1	59	2	2	7	7	4	12	3	5	4	7	3	5	1	11	51	9	2	1	1	1	2	8	13	0	5	10	3	0	9	3	2	5	4	2	13	5	7	0	2	6	4	16	1	11	3	138	8	5	8	0	2	20	8	2	8	3	19	5	8	7	6	4	7	4	2	10	10	3	1	1	3	11	6	16	10	10	4	5	19	2	19	5	11	3	1	4	4	11	107	9	5	2	3	3	1	2	2	2	2	2	44	3	10	11	3	23	10	8	10	2	6	14	6	7	6	11	5	10	0	1	6	1	2	5	2	0	24	2	3	6	4	8	11	5	4	14	12	3	4	6	21	17	5	12	4	4	0	31	5	2	23	2	2	2	7	8	1	2	20	3	2	4	10	6	4	8	8	10	7	1	14	5	7	5	5	19	3	2	1	5	6	1	3	2	0	10	2	1	8	3	2	10	21	12	2	26	1	21	13	10	15	4	1	4	6	3	2	12	7	2	10	10	3	3	0	0	1	0	6	1	2	17	5	8	1	3	4	2	7	6	3	5	5	2	2	3	2	5	7	18	6	30	12	18	5	1
A[Del(T):R1]C	3	0	1	1	1	0	2	2	4	1	3	0	3	0	0	0	0	3	1	1	0	0	0	0	2	0	2	1	1	0	1	0	3	3	0	1	1	1	1	0	3	1	0	2	3	1	10	0	4	2	6	0	1	4	2	1	1	0	2	0	1	0	1	0	0	2	0	3	0	2	0	0	0	0	1	0	2	0	15	2	1	2	0	0	2	1	2	1	0	1	3	1	2	8	0	2	3	0	0	2	1	4	0	4	1	0	1	0	0	0	0	1	0	3	4	2	1	0	1	1	2	0	4	2	19	1	1	1	1	0	5	2	1	1	2	2	2	2	0	4	1	1	2	0	5	1	0	0	0	1	4	1	1	1	2	0	7	4	0	9	2	2	1	0	0	1	0	1	3	1	1	1	0	0	2	0	1	1	1	9	1	1	4	1	0	2	2	6	0	0	1	0	1	10	6	3	3	2	0	1	0	0	1	5	0	6	3	1	2	3	1	1	0	2	10	3	1	1	7	5	2	2	2	3	3	0	2	0	1	7	2	1	1	5	1	1	0	2	0	0	1	5	1	1	4	3	6	4	0	4	0	2	1	1	3	1	0	2	1	2	0	0	1	2	1	0	0	1	0	0	1	5	0	0	11	1	4	1	3	5	2	0	2	1	0	1	2	6	1	0	1	0	1	1	1	1	0	0	1	3	2	1	3	2	1	2	1	1	1	0	1	1	2	1	0	0	2	3	10	1	7	1	8	3	1
A[Del(T):R1]G	1	1	0	2	7	1	1	0	2	0	4	1	4	4	1	1	1	3	2	4	0	2	1	2	3	1	0	1	3	0	0	1	0	3	0	2	1	1	0	0	2	0	0	0	4	2	8	1	2	3	9	1	0	1	2	0	2	1	0	2	0	0	5	8	2	2	5	6	1	2	1	0	3	0	3	4	2	0	12	2	0	2	0	1	3	2	1	3	0	3	3	0	4	20	1	1	1	0	1	3	2	2	2	6	3	1	2	2	1	2	0	1	3	6	0	0	0	1	1	0	7	2	1	4	21	4	2	2	0	1	6	1	0	1	2	7	3	1	2	4	2	8	3	1	0	2	0	1	3	1	6	1	3	1	5	4	8	5	1	7	4	3	1	2	2	2	3	5	4	0	3	0	0	0	1	0	1	1	1	19	2	4	9	1	4	8	1	1	0	0	8	3	2	1	10	4	2	1	0	3	1	1	1	0	1	8	0	1	2	1	3	4	2	2	5	2	2	4	4	6	5	3	8	2	2	1	10	0	0	10	3	2	2	2	2	2	0	4	1	0	0	3	1	5	2	3	3	7	1	6	0	2	2	2	5	3	0	2	1	1	0	3	1	2	1	4	2	2	3	2	3	6	5	0	10	0	12	1	2	4	2	1	1	0	0	0	9	5	2	1	2	4	2	0	1	0	2	3	2	0	4	2	4	3	0	2	2	3	0	1	2	2	0	0	2	0	0	3	4	4	10	4	7	1	1
A[Del(T):R2]A	56	25	7	63	37	21	58	2	108	15	70	0	34	23	20	0	65	25	8	64	0	26	58	26	10	68	78	50	168	0	8	0	17	102	2	86	29	0	33	27	173	20	11	60	169	24	153	5	19	31	134	62	3	42	44	27	22	1	80	57	1	0	59	83	71	88	5	83	26	48	2	50	108	12	275	4	2	0	782	25	26	63	22	24	109	30	25	29	39	2	38	23	1	589	34	6	5	4	2	10	128	51	0	83	63	42	0	39	5	20	14	27	19	38	68	62	1	39	24	17	194	1	43	100	248	57	18	91	2	1	129	121	9	55	13	262	59	140	38	26	14	131	65	17	90	33	0	1	36	15	112	110	279	36	80	35	8	214	1	198	37	81	8	19	37	70	96	15	105	45	67	44	1	1	1	15	30	42	50	459	17	48	277	2	144	98	50	45	2	21	109	5	4	0	134	5	96	22	10	42	0	23	31	6	32	4	44	34	50	43	152	60	12	45	161	112	23	63	166	231	202	28	39	45	57	16	6	23	34	359	24	1	4	168	75	1	0	17	32	3	7	177	49	78	105	1	105	135	7	205	51	74	71	5	219	1	2	1	39	55	20	14	19	1	34	50	7	86	0	1	91	167	136	11	145	1	230	193	132	62	50	0	102	39	19	12	84	27	30	30	179	6	51	0	14	1	8	112	2	28	53	23	72	2	25	3	21	153	76	1	44	81	0	26	21	1	16	36	203	55	166	116	231	51	0
A[Del(T):R2]C	3	1	0	0	2	2	1	1	4	0	1	0	1	1	2	0	3	0	0	2	1	0	2	1	1	2	1	1	2	1	2	0	2	3	1	0	2	1	3	0	4	0	0	3	2	1	8	1	3	1	7	4	0	0	2	0	0	0	0	1	0	0	3	4	3	0	2	6	1	1	0	1	1	2	1	0	1	0	19	0	0	3	0	1	7	1	0	0	1	1	2	0	3	12	3	1	1	1	1	2	2	1	0	3	0	4	0	1	1	0	1	2	0	3	2	0	2	0	1	5	3	0	2	2	13	2	1	4	0	3	5	4	0	0	4	6	1	1	1	2	0	0	3	1	5	1	3	0	1	1	4	1	1	0	4	2	4	2	0	7	1	0	0	1	0	3	3	1	4	1	0	0	1	1	2	1	1	0	0	17	1	4	5	0	4	4	0	1	0	0	2	0	0	1	6	2	4	0	0	1	0	5	0	4	0	2	1	2	2	0	0	3	2	4	8	0	4	1	1	3	8	0	7	4	2	0	3	1	4	8	2	0	0	3	2	0	1	5	2	0	2	2	4	3	4	0	4	0	0	2	2	3	0	1	2	0	2	1	2	1	1	0	2	1	3	1	0	3	1	1	6	3	3	1	9	1	6	4	4	5	2	0	1	1	0	0	5	1	0	4	1	1	0	0	1	0	0	1	2	1	6	0	0	1	2	0	1	0	2	1	0	0	0	1	0	1	0	1	6	0	12	7	2	3	1
A[Del(T):R2]G	3	0	0	1	2	0	0	0	2	2	2	0	0	2	1	0	0	2	0	1	1	0	1	4	1	0	1	1	2	0	0	2	0	2	1	2	0	0	0	1	3	1	0	0	2	1	4	1	3	0	1	3	0	1	0	0	2	1	1	0	0	0	0	4	1	0	1	0	1	0	0	0	1	0	3	2	0	0	17	0	0	3	1	2	0	0	0	1	0	0	2	0	3	4	0	1	0	1	0	2	1	1	0	1	1	0	0	1	1	1	0	0	1	3	1	1	0	0	1	1	1	0	0	0	17	1	0	3	0	2	5	1	0	1	0	4	1	1	2	0	1	5	3	1	3	2	2	0	4	1	1	3	3	1	4	0	3	4	0	7	0	2	1	1	0	1	2	7	0	1	0	0	0	0	0	0	0	0	0	10	3	3	3	0	2	2	0	2	1	0	2	0	0	1	1	0	3	0	1	2	0	0	1	2	0	9	0	0	0	4	0	1	1	0	7	2	0	0	4	1	1	1	2	1	1	1	8	2	2	8	3	0	0	2	0	2	0	6	0	0	0	2	0	3	1	1	1	3	0	5	0	0	1	0	2	1	0	0	0	2	0	0	0	0	2	1	0	3	0	0	0	0	2	1	6	1	8	3	3	3	1	0	2	1	0	0	6	3	0	2	2	2	0	0	2	1	0	3	1	0	5	0	3	0	0	1	1	0	2	1	1	0	0	2	1	0	1	2	1	1	10	4	2	3	0
A[Del(T):R3]A	8	1	0	3	1	0	5	7	7	2	6	0	0	0	4	0	2	5	0	2	1	0	2	5	2	1	4	4	4	0	1	0	3	5	3	7	2	1	3	0	9	0	0	7	4	2	13	1	5	4	7	0	3	1	1	3	2	0	6	5	0	1	1	7	5	6	1	5	3	1	1	3	6	1	7	2	1	1	36	0	3	6	1	3	11	1	2	3	2	1	9	0	2	30	3	1	1	1	0	1	11	5	2	1	8	2	0	2	2	0	2	2	1	6	6	2	2	2	2	5	16	2	3	5	34	6	1	11	0	0	14	3	0	3	1	8	2	4	5	2	1	8	2	1	12	1	1	0	4	2	7	9	8	3	5	2	8	15	2	16	0	5	1	1	3	2	4	8	6	1	1	2	3	4	1	1	3	0	2	24	1	6	18	2	10	6	5	2	1	0	11	5	6	4	7	2	8	1	0	3	2	7	3	0	3	6	7	7	5	1	5	7	2	2	10	5	7	5	15	5	12	2	8	3	1	3	11	2	5	20	3	3	1	10	3	2	0	10	3	1	1	5	5	6	7	2	5	9	1	11	3	11	6	1	7	5	0	0	2	1	0	0	0	2	2	5	0	3	1	1	5	7	8	0	10	0	17	11	8	10	5	0	4	3	0	1	6	5	3	3	8	2	2	0	5	0	0	6	0	4	8	2	3	0	1	3	2	5	2	1	3	2	0	0	1	2	1	6	10	0	16	7	11	3	0
A[Del(T):R3]C	0	1	0	0	0	0	1	1	4	0	3	1	0	2	2	0	1	1	0	0	0	1	1	0	1	2	0	0	3	0	1	1	0	1	1	0	1	0	0	2	1	0	0	0	2	0	3	0	0	0	2	3	0	0	0	0	0	0	0	2	1	0	1	3	0	0	1	3	1	0	0	1	0	0	4	2	0	0	7	1	0	3	2	1	1	2	0	1	4	0	4	0	2	7	0	0	1	0	0	0	1	1	0	0	1	1	0	1	0	1	0	2	1	0	0	1	0	1	0	2	1	1	1	1	21	0	2	2	0	0	4	0	0	3	1	4	0	3	1	3	1	4	0	1	2	1	1	0	5	0	8	1	4	0	1	2	3	4	0	5	0	1	1	0	0	2	1	0	2	2	1	0	1	0	1	0	2	2	0	9	3	1	8	0	0	3	1	1	1	2	4	3	3	2	2	2	2	0	0	1	1	1	1	1	2	3	2	0	2	1	1	2	0	1	4	3	1	2	3	3	2	0	7	3	2	1	1	0	3	8	2	2	1	3	0	0	0	3	1	0	1	4	2	0	3	1	2	5	1	0	2	1	2	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	2	0	3	5	4	1	4	0	6	3	1	7	1	1	3	0	0	3	2	1	0	2	0	2	0	1	2	1	0	2	0	0	2	2	1	0	3	0	2	0	1	0	0	3	1	2	1	0	2	3	4	0	6	3	3	1	0
A[Del(T):R3]G	2	0	0	1	0	0	2	1	4	0	0	0	2	4	0	1	2	4	1	2	1	1	0	0	0	1	1	1	1	0	1	0	0	2	0	0	1	0	2	0	3	1	0	0	2	0	5	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	1	2	2	1	0	0	1	1	0	1	0	1	5	0	1	0	0	0	3	1	0	1	1	0	1	0	0	14	1	1	0	0	0	0	1	2	0	3	4	2	1	1	0	1	1	1	0	3	0	0	0	0	1	0	0	1	2	5	11	2	0	1	0	1	2	2	0	1	1	5	1	3	0	3	0	3	2	2	0	1	0	0	2	3	3	1	1	0	2	2	5	3	0	7	0	1	1	2	0	2	5	2	2	1	3	1	0	1	0	0	0	2	0	4	2	2	5	0	1	2	1	3	0	0	3	1	1	4	1	0	1	0	0	1	1	0	0	0	1	5	2	0	1	0	3	3	0	1	5	2	0	0	4	2	4	0	2	3	0	0	6	1	1	6	2	0	0	2	1	0	0	4	0	0	2	1	3	3	3	2	2	0	0	4	0	1	2	0	4	4	1	0	1	2	0	0	0	0	2	4	1	2	0	0	1	4	3	0	5	0	4	2	2	3	0	0	2	0	0	1	3	4	1	2	3	0	1	0	0	0	0	2	2	1	3	1	1	2	1	2	0	3	1	2	2	0	0	1	1	1	1	2	1	0	5	2	0	1	1
A[Del(T):R4]A	12	0	1	15	3	4	11	1	13	2	13	1	3	3	7	0	6	7	0	5	0	5	14	2	1	6	9	6	13	0	4	0	2	17	2	9	5	0	7	2	27	2	0	5	20	3	14	2	3	4	26	11	3	5	6	4	2	2	7	8	1	0	6	21	7	5	1	7	5	6	2	11	9	3	27	2	2	0	89	0	4	14	5	3	6	8	1	6	5	2	8	2	1	68	5	3	0	2	2	1	17	7	1	4	8	9	0	9	2	2	7	6	3	8	7	15	0	3	10	8	18	2	8	13	72	6	4	10	2	3	22	12	0	7	1	32	6	12	5	3	6	13	4	1	9	7	0	0	3	3	18	10	28	3	10	6	4	28	0	24	10	18	2	3	3	11	11	4	17	4	10	5	4	0	0	3	1	5	3	62	5	7	34	5	26	11	4	4	2	2	11	2	1	4	25	3	6	3	2	5	0	1	5	0	1	7	6	4	8	7	16	7	2	7	20	17	1	7	19	36	21	7	13	10	7	1	3	3	5	30	2	2	0	23	14	0	0	23	4	0	4	17	6	7	13	13	11	13	0	30	4	9	8	2	24	2	0	2	2	12	1	0	4	0	7	8	1	13	0	1	16	21	21	0	27	0	34	18	24	20	6	1	8	8	4	0	12	13	6	7	12	3	9	0	2	0	0	16	0	2	11	2	10	0	2	3	6	18	9	0	5	7	0	2	3	1	4	2	33	12	22	14	28	10	1
A[Del(T):R4]C	2	1	1	0	0	0	3	1	3	0	1	1	0	0	3	0	1	5	0	1	0	0	0	1	1	2	0	0	0	0	2	1	1	2	1	0	1	1	1	2	1	2	2	0	1	1	5	0	1	0	1	0	1	0	2	1	0	0	2	1	0	0	1	8	2	2	1	3	1	0	2	0	1	0	4	2	1	0	8	1	1	1	2	0	2	3	0	3	0	0	2	0	5	11	1	0	0	0	0	0	2	3	0	1	2	1	0	2	0	0	1	1	1	4	1	1	0	0	0	0	2	0	1	2	35	2	0	4	1	1	2	1	0	1	0	1	3	1	1	4	2	1	0	1	3	0	1	0	2	1	6	0	4	2	1	3	5	2	0	3	2	0	1	1	0	1	2	1	2	2	1	0	0	2	0	0	0	0	0	9	1	1	6	1	2	5	1	0	0	0	1	3	3	1	1	1	3	0	2	1	0	1	0	0	0	3	2	0	0	0	2	3	0	2	4	1	1	1	4	4	2	2	1	3	0	2	5	0	0	6	1	2	0	2	0	0	0	23	1	0	3	2	1	2	3	0	4	3	1	4	4	2	1	0	5	0	0	1	0	2	1	1	1	1	2	2	0	0	0	1	0	3	0	0	8	0	3	3	0	4	1	0	1	1	0	0	1	5	0	3	3	0	2	0	1	0	0	4	0	1	2	1	2	0	0	0	2	2	0	0	1	1	0	1	0	0	1	2	1	3	2	1	1	1	1
A[Del(T):R4]G	6	0	0	2	2	0	0	0	1	1	3	1	2	1	1	0	0	0	0	1	0	1	0	4	0	1	0	0	1	0	1	0	1	3	0	3	1	0	0	0	2	1	0	1	1	0	3	2	0	0	5	0	0	3	2	2	0	0	1	2	1	0	1	7	0	2	1	5	0	0	1	1	1	0	4	0	0	0	9	0	2	1	1	0	2	2	1	3	0	2	2	0	1	8	0	1	2	0	0	1	0	2	0	1	3	4	0	3	2	1	0	2	1	3	1	2	0	2	1	1	2	3	1	1	28	2	0	2	0	1	2	4	0	1	1	4	1	0	0	1	1	2	2	0	2	0	0	1	1	0	4	3	4	0	1	2	3	4	0	6	0	1	1	2	1	1	2	4	2	1	1	2	0	0	0	0	1	0	2	5	0	2	7	0	2	4	0	1	0	1	4	1	1	2	5	2	2	1	0	2	0	1	0	0	0	12	1	1	1	2	3	3	1	1	5	0	1	0	7	4	1	1	1	1	1	1	13	1	1	2	3	0	0	4	2	0	0	11	2	0	1	6	0	2	1	2	1	2	0	4	2	1	1	0	1	2	0	0	0	1	0	1	2	0	1	1	1	0	0	1	1	3	0	0	9	0	2	0	0	0	0	0	3	0	0	3	4	1	1	1	1	0	2	1	2	0	0	1	1	0	3	1	1	2	0	0	1	3	1	0	0	1	0	1	0	2	3	3	1	2	5	3	1	0	1
