MutationType	SP111062	SP111006	SP110846	SP111086	SP111096	SP111021	SP111058	SP111092	SP111076	SP111098	SP111039	SP111052	SP111166	SP111014	SP111066	SP111094	SP111015	SP110853	SP111051	SP110855	SP111004	SP111078	SP110863	SP111013	SP111042	SP111040	SP111031	SP23496	SP111030	SP111019	SP111026	SP110860	SP110851	SP111059	SP111170	SP111054	SP111033	SP111113	SP110865	SP111061	SP111101	SP110859	SP111168	SP111067	SP111036	SP111116	SP111099	SP23502	SP111069	SP111043	SP111024	SP111011	SP111082	SP111074	SP110845	SP110857	SP111017	SP111080	SP23506	SP111075	SP111112	SP111001	SP111027	SP111117	SP110842	SP111173	SP111008	SP111070	SP110847	SP111077	SP111091	SP111072	SP111084	SP23504	SP23500	SP111029	SP111175	SP111049	SP23498	SP111002	SP110866	SP111035	SP111009	SP111114	SP111000	SP111045	SP110861	SP111047	SP111088	SP111056	SP111089	SP111038	SP110849	SP111164	SP111057	SP111119	SP111095	SP111064	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
1:Del:C:0	25	67	29	39	13	1	41	92	26	35	14	4	37	13	57	52	27	53	40	31	29	12	20	16	10	28	41	29	20	22	28	33	32	37	52	38	30	65	125	26	23	31	34	23	23	32	35	70	24	33	27	36	39	35	16	22	25	16	21	24	31	49	11	34	42	52	46	33	34	62	30	21	41	18	4	13	84	34	42	10	19	18	20	59	24	24	39	45	28	52	33	46	29	41	23	69	34	43	23	56	24	23	49	24	41	35	54	47	52	23	58	25	35	41	67	47	42	24	50	50	31	61	34	12	91	36	161	38	52	46	61	37	109	43	48	47	83	88	246	24	38	79	31	44	39	168	38	65	63	28	32	13	41	148	52	29	59	47	9	78	46	21	26	33	84	26	27	116	341	41	43	62	38	40	82	35	59	15	79	87	92	30	64	46	36	49	52	38	93	19	62	40	113	25	57	51	19	27	38	73	29	34	90	33	30	49	22	63	19	103	57	52	78	43	21	45	112	56	33	48	24	21	26	27	35	46	54	99	45	66	81	30	54	24	66	29	47	65	62	102	58	22	50	82	45	36	81
1:Del:C:1	15	36	15	27	10	0	17	29	15	17	13	4	20	6	19	20	9	29	16	18	20	7	14	12	1	8	29	10	8	14	16	21	18	29	24	25	15	27	81	14	8	23	17	12	15	14	18	36	20	16	12	22	14	11	10	15	11	6	18	21	12	24	14	19	20	18	16	20	16	30	14	15	37	16	4	9	25	23	23	7	19	17	9	26	12	15	14	22	19	21	17	27	9	16	11	29	21	22	10	32	27	20	21	20	16	15	27	30	38	12	24	13	17	22	31	23	18	6	16	15	16	27	14	8	30	24	71	18	23	16	17	14	70	10	48	22	28	76	354	13	18	33	16	19	21	83	16	21	28	11	19	6	13	69	15	8	22	35	1	25	26	22	12	22	42	13	13	42	118	17	22	26	12	15	40	15	25	5	42	29	48	18	30	15	18	33	24	16	28	13	26	27	55	10	28	18	7	13	18	43	17	8	30	14	18	21	17	22	10	49	34	23	29	11	14	47	38	28	22	22	17	17	12	16	24	22	27	89	21	25	36	9	19	19	38	17	18	19	17	46	16	11	20	18	21	18	53
1:Del:C:2	10	14	7	10	7	0	7	14	13	7	10	3	13	0	7	19	6	16	7	17	8	6	6	9	1	8	9	6	8	3	8	7	12	15	13	10	7	14	19	8	5	8	4	7	8	11	7	21	19	4	2	11	7	6	1	6	6	3	3	6	11	12	5	8	11	4	3	8	9	19	3	5	10	5	2	4	15	10	10	3	9	6	8	11	10	14	8	14	6	16	7	17	5	9	2	10	4	12	3	16	9	8	12	16	9	11	11	12	15	7	15	8	12	11	19	12	5	5	7	8	4	18	7	6	12	6	29	6	13	9	13	12	39	14	17	23	9	34	331	10	8	19	9	19	10	28	15	16	13	4	11	4	3	37	10	5	16	12	1	22	20	13	3	11	12	13	5	17	112	7	7	5	11	7	19	7	17	6	33	12	16	5	21	10	8	21	11	11	23	7	9	8	31	3	17	12	8	12	14	22	6	6	17	9	10	23	7	7	2	21	20	14	15	15	5	34	26	11	11	10	4	5	5	8	14	8	11	52	4	10	27	5	15	13	14	9	12	17	18	16	11	5	10	17	9	12	20
1:Del:C:3	8	13	4	9	6	0	9	14	6	5	3	0	11	1	12	8	4	7	4	10	10	3	9	4	0	5	15	6	3	1	4	8	14	13	5	9	7	11	11	10	5	8	2	0	4	11	11	11	6	8	7	8	8	6	7	5	12	1	5	10	4	6	1	6	9	7	4	4	7	13	4	4	6	3	2	3	16	6	9	1	5	10	8	5	7	10	7	5	8	7	4	9	4	13	3	17	10	11	2	7	15	6	13	5	10	12	10	12	8	7	9	2	12	9	8	12	7	5	5	3	10	7	7	1	3	4	15	3	12	10	3	3	18	2	14	8	9	15	110	6	3	12	4	4	8	33	2	13	9	2	3	2	5	17	4	1	15	6	5	16	8	10	1	6	15	7	11	14	308	8	8	5	5	9	16	6	10	2	15	5	15	6	9	8	9	13	16	4	16	6	15	9	16	9	10	3	5	9	8	17	6	4	7	7	10	10	10	9	2	18	11	11	8	6	3	14	13	8	6	9	4	12	5	8	12	2	14	22	8	7	10	8	10	5	11	7	9	11	7	10	5	4	9	9	5	7	12
1:Del:C:4	3	8	4	7	2	0	18	7	3	9	3	1	8	1	8	5	6	11	2	7	13	4	3	1	0	2	7	6	3	4	3	6	4	8	9	7	5	15	12	8	10	6	3	1	2	10	7	12	6	8	8	6	7	6	3	2	3	2	1	5	6	18	2	6	6	9	7	5	6	11	2	4	7	1	2	0	10	4	5	2	5	8	6	9	8	7	5	5	7	7	4	12	4	12	7	17	9	3	3	11	9	7	5	1	8	8	8	12	7	3	10	6	4	12	4	11	2	5	3	5	4	11	5	2	5	2	15	3	1	0	12	4	18	4	4	6	13	8	63	5	3	7	3	9	8	12	3	2	8	2	5	3	5	10	12	4	9	4	0	13	11	4	2	2	9	2	7	9	741	4	4	4	2	9	11	12	5	1	13	5	10	5	6	13	5	6	13	5	11	5	4	9	8	6	12	6	2	4	4	7	6	3	11	6	9	8	4	5	2	17	7	9	6	9	4	12	13	10	6	7	4	3	4	6	11	12	9	8	8	6	9	4	8	4	4	2	7	8	4	9	7	1	9	7	6	11	9
1:Del:C:5	15	12	7	24	11	0	12	18	28	12	2	1	15	4	24	7	11	20	5	8	8	5	4	6	0	4	32	12	6	3	8	26	17	13	15	16	17	24	19	7	23	7	4	3	12	20	7	21	15	15	16	15	19	9	11	11	11	2	3	3	16	9	1	9	19	15	11	8	16	15	5	9	6	1	5	3	30	13	9	3	13	28	11	35	8	16	10	5	12	13	5	34	9	15	7	35	23	18	6	25	50	6	15	4	21	8	34	40	29	12	38	9	13	33	13	21	10	16	8	18	9	40	19	3	13	6	45	3	20	5	27	16	40	3	13	8	10	15	41	11	12	42	5	16	31	22	14	13	21	5	14	10	18	37	26	4	11	17	3	36	19	13	9	8	38	8	56	47	2206	13	12	7	23	21	22	17	25	5	22	11	42	23	26	19	10	15	30	15	38	22	19	20	27	17	35	10	15	10	7	16	13	3	15	12	13	22	14	14	11	42	24	38	16	21	14	5	43	10	11	13	7	11	15	18	28	39	33	30	12	15	37	8	40	12	37	5	18	12	18	17	40	8	42	38	15	16	22
1:Del:T:0	13	31	9	56	17	1	60	53	12	24	7	1	45	9	62	86	18	46	14	29	21	16	40	16	2	16	52	17	16	23	46	41	30	21	60	31	19	101	79	17	33	19	14	19	13	31	24	86	32	30	30	46	28	31	31	18	28	5	16	21	26	55	12	19	27	94	28	25	19	54	38	11	47	12	10	7	106	22	33	13	30	27	25	62	35	21	20	30	21	35	21	28	27	43	17	41	36	25	16	36	35	20	16	32	27	29	49	53	41	19	50	31	19	54	55	39	23	12	17	31	38	32	22	6	19	20	75	25	45	28	28	20	102	28	59	38	17	58	93	17	22	56	22	38	26	102	23	31	40	25	32	9	35	74	22	13	36	41	6	38	39	21	35	20	55	28	26	71	204	28	36	29	31	37	52	40	30	15	30	24	72	25	52	34	192	31	45	32	52	25	46	32	88	30	38	28	17	30	29	39	25	11	39	25	27	43	20	21	16	125	34	44	64	20	41	60	68	43	22	54	23	20	26	29	42	29	48	56	23	39	63	19	59	25	50	16	47	39	36	71	51	16	55	53	27	30	61
1:Del:T:1	5	31	14	45	21	0	82	24	19	23	7	3	43	14	106	34	22	39	8	39	13	11	38	9	3	9	30	30	19	26	62	50	16	16	28	43	14	106	58	21	58	21	9	8	11	27	18	82	30	63	35	60	29	36	29	16	28	8	7	25	16	80	6	21	31	103	25	10	13	69	31	9	19	14	14	4	108	16	27	9	32	27	30	70	46	22	15	26	17	32	7	36	35	40	12	44	26	19	12	17	67	17	14	26	30	22	34	39	35	18	67	25	17	22	28	57	16	11	13	22	77	41	36	6	16	15	74	11	27	22	37	22	110	14	46	22	10	44	76	18	16	38	26	23	37	79	15	18	23	12	9	5	71	66	30	9	46	35	7	45	48	15	30	9	74	16	20	46	194	14	32	16	25	33	47	20	38	22	35	15	80	12	62	56	64	24	78	29	57	21	35	28	90	31	24	16	12	32	20	41	35	6	21	17	11	35	21	27	7	192	34	28	61	18	38	68	97	58	22	62	10	27	27	20	33	41	36	53	14	32	71	17	104	19	52	29	78	28	39	95	72	14	63	62	32	21	46
1:Del:T:2	11	25	14	32	13	0	41	32	16	18	9	2	20	8	46	29	10	32	16	26	14	7	24	17	1	14	24	12	9	19	21	38	20	16	22	32	16	51	55	16	41	16	7	9	8	25	17	48	28	35	26	31	28	21	22	16	17	6	14	24	20	31	8	17	19	58	25	20	7	28	16	10	28	7	9	11	76	19	26	7	23	25	21	35	25	11	21	19	18	24	14	24	20	23	19	40	22	24	12	32	34	18	9	18	20	16	27	40	32	14	58	9	23	14	21	30	15	11	15	14	19	28	17	8	9	19	40	13	25	8	32	22	68	20	30	28	17	41	43	16	17	44	14	26	27	65	15	27	32	15	23	10	22	70	27	9	26	37	1	47	34	12	26	14	36	14	20	38	306	13	26	15	24	32	24	19	23	9	33	9	41	16	32	30	34	35	43	21	36	14	24	26	72	15	32	11	10	17	16	34	14	12	34	13	20	25	19	24	12	63	24	26	34	24	17	57	64	29	17	37	5	13	19	14	28	25	43	29	15	35	38	12	39	11	39	20	25	28	33	40	31	14	29	43	22	12	40
1:Del:T:3	18	49	16	43	25	0	59	58	18	35	12	4	38	12	72	32	23	33	17	36	24	10	28	16	4	16	49	24	15	35	38	34	30	22	40	56	35	92	102	17	79	26	19	18	19	28	14	76	28	56	37	31	37	28	34	17	18	14	16	23	30	68	7	29	30	73	17	17	26	56	25	9	27	4	12	9	116	22	30	10	31	46	28	68	30	27	17	28	31	26	20	47	17	39	24	63	27	14	10	54	43	21	24	19	27	38	50	55	33	11	57	30	25	30	45	42	28	16	9	16	39	53	21	12	28	17	55	11	32	24	38	26	82	15	46	22	20	52	60	16	13	79	21	42	40	122	11	26	35	17	16	11	34	75	36	11	47	28	3	56	23	23	28	10	64	17	28	68	1016	31	33	12	33	29	42	25	47	27	48	29	66	20	50	30	24	28	42	29	67	20	47	34	75	24	54	21	13	22	23	39	21	7	25	12	19	37	20	34	15	103	29	33	40	31	30	52	73	43	24	48	15	20	25	34	44	29	46	55	29	40	60	13	47	18	61	14	45	33	39	46	43	15	43	76	36	24	41
