MutationType	SP135192	SP135335	SP135278	SP135287	SP135345	SP85122	SP84384	SP135184	SP135226	SP135436	SP135262	SP135431	SP135425	SP135222	SP135230	SP135205	SP135180	SP135213	SP135217	SP135405	SP135238	SP135270	SP135411	SP135188	SP135194	SP135186	SP135420	SP135258	SP135234	SP135293	SP135393	SP135299	SP135415	SP135310	SP135323	SP135390	SP135209	SP135240	SP135182	SP85251	SP84408	SP84491	SP84743	SP83967	SP105253	SP84998	SP84062	SP84982	SP84790	SP105673	SP85339	SP84719	SP105425	SP84056	SP105261	SP85379	SP105086	SP84392	SP105018	SP84858	SP84086	SP105213	SP105577	SP85431	SP84962	SP105006	SP84439	SP105159	SP85230	SP84922	SP85130	SP104984	SP85222	SP105375	SP85287	CPCT02060042T	CPCT02130027T	CPCT02290024T	CPCT02230080T	CPCT02070282T	CPCT02060201T	CPCT02010752T	CPCT02130046T	CPCT02190033T	WIDE01010213T	CPCT02440010T	WIDE01010272T	DRUP01070085T	CPCT02380045T	CPCT02150013T	CPCT02010769T	CPCT02450014T	CPCT02130122T	CPCT02230107T	DRUP01090017T	CPCT02020781T	CPCT02310016T	CPCT02300050T	CPCT02020808T	CPCT02050414T	CPCT02230042T	CPCT02040170T	CPCT02330059T	CPCT02330063T	CPCT02020512T	CPCT02110031T	CPCT02030347T	CPCT02050179T	CPCT02010591T	CPCT02170007T	CPCT02210025T	CPCT02030376T	CPCT02050110T	CPCT02030318T	CPCT02100056T	CPCT02030326T	CPCT02120007T	WIDE01010573T	WIDE01010693T
3:Ins:R:0	0	0	0	2	0	7	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	1	0	2	1	0	2	0	1	0	1	0	0	0	0	0	0	0	2	2	0	8	8	0	5	1	0	2	1	0	0	0	1	2	1	6	1	2	1	6	1	0	1	0	1	5	0	1	1	2	3	1	0	10	0	2	4	5	7	4	3	4	9	12	12	10	5	52	3	8	1	327	5	9	13	10	14	14	5	4	1	3	12	6	3	5	36	6	8	4	14	3	12	7	1	6	21	10	4
3:Ins:R:1	0	0	0	3	1	10	4	1	2	1	1	1	3	4	1	0	1	0	0	3	0	2	0	2	1	2	2	0	1	0	3	4	2	0	2	0	0	2	9	0	1	3	9	3	10	2	1	7	2	2	4	2	3	1	1	2	6	6	6	12	3	4	2	2	2	8	6	3	3	5	2	3	0	5	1	1	3	4	2	7	3	3	1	10	9	12	3	13	4	1	0	68	4	5	15	5	1	3	5	3	0	5	9	6	1	2	4	2	2	2	4	3	11	2	1	3	4	5	3
3:Ins:R:2	0	1	0	4	2	11	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	2	2	0	0	0	1	3	0	0	0	2	1	1	1	1	1	3	2	1	0	0	0	0	0	3	5	1	3	0	2	1	0	2	0	0	1	0	0	0	2	0	2	2	0	1	0	12	0	1	0	634	2	1	1	1	1	2	2	0	0	1	0	0	1	2	6	4	2	0	1	0	1	0	0	1	1	1	2
3:Ins:R:3	0	0	0	3	0	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	4	0	0	0	0	0	2	1	0	0	12	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	571	0	0	0	1	1	0	0	0	0	0	0	0	0	0	14	1	0	0	1	0	1	2	0	0	0	0	0
3:Ins:R:4	0	0	0	18	0	30	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	20	0	0	1	1	1	0	0	1	10	0	0	0	0	1	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	19	0	1	0	340	2	4	1	1	0	3	0	0	1	0	0	0	0	0	26	2	1	2	0	0	0	3	0	0	1	0	0
3:Ins:R:5	0	0	0	74	0	145	84	0	0	1	0	3	1	0	1	1	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	4	0	2	10	4	0	3	1	0	38	3	0	0	0	2	1	2	3	1	122	1	3	0	0	3	1	1	2	62	1	0	4	2	1	1	5	2	0	0	2	1	1	1	0	1	7	3	3	2	129	2	0	1	1087	6	1	6	3	4	1	4	4	0	1	7	1	0	2	171	8	1	0	4	0	2	4	1	2	7	4	2
4:Ins:R:0	0	0	0	1	0	9	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	14	10	0	4	0	0	3	1	0	3	0	2	3	1	3	3	4	1	1	1	1	1	1	2	6	4	1	2	3	2	3	0	7	0	1	4	8	6	8	5	5	9	17	15	12	2	128	13	11	10	829	13	13	27	10	14	15	6	11	5	8	20	16	3	9	88	21	10	9	22	11	8	13	5	8	33	11	8
4:Ins:R:1	0	0	0	5	3	11	2	0	1	6	1	3	3	1	1	0	0	0	0	5	0	1	0	1	4	0	2	0	1	0	4	1	0	0	0	0	1	3	8	0	0	9	6	4	10	4	3	10	0	2	1	1	3	3	0	6	5	5	5	20	1	5	6	4	6	11	7	4	0	11	0	4	1	8	4	1	2	9	5	4	5	1	4	9	9	5	3	25	7	4	5	130	2	10	13	4	1	3	8	3	0	3	7	12	2	4	15	8	10	4	4	3	13	4	1	6	8	5	3
4:Ins:R:2	0	0	0	4	0	2	3	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	1	0	0	0	0	1	1	0	3	10	3	1	0	3	1	1	0	0	6	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	23	0	0	1	732	0	0	3	0	1	3	1	1	0	0	0	0	1	2	25	3	1	1	0	1	0	2	0	1	0	0	2
4:Ins:R:3	0	0	0	5	0	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	2	1	0	1	0	0	6	0	0	0	1	1	0	0	1	0	15	1	1	0	1	1	0	0	0	7	0	0	0	0	0	0	2	0	0	0	3	1	2	0	0	0	3	0	1	0	35	0	0	0	2102	1	0	2	2	0	0	1	4	0	0	1	1	1	2	55	0	1	0	1	0	0	2	1	0	1	1	0
4:Ins:R:4	0	0	0	9	0	26	9	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	3	1	0	5	3	0	1	0	0	2	0	0	0	0	0	1	1	0	1	12	1	0	0	0	0	0	1	3	11	0	1	0	0	1	0	4	0	0	1	0	2	2	1	0	0	3	2	5	2	51	1	0	6	1360	3	1	6	2	0	1	1	2	0	0	1	3	2	0	64	2	2	3	1	0	0	2	0	0	3	2	0
4:Ins:R:5	0	0	0	15	1	29	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	2	0	1	0	1	2	0	0	0	0	0	1	7	0	0	5	0	1	4	1	0	14	0	0	5	0	0	1	0	4	0	24	0	2	3	1	1	0	0	2	9	1	0	2	3	0	0	3	1	0	2	2	5	4	2	0	3	5	7	6	1	46	1	1	2	214	5	5	7	4	3	4	3	5	0	1	5	4	3	0	37	9	2	2	3	2	2	5	0	6	6	2	1
5:Ins:R:0	0	0	0	2	1	15	10	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0	11	7	1	5	1	3	3	4	3	2	0	2	7	1	5	2	7	6	2	2	0	2	2	0	1	2	0	2	8	2	1	0	10	3	15	51	60	43	29	62	55	47	68	55	89	15	507	51	52	40	1975	42	36	83	69	46	60	32	38	39	34	93	61	13	31	318	63	35	84	113	39	38	44	26	30	56	28	23
5:Ins:R:1	0	4	0	8	4	25	2	0	4	9	0	6	8	4	5	0	0	4	0	8	0	9	4	3	5	6	15	0	14	0	10	8	4	0	6	0	0	16	34	5	3	34	50	4	21	13	3	9	13	6	17	4	11	37	8	19	15	14	35	29	5	10	13	4	6	8	18	7	24	20	5	7	2	60	10	3	9	27	12	21	22	13	14	19	22	26	9	41	16	14	8	462	8	6	42	24	22	16	10	19	7	22	27	35	8	12	36	21	12	12	22	9	34	21	8	27	14	19	12
5:Ins:R:2	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	0	1	0	1	0	1	1	2	0	1	1	4	4	1	0	0	0	0	1	1	1	1	0	0	2	0	0	1	0	1	1	1	2	2	0	0	0	2	3	1	0	14	0	1	1	872	4	1	4	1	0	1	1	2	1	1	1	4	1	0	21	1	2	1	1	0	1	2	0	1	1	2	1
5:Ins:R:3	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	1	2	0	0	0	0	0	2	1	1	1	11	1	1	0	235	0	3	0	1	0	2	0	2	1	1	2	0	0	0	8	2	0	1	2	0	0	0	0	0	0	2	0
5:Ins:R:4	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	1	1	0	0	0	0	4	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	2	0	0	1	0	0	1	1	1	0	11	0	1	0	39	0	1	2	2	0	0	2	1	0	0	0	0	0	1	4	1	1	0	0	0	0	0	0	0	1	2	0
5:Ins:R:5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	1	0
2:Del:M:1	0	1	1	112	6	208	228	0	6	15	8	14	11	14	2	4	0	4	0	16	1	8	7	2	5	8	11	0	6	1	6	13	2	0	2	0	4	9	23	13	2	35	14	10	15	12	0	90	23	21	15	7	5	13	12	13	30	130	29	32	3	13	13	6	14	12	178	20	11	14	34	17	7	11	9	1	9	13	12	28	9	13	15	16	21	21	8	368	17	9	8	185	18	13	28	16	11	28	19	28	2	8	21	34	10	15	375	24	22	26	12	14	30	26	4	13	7	48	13
3:Del:M:1	0	0	0	7	2	19	20	0	1	9	1	1	1	0	1	0	0	0	0	0	0	6	0	0	0	1	1	0	3	0	0	0	0	0	2	0	0	2	2	1	2	8	7	2	2	0	1	12	1	2	1	2	0	4	2	3	4	10	8	4	0	2	4	4	0	2	14	4	2	2	2	1	1	5	0	0	0	4	0	4	0	0	1	3	4	3	2	35	1	3	5	23	2	2	5	10	2	2	1	2	1	2	5	7	5	2	57	4	3	3	2	4	5	4	1	2	5	7	3
3:Del:M:2	0	0	1	85	2	134	189	0	1	9	2	8	4	7	2	0	0	4	0	7	0	6	1	1	3	7	13	0	15	0	3	8	1	0	1	0	1	11	15	9	6	14	14	7	11	8	5	57	19	15	6	4	13	9	3	8	10	86	23	9	3	5	10	5	5	7	143	6	4	5	16	11	2	23	5	0	10	10	5	16	8	2	15	6	9	12	3	186	7	9	8	67	11	3	15	14	6	14	15	26	2	5	12	15	7	9	195	14	6	17	11	8	13	11	2	4	7	19	4
4:Del:M:1	0	0	0	15	0	21	33	0	1	2	0	6	2	0	1	0	0	0	0	4	0	1	0	1	2	3	1	0	1	0	2	3	3	0	0	0	0	0	3	1	0	5	4	1	1	4	0	9	3	5	3	0	2	5	2	2	8	16	13	6	0	3	1	0	3	5	12	4	6	3	2	2	2	5	4	2	2	4	3	6	4	3	2	4	8	2	1	89	5	2	7	33	6	1	3	6	4	8	7	6	1	4	7	9	1	4	119	5	2	6	6	3	6	1	2	1	4	10	2
4:Del:M:2	0	0	0	32	1	31	65	0	0	6	3	8	4	4	1	0	0	2	0	5	0	5	1	0	0	0	4	0	7	0	2	3	2	1	3	1	0	0	5	2	1	7	6	5	10	7	0	22	4	12	4	4	5	9	3	6	6	28	17	15	0	6	4	8	4	4	49	2	6	4	11	1	0	6	1	0	4	2	5	5	2	2	9	6	11	5	4	62	5	3	7	12	2	5	5	14	1	5	4	9	1	2	14	10	4	7	75	10	7	20	3	5	9	7	2	3	8	16	1
4:Del:M:3	0	0	1	34	5	64	94	0	2	8	2	7	8	0	3	0	0	2	0	8	0	5	1	1	3	1	8	2	11	0	6	5	2	0	4	1	0	10	15	9	4	9	11	9	10	4	4	40	14	12	7	3	2	8	3	7	16	48	26	23	3	3	6	10	6	9	53	6	7	7	13	4	0	15	2	1	11	7	6	12	3	8	4	5	8	11	1	70	4	2	4	42	4	3	13	10	3	7	14	15	4	7	21	13	8	9	100	8	12	11	12	9	9	7	1	4	8	51	3
5:Del:M:1	0	1	1	10	5	18	12	0	2	10	2	12	14	4	1	1	0	9	0	11	0	31	3	4	5	7	11	1	22	0	4	11	4	0	3	1	1	12	27	4	7	44	31	8	22	4	6	6	14	80	5	8	13	36	15	9	32	15	376	42	15	12	17	5	11	20	13	6	97	18	16	8	3	31	17	8	15	23	19	12	19	24	13	24	74	29	12	137	18	18	31	61	17	5	28	87	7	24	51	27	10	13	28	37	6	15	177	37	15	31	25	25	26	34	13	22	25	46	9
5:Del:M:2	0	2	1	7	6	26	20	0	1	15	3	8	13	5	4	1	0	13	0	12	0	43	2	4	3	10	10	3	15	1	9	6	5	0	3	1	0	9	17	3	1	51	20	7	18	5	3	9	10	170	8	6	7	45	17	17	33	23	833	48	22	8	17	11	14	19	12	7	143	24	9	7	3	19	9	2	11	14	11	12	20	18	13	23	123	19	4	29	13	11	15	19	18	4	28	99	8	33	70	27	5	13	33	19	4	19	37	19	9	30	21	27	27	28	16	22	17	60	9
5:Del:M:3	0	0	1	10	2	15	12	1	1	9	0	4	2	2	0	0	0	21	0	24	0	37	3	1	2	3	7	0	6	0	3	7	0	0	2	1	0	7	12	7	0	32	13	6	12	6	3	12	9	132	10	6	7	42	3	7	36	15	663	43	11	11	8	9	7	19	11	7	99	12	12	7	1	10	4	2	2	11	8	8	11	3	8	10	79	14	5	56	8	6	26	29	11	6	18	96	1	30	83	14	1	4	22	14	8	19	80	19	11	18	13	11	22	15	9	14	12	29	10
5:Del:M:4	0	0	0	7	3	10	14	0	4	7	0	9	5	5	2	1	0	7	0	10	0	15	1	0	1	3	4	1	4	1	1	6	0	0	0	0	0	3	13	2	1	18	9	2	9	1	1	6	5	80	5	4	2	26	3	7	22	11	347	25	9	12	6	1	5	7	8	7	47	8	12	3	0	7	5	0	4	7	3	5	7	6	3	8	39	8	3	18	8	6	9	22	8	7	7	58	2	17	28	14	1	4	8	8	1	7	28	12	5	13	16	13	10	10	4	11	4	17	1
5:Del:M:5	0	0	1	2	0	15	7	0	0	10	1	5	6	3	1	0	0	8	0	9	0	14	1	0	1	2	4	0	7	0	3	5	2	0	2	1	0	2	7	0	2	19	11	3	9	3	0	6	1	73	6	5	4	21	2	10	22	24	296	19	9	22	5	3	7	6	6	3	34	22	7	4	3	14	8	2	5	15	6	5	12	6	8	14	43	16	5	38	5	7	11	50	11	9	23	57	7	23	44	12	1	5	14	14	7	11	48	23	8	14	12	12	21	11	4	10	6	24	3
