Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
CPCT02060010T	2.17E+00	2.56E+00	3.55E+00	2.70E+00	6.40E+00	1.75E+00	1.37E+00	1.19E+00	1.80E+00
CPCT02040037T	7.19E+00	1.41E+01	1.61E+00	3.06E+00	3.49E+00	3.89E+00	4.63E-01	2.65E+01	9.42E+00
CPCT02070018T	9.43E-01	1.88E+00	1.40E+00	6.07E+00	7.10E+00	1.43E+00	1.13E+00	6.92E-01	2.41E+00
CPCT02080041T	7.59E-01	1.53E+00	3.07E+00	1.22E+01	1.47E+01	1.78E+00	1.21E+00	6.10E-01	5.23E+00
CPCT02070029T	3.23E+00	3.01E+00	2.60E+00	2.24E+00	5.12E+00	1.14E+00	2.04E+00	1.07E+00	1.65E+00
CPCT02060033T	1.11E+00	2.29E+00	1.58E+00	2.05E+00	4.83E+00	2.41E+00	1.16E+00	1.43E+00	1.66E+00
CPCT02020399T	4.75E+00	9.16E+00	4.66E+00	3.41E+00	1.37E+01	2.46E+00	1.37E+00	2.18E+00	4.34E+00
CPCT02140024T	5.29E+01	1.82E+01	3.60E+00	2.49E+00	6.98E+01	1.68E+00	2.33E+00	2.25E+01	5.16E-01
CPCT02080050T	7.87E-01	1.03E+00	1.41E+00	2.40E+00	3.73E+00	2.03E+00	7.41E-01	1.80E-01	1.68E+00
CPCT02030293T	1.01E+00	1.56E+00	1.20E+00	1.29E+00	2.54E+00	1.48E+00	8.58E-01	7.62E-01	8.07E-01
CPCT02010441T	6.69E+02	7.51E+00	1.38E+01	5.63E+00	6.65E+02	2.96E+00	2.60E+01	1.99E+02	3.44E+00
CPCT02090030T	2.36E+00	2.86E+00	1.06E+00	1.68E+00	2.11E+00	1.55E+00	1.09E+00	8.10E-01	9.46E-01
CPCT02010718T	1.17E+00	1.92E+00	1.07E+00	1.48E+00	1.81E+00	1.66E+00	9.18E-01	1.07E+00	6.74E-01
CPCT02020653T	6.84E-01	1.25E+00	1.26E+00	2.49E+00	3.15E+00	2.15E+00	6.98E-01	7.43E-01	1.33E+00
CPCT02340008TII	8.43E-01	1.43E+00	1.10E+00	9.02E-01	1.60E+00	1.83E+00	5.18E-01	9.01E-01	5.43E-01
CPCT02020876T	6.43E-01	8.89E-01	1.50E+00	1.78E+00	2.54E+00	1.12E+00	5.64E-01	6.81E-01	8.13E-01
CPCT02370016T	9.50E-01	1.56E+00	1.64E+00	3.56E+00	4.72E+00	1.62E+00	6.59E-01	7.63E-01	2.15E+00
CPCT02070275T	1.15E+00	2.21E+00	1.12E+00	1.30E+00	1.79E+00	1.68E+00	6.85E-01	8.68E-01	7.97E-01
CPCT02011028T	3.34E+00	2.64E+00	2.11E+00	4.50E+00	5.28E+00	1.69E+00	1.21E+00	1.35E+00	2.48E+00
CPCT02230072T	3.37E+02	8.35E+01	2.43E+01	1.68E+01	3.78E+02	1.12E+01	1.03E+01	1.26E+02	1.69E+01
CPCT02130028T	1.59E+00	2.24E+00	7.83E-01	1.25E+00	1.90E+00	1.67E+00	8.08E-01	9.12E-01	4.58E-01
CPCT02060182T	4.88E-01	6.59E-01	9.54E-01	8.42E-01	1.44E+00	1.08E+00	4.61E-01	5.22E-01	2.35E-01
CPCT02020657T	1.85E-01	1.03E+00	8.94E-01	1.22E+00	2.04E+00	1.84E+00	5.92E-01	7.33E-01	7.96E-01
DRUP01090026T	5.13E-01	1.37E+00	1.27E+00	1.81E+00	4.10E+00	1.27E+00	7.96E-01	4.08E-01	1.13E+00
CPCT02130029T	2.05E-01	3.76E-01	7.61E-01	5.57E-01	1.73E+00	1.27E+00	2.00E-02	4.33E-01	3.71E-01
CPCT02340010TII	5.52E+00	1.92E+00	1.13E+00	5.04E+00	2.67E+00	3.36E+00	7.07E+00	9.47E-01	1.10E+00
DRUP01020022T	3.75E-01	9.72E-01	1.09E+00	1.53E+00	2.78E+00	1.85E+00	7.44E-01	6.79E-01	1.23E+00
CPCT02120103T	8.78E-01	1.89E+00	8.91E-01	1.90E+00	1.68E+00	1.38E+00	1.14E+00	6.39E-01	8.83E-01
CPCT02300030T	1.45E+00	1.93E+00	1.44E+00	2.06E+00	2.76E+00	1.64E+00	5.78E-01	8.65E-01	8.88E-01
CPCT02150044T	6.26E-01	1.15E+00	8.70E-01	1.78E+00	2.74E+00	1.23E+00	5.67E-01	8.05E-01	1.19E+00
CPCT02020920T	5.17E-01	9.04E-01	1.22E+00	2.80E+00	3.46E+00	1.31E+00	7.32E-01	9.49E-01	1.48E+00
CPCT02080192T	7.30E-01	1.63E+00	1.17E+00	1.37E+00	2.02E+00	1.86E+00	7.85E-01	7.07E-01	8.61E-01
CPCT02130170T	2.80E+00	1.24E+00	3.57E+00	3.05E+00	5.76E+00	1.55E+00	4.12E+00	1.55E+00	2.81E+00
CPCT02260014T	5.02E+00	7.67E+00	1.80E+00	2.96E+00	5.23E+00	2.15E+00	1.62E+00	4.63E+00	2.56E+00
CPCT02020922T	1.88E-01	9.90E-01	2.11E+00	1.53E+00	3.54E+00	1.10E+00	5.47E-01	6.62E-01	1.42E+00
CPCT02011072T	5.52E-01	9.17E-01	7.96E-01	1.28E+00	1.80E+00	8.63E-01	4.83E-01	7.55E-01	6.48E-01
CPCT02010758T	2.32E-01	9.83E-01	1.08E+00	2.54E+00	3.13E+00	1.84E+00	6.82E-01	7.45E-01	1.17E+00
WIDE01010006T	0.00E+00	6.61E-01	5.16E-01	2.78E-01	1.47E+00	1.30E+00	6.15E-01	7.13E-01	7.13E-01
CPCT02040220T	5.76E-01	1.49E+00	6.96E-01	2.25E+00	2.14E+00	1.37E+00	8.32E-01	1.07E+00	1.01E+00
CPCT02100157T	2.68E+00	2.97E+00	9.99E-01	1.85E+00	2.32E+00	2.31E+00	1.40E+00	8.84E-01	1.22E+00
CPCT02230088T	7.94E+00	3.08E+00	1.52E+01	5.59E+00	1.66E+01	4.93E+00	4.31E+00	5.66E+00	6.49E+00
CPCT02130178T	4.96E-01	9.75E-01	1.40E+00	2.17E+00	3.23E+00	1.08E+00	8.96E-01	6.48E-01	9.39E-01
WIDE01010017T	1.04E+00	1.73E+00	1.81E+00	1.45E+00	3.75E+00	1.38E+00	9.63E-01	6.56E-01	1.42E+00
WIDE01010025T	4.82E-01	1.08E+00	1.18E+00	8.38E-01	2.81E+00	1.37E+00	6.01E-01	7.93E-01	9.69E-01
WIDE01010028T	3.10E+00	2.63E+00	3.24E+00	6.03E+00	7.99E+00	2.27E+00	1.82E+00	1.33E+00	2.94E+00
WIDE01010012T	1.28E+00	2.88E+00	1.27E+00	4.66E+00	2.18E+00	2.03E+00	7.29E-01	9.09E-01	1.65E+00
WIDE01010031T	3.51E+00	8.62E+00	2.27E+00	2.39E+00	3.73E+00	1.80E+00	1.34E+00	1.29E+01	4.19E+00
CPCT02020956T	2.33E-01	7.21E-01	7.86E-01	9.59E-01	1.41E+00	8.74E-01	3.46E-01	8.78E-01	9.62E-01
CPCT02010774T	4.03E-01	8.98E-01	1.02E+00	2.15E+00	1.95E+00	1.22E+00	3.48E-01	3.00E-01	1.20E+00
CPCT02010756T	4.49E-01	5.50E-01	9.04E-01	1.34E+00	2.85E+00	1.99E+00	4.93E-01	5.62E-01	1.00E+00
WIDE01010045T	6.11E-01	1.01E+00	1.02E+00	3.76E+00	3.92E+00	1.15E+00	5.81E-01	8.96E-01	1.28E+00
CPCT02080204T	3.34E-01	6.96E-01	1.10E+00	1.19E+00	2.17E+00	1.49E+00	6.43E-01	5.07E-01	9.73E-01
WIDE01010037T	4.55E+00	7.15E+00	1.66E+00	1.16E+00	6.02E+00	1.46E+00	1.79E+00	2.26E+00	1.59E+00
WIDE01010056T	2.42E+00	3.37E+00	7.77E-01	1.88E+00	2.62E+00	1.50E+00	1.02E+00	1.29E+00	1.77E+00
CPCT02070298T	2.03E+00	2.66E+00	1.31E+00	1.08E+00	2.30E+00	9.01E-01	8.93E-01	1.03E+00	8.30E-01
WIDE01010594T	5.72E-01	1.38E+00	1.11E+00	1.84E+00	3.13E+00	1.39E+00	7.02E-01	9.31E-01	1.29E+00
WIDE01010078T	5.56E-01	9.57E-01	2.39E+00	8.39E+00	9.16E+00	1.25E+00	1.04E+00	8.05E-01	3.61E+00
CPCT02130054T	9.57E-01	1.47E+00	1.34E+00	1.44E+00	2.34E+00	2.14E+00	9.72E-01	2.80E-01	1.10E+00
CPCT02040228T	7.99E-01	1.35E+00	8.73E-01	1.29E+00	1.52E+00	1.74E+00	6.33E-01	9.42E-01	1.00E+00
WIDE01010051T	6.02E-01	1.68E+00	1.80E+00	1.38E+00	5.47E+00	2.24E+00	1.07E+00	1.69E+00	1.49E+00
CPCT02050319T	3.60E-01	4.80E-01	8.31E-01	7.91E-01	2.35E+00	1.95E+00	1.03E+00	3.34E-01	9.52E-01
CPCT02020689T	4.24E-01	1.15E+00	9.92E-01	2.70E+00	3.00E+00	2.10E+00	7.00E-01	5.04E-01	1.28E+00
WIDE01010043T	8.40E-01	1.27E+00	1.43E+00	2.14E+00	3.00E+00	1.14E+00	6.23E-01	5.50E-01	1.14E+00
WIDE01010112T	2.39E+00	3.22E+00	1.64E+00	5.62E+00	5.97E+00	1.54E+00	1.17E+00	9.19E-01	2.48E+00
WIDE01010092T	5.43E-01	1.39E+00	1.06E+00	1.11E+00	1.67E+00	1.14E+00	4.97E-01	1.05E+00	8.71E-01
WIDE01010119T	1.31E+00	2.89E+00	1.46E+00	1.87E+00	4.53E+00	1.16E+00	1.44E+00	1.08E+00	1.03E+00
CPCT02170022T	3.80E-01	1.19E+00	7.59E-01	1.18E+00	1.99E+00	1.77E+00	6.11E-01	3.50E-01	5.31E-01
WIDE01010120T	3.28E-01	7.84E-01	9.46E-01	1.07E+00	1.30E+00	1.11E+00	4.89E-01	4.00E-01	7.31E-01
WIDE01010127T	7.03E+00	6.16E+00	1.09E+01	3.79E+00	1.69E+01	2.91E+00	2.60E+00	4.25E+00	1.16E+00
CPCT02300036T	1.38E+00	3.01E+00	1.70E+00	3.27E+00	4.01E+00	1.55E+00	9.88E-01	7.14E-01	1.63E+00
WIDE01010146T	4.61E-01	9.08E-01	1.24E+00	2.53E+00	2.96E+00	7.30E-01	6.48E-01	7.37E-01	1.19E+00
CPCT02070309T	5.41E-01	9.96E-01	1.09E+00	2.30E+00	3.16E+00	1.61E+00	5.97E-01	7.25E-01	1.38E+00
WIDE01010157T	2.67E+00	2.85E+00	5.83E+00	4.13E+00	6.25E+00	2.23E+00	1.68E+00	2.10E+00	3.62E+00
WIDE01010170T	1.10E+00	1.43E+00	1.17E+00	1.14E+00	2.69E+00	1.21E+00	6.74E-01	7.29E-01	6.47E-01
CPCT02020696T	3.82E-01	8.50E-01	1.14E+00	2.47E+00	3.19E+00	1.81E+00	4.52E-01	4.90E-01	9.23E-01
CPCT02030471T	4.45E-01	1.02E+00	8.06E-01	1.27E+00	1.59E+00	2.12E+00	9.26E-01	3.71E-01	7.74E-01
CPCT02130032T	4.08E-01	7.38E-01	1.08E+00	2.60E+00	3.92E+00	2.34E+00	7.54E-01	5.46E-01	1.47E+00
CPCT02070310T	3.39E+00	9.60E+00	8.79E-01	2.75E+00	3.37E+00	2.51E+00	1.08E+00	1.39E+01	4.83E+00
WIDE01010164T	1.25E+00	2.28E+00	2.74E+00	2.83E+00	4.76E+00	1.46E+00	3.82E-01	1.93E+00	1.76E+00
WIDE01010190T	5.49E-01	1.22E+00	1.86E+00	1.17E+00	3.23E+00	1.13E+00	1.50E-01	6.81E-01	1.02E+00
WIDE01010182T	2.37E+00	4.29E+00	2.62E+00	7.44E+00	8.35E+00	2.06E+00	1.31E+00	2.37E+00	4.22E+00
DRUP01050040TII	4.08E+00	8.82E+00	6.13E+00	1.03E+00	1.63E+01	2.92E+00	9.30E-01	3.00E+00	1.47E+00
WIDE01010225T	1.39E+00	2.55E+00	2.21E+00	1.63E+00	5.26E+00	1.53E+00	8.24E-01	8.89E-01	1.68E+00
CPCT02050348T	9.26E-01	1.68E+00	3.61E+00	1.96E+00	6.06E+00	1.82E+00	5.96E-01	4.71E-01	1.17E+00
WIDE01010275T	9.24E-01	1.67E+00	1.63E+00	6.52E+00	7.52E+00	1.47E+00	1.13E+00	9.15E-01	2.25E+00
CPCT02010810T	7.32E-01	1.27E+00	9.31E-01	1.28E+00	1.86E+00	1.53E+00	5.33E-01	7.45E-01	7.39E-01
CPCT02060206T	4.51E+00	3.45E+00	9.47E+00	3.48E+00	9.06E+00	3.81E+00	1.64E+00	3.67E+00	2.61E+00
WIDE01010284T	5.14E-01	1.26E+00	1.04E+00	4.94E-01	2.10E+00	9.13E-01	5.29E-01	4.48E-01	7.05E-01
WIDE01010330T	5.44E-01	1.21E+00	1.20E+00	1.15E+00	2.20E+00	8.70E-01	6.11E-01	3.71E-01	8.33E-01
WIDE01010312T	4.65E+00	2.91E+00	7.26E+00	5.04E+00	7.12E+00	2.81E+00	2.32E+00	3.39E+00	3.44E+00
WIDE01010317T	2.23E+00	3.60E+00	2.74E+00	5.20E+00	4.66E+00	2.15E+00	9.57E-01	1.70E+00	1.10E+00
WIDE01010337T	1.17E+00	2.97E+00	2.72E+00	3.36E+00	5.00E+00	1.82E+00	9.71E-01	1.57E+00	2.20E+00
CPCT02220043T	2.94E+00	8.80E+00	1.32E+01	2.86E+00	2.51E+01	3.59E+00	1.22E+00	6.87E+00	4.79E+00
CPCT02130094T	1.28E+00	2.97E+00	2.32E+00	8.53E+00	9.50E+00	1.83E+00	1.34E+00	1.12E+00	2.77E+00
WIDE01010329T	4.76E+00	4.56E+00	6.93E+00	5.07E+00	9.91E+00	2.63E+00	1.80E+00	3.06E+00	1.76E+00
WIDE01010331T	4.93E-01	1.25E+00	6.46E-01	1.53E+00	1.87E+00	1.39E+00	5.91E-01	8.13E-01	8.47E-01
CPCT02010828T	1.96E+00	2.57E+00	4.36E+00	2.52E+00	5.00E+00	1.89E+00	9.95E-01	1.38E+00	1.91E+00
WIDE01010101T	2.59E+00	3.15E+00	5.14E+00	3.06E+00	5.44E+00	1.96E+00	1.73E+00	2.44E+00	1.53E+00
WIDE01010349T	3.19E-01	9.67E-01	1.51E+00	1.76E+00	2.95E+00	1.18E+00	2.43E-01	6.44E-01	1.30E+00
WIDE01010342T	6.30E-01	1.52E+00	1.14E+00	1.82E+00	2.28E+00	1.08E+00	6.52E-01	1.20E+00	9.63E-01
WIDE01010359T	3.98E-01	8.73E-01	8.27E-01	7.45E-01	1.40E+00	1.26E+00	5.68E-01	7.46E-01	6.22E-01
WIDE01010370T	4.55E-01	4.98E-02	1.82E+00	2.60E+00	3.17E+00	9.42E-01	6.79E-01	5.52E-01	1.23E+00
WIDE01010369T	6.10E-01	2.00E+00	1.44E+00	1.69E+00	1.67E+00	9.27E-01	6.76E-01	5.49E-01	8.56E-01
CPCT02340084T	1.97E+00	2.37E+00	2.68E+00	3.92E+00	4.26E+00	1.50E+00	8.32E-01	1.47E+00	2.28E+00
DRUP01030015T	1.29E+00	4.20E+00	1.03E+01	1.40E+00	1.64E+01	1.32E+00	1.04E+00	1.11E+00	4.74E+00
CPCT02060236T	4.27E-01	9.68E-01	9.87E-01	9.56E-01	1.73E+00	1.69E+00	6.50E-01	4.32E-01	7.87E-01
CPCT02120125T	2.00E+00	2.83E+00	5.74E+00	1.94E+00	7.75E+00	1.89E+00	1.80E+00	1.79E+00	2.11E+00
CPCT02230098T	1.40E+01	8.43E+00	4.07E-01	6.21E-01	6.18E+00	2.13E+00	1.26E+00	2.91E+00	1.33E+00
DRUP01090015T	1.38E-01	1.17E-01	9.35E-01	9.05E-01	1.37E+00	1.56E+00	7.01E-01	5.64E-01	8.01E-01
WIDE01010401T	1.05E+00	1.66E+00	2.11E+00	3.44E+00	5.45E+00	1.55E+00	1.33E+00	5.46E-01	2.14E+00
CPCT02230105T	4.21E-01	6.42E-01	1.02E+00	1.24E+00	1.82E+00	1.38E+00	4.38E-01	5.95E-01	8.12E-01
CPCT02080223T	9.48E-01	2.24E+00	1.26E+00	3.60E+00	2.74E+00	2.33E+00	7.67E-01	8.61E-01	1.37E+00
CPCT02020730T	8.14E-01	1.65E+00	3.21E+00	9.28E+00	1.24E+01	2.20E+00	9.24E-01	6.09E-01	5.27E+00
CPCT02010831T	3.08E+00	2.48E+00	5.53E+00	4.36E+00	5.88E+00	2.08E+00	1.14E+00	2.76E+00	3.06E+00
WIDE01010428T	8.17E-01	1.11E+00	1.03E+00	1.23E+00	2.10E+00	1.08E+00	4.46E-01	5.22E-01	9.77E-01
CPCT02290039T	6.32E+00	9.35E+00	1.61E+00	2.28E+00	7.71E+00	2.41E+00	1.48E+00	1.84E+00	1.90E+00
CPCT02010843T	6.98E-01	8.37E-01	6.09E-01	1.69E+00	2.16E+00	2.02E+00	5.48E-01	4.26E-01	1.13E+00
CPCT02130103T	1.04E+00	2.28E+00	1.66E+00	4.07E+00	4.72E+00	2.23E+00	8.34E-01	4.48E-01	1.78E+00
CPCT02070337T	1.24E+00	1.85E+00	1.57E+00	3.08E+00	3.14E+00	2.39E+00	1.07E+00	1.07E+00	1.38E+00
WIDE01010440T	4.17E-01	1.04E+00	1.23E+00	2.75E+00	3.13E+00	1.29E+00	6.26E-01	8.52E-01	1.38E+00
WIDE01010404T	1.99E+00	3.36E+00	1.71E+00	1.12E+00	5.24E+00	2.05E+00	7.99E-01	1.06E+00	9.28E-01
CPCT02080229T	8.98E-01	1.49E+00	2.30E+00	1.83E+00	2.98E+00	1.73E+00	1.05E+00	1.25E+00	1.47E+00
CPCT02050363T	1.07E+00	2.53E+00	1.69E+00	1.47E+00	4.60E+00	2.13E+00	8.80E-01	9.06E-01	1.59E+00
CPCT02040250T	7.49E-01	1.52E+00	4.92E-01	2.14E+00	2.55E+00	1.41E+00	4.18E-01	7.69E-01	1.18E+00
CPCT02040251T	8.17E-01	1.19E+00	2.14E+00	1.64E+00	3.77E+00	1.74E+00	8.33E-01	6.19E-01	1.82E+00
CPCT02260022T	2.84E+00	4.86E+00	5.80E-01	1.64E+00	4.92E+00	1.08E+00	1.04E+00	1.69E+00	1.58E+00
CPCT02340090T	1.88E+00	2.14E+00	1.29E+00	1.13E+00	2.21E+00	1.15E+00	9.62E-01	9.43E-01	1.25E+00
CPCT02450013T	6.56E-01	1.33E+00	8.09E-01	1.39E+00	2.00E+00	1.73E+00	8.98E-01	3.77E-01	7.19E-01
CPCT02070347T	1.39E+00	2.93E+00	1.97E+00	6.77E+00	8.45E+00	2.22E+00	1.28E+00	1.29E+00	3.34E+00
CPCT02060140T	4.03E-01	1.39E+00	1.27E+00	1.09E+00	4.48E+00	2.48E+00	9.14E-01	3.52E-01	1.09E+00
CPCT02020720T	1.72E-01	7.27E-01	7.70E-01	9.55E-01	1.49E+00	1.15E+00	4.64E-01	1.14E-01	8.26E-01
CPCT02230109T	2.44E+00	4.23E+00	1.10E+00	1.56E+00	3.57E+00	2.05E+00	1.23E+00	2.38E+00	1.11E+00
DRUP01090019T	2.37E+00	3.92E+00	3.25E+00	2.46E+00	6.42E+00	1.69E+00	1.50E+00	1.04E+00	1.93E+00
CPCT02120144T	5.44E-01	7.79E-01	1.21E+00	4.07E+00	4.83E+00	1.15E+00	3.53E-01	3.49E-01	1.65E+00
CPCT02080240T	1.12E+00	2.69E+00	2.48E+00	2.93E+00	4.56E+00	1.10E+00	8.66E-01	8.85E-01	2.21E+00
CPCT02130125T	8.35E-01	1.49E+00	1.35E+00	2.00E+00	3.53E+00	1.63E+00	1.05E+00	8.94E-01	1.03E+00
CPCT02070355T	4.08E-01	7.45E-01	8.65E-01	1.12E+00	1.41E+00	1.32E+00	5.17E-01	5.60E-01	7.92E-01
CPCT02010872T	3.96E-01	7.69E-01	1.01E+00	6.91E-01	2.49E+00	1.67E+00	7.10E-01	3.99E-01	9.66E-01
CPCT02010878T	8.83E-01	2.58E+00	2.35E+00	1.29E+00	5.81E+00	2.12E+00	8.14E-01	8.76E-01	1.16E+00
CPCT02090054T	3.86E+00	1.31E+01	9.14E+00	4.93E+00	2.52E+01	2.24E+00	3.09E+00	7.50E+00	7.83E+00
CPCT02330117T	2.10E+00	3.09E+00	1.54E+00	4.52E+00	5.61E+00	1.41E+00	1.36E+00	8.46E-01	1.97E+00
CPCT02170031T	2.94E+00	4.11E+00	1.60E+00	8.87E-01	2.82E+00	1.51E+00	1.31E+00	1.64E+00	1.52E+00
CPCT02020765T	5.84E-01	1.78E+00	1.09E+00	3.18E+00	2.28E+00	1.44E+00	2.79E-01	8.99E-01	1.01E+00
CPCT02010851T	2.71E-01	7.16E-01	7.97E-01	1.34E+00	2.12E+00	1.58E+00	2.63E-01	3.46E-01	8.81E-01
CPCT02020756T	5.97E-01	9.33E-01	1.47E+00	4.09E+00	5.16E+00	2.00E+00	9.11E-01	6.15E-01	2.40E+00
DRUP01170001T	1.63E+00	5.01E+00	3.47E+00	5.80E-01	9.24E+00	1.93E+00	3.59E-02	9.27E-01	1.08E+00
WIDE01010617T	1.62E+00	2.54E+00	1.96E+00	1.85E+00	4.64E+00	1.35E+00	1.30E+00	8.92E-01	1.28E+00
WIDE01010627T	4.07E-01	9.95E-01	1.02E+00	2.06E+00	2.90E+00	9.62E-01	6.47E-01	5.06E-01	1.24E+00
CPCT02030502T	7.74E-01	1.34E+00	2.18E+00	1.84E+00	4.65E+00	1.71E+00	8.16E-01	9.04E-01	1.80E+00
CPCT02030507T	1.50E+00	2.27E+00	8.06E-01	1.63E+00	2.75E+00	1.35E+00	7.80E-01	6.59E-01	1.10E+00
WIDE01010595T	1.76E+00	4.07E+00	1.13E+00	1.58E+00	5.37E+00	1.30E+00	1.16E+00	8.55E-01	2.48E+00
CPCT02040273T	4.72E-01	1.61E+00	1.29E+00	1.98E+00	2.51E+00	1.31E+00	8.22E-01	1.01E+00	1.21E+00
CPCT02030520T	1.04E+00	1.80E+00	1.36E+00	3.28E+00	3.64E+00	1.66E+00	8.97E-01	7.46E-01	1.46E+00
CPCT02110075T	4.78E+00	7.07E+00	9.10E-01	2.41E+00	4.38E+00	2.01E+00	1.23E+00	2.12E+00	2.13E+00
CPCT02290050T	1.38E+00	2.09E+00	1.71E+00	2.42E+00	3.88E+00	1.91E+00	9.94E-01	8.84E-01	1.64E+00
CPCT02290053T	3.24E-01	1.11E+00	6.52E-01	1.06E+00	1.38E+00	1.34E+00	3.50E-01	5.61E-01	7.47E-01
CPCT02080257T	7.21E-01	1.17E+00	9.11E-01	1.58E+00	1.83E+00	1.22E+00	6.31E-01	4.62E-01	8.65E-01
CPCT02290054T	6.17E-01	1.59E+00	1.34E+00	1.55E+00	2.00E+00	1.50E+00	6.10E-01	4.28E-01	9.93E-01
CPCT02080256T	9.28E-01	1.67E+00	9.66E-01	2.12E+00	2.02E+00	1.80E+00	7.63E-01	5.42E-01	8.00E-01
CPCT02030497T	2.67E+00	2.12E+00	4.45E+00	3.72E+00	5.44E+00	2.49E+00	1.13E+00	2.48E+00	2.29E+00
DRUP01290001T	6.62E+00	1.03E+01	1.62E+00	2.67E+00	8.09E+00	2.60E+00	1.61E+00	2.03E+00	1.57E+00
CPCT02070372T	4.88E-01	8.68E-01	9.86E-01	1.17E+00	1.87E+00	1.53E+00	6.84E-01	7.58E-01	5.87E-01
CPCT02290051T	3.68E-01	8.48E-01	8.96E-01	9.27E-01	1.92E+00	1.75E+00	7.01E-01	4.78E-01	6.48E-01
CPCT02020815T	7.63E+00	3.33E+00	1.24E+01	3.73E+00	1.35E+01	3.84E+00	3.47E+00	4.35E+00	1.75E+00
