MutationType	CPCT02060044T	CPCT02030247T	CPCT02050043T	CPCT02020342T	CPCT02010371T	CPCT02030256T	CPCT02050045T	CPCT02050047T	CPCT02010393T	CPCT02020358T	CPCT02090002T	CPCT02010403T	CPCT02030272T	CPCT02020373T	CPCT02050052T	CPCT02030270T	CPCT02050056T	CPCT02050055T	CPCT02030279T	CPCT02020320T	CPCT02060037T	CPCT02100033T	CPCT02010436T	CPCT02010439T	CPCT02060043T	CPCT02030284T	CPCT02020410T	CPCT02020408T	CPCT02030291T	CPCT02050079T	CPCT02050073T	CPCT02220001T	CPCT02010440T	CPCT02011020T	CPCT02340050T	CPCT02080280T	CPCT02080282T	CPCT02060163T	CPCT02011025T	CPCT02010754TII	CPCT02010716T	CPCT02170039T	CPCT02080284T	CPCT02030555T	CPCT02011037T	CPCT02120180T	CPCT02050304T	CPCT02020895T	CPCT02090032T	CPCT02020662T	DRUP01080025T	CPCT02020891T	CPCT02080266TII	CPCT02020901T	CPCT02080287T	CPCT02011045T	CPCT02020897T	CPCT02120101T	CPCT02020910T	CPCT02120095T	CPCT02080294T	CPCT02080292T	CPCT02120098T	CPCT02120105T	CPCT02020914T	CPCT02160035T	CPCT02050310T	CPCT02290061T	CPCT02050308T	CPCT02090035T	CPCT02020933T	CPCT02020930T	CPCT02020934T	CPCT02020939T	CPCT02020670T	CPCT02020837TII	CPCT02030459T	CPCT02350019T	CPCT02050424T	CPCT02340064T	CPCT02011045TII	CPCT02120189T	CPCT02010754T	CPCT02020868T	CPCT02060286T	CPCT02060288T	CPCT02120193T	CPCT02120187T	CPCT02120191T	CPCT02080304T	CPCT02080307T	CPCT02080303T	CPCT02340067T	CPCT02030461T	CPCT02020919T	CPCT02050432T	CPCT02120110T	CPCT02080308T	CPCT02020951T	DRUP01060009T	CPCT02020949T	CPCT02020960T	WIDE01010033T	CPCT02340115T	CPCT02050322T	CPCT02050046T	CPCT02050331T	WIDE01010071T	CPCT02020895TII	CPCT02030468T	CPCT02020959T	CPCT02080313T	CPCT02080311T	CPCT02011108T	CPCT02080314T	CPCT02020694T	CPCT02020672T	WIDE01010123T	CPCT02020665T	CPCT02080207T	CPCT02060291T	CPCT02050441T	CPCT02050440T	CPCT02050438T	DRUP01230001T	CPCT02080205T	CPCT02020714T	WIDE01010172T	CPCT02340081T	CPCT02010801T	CPCT02010794T	CPCT02340083T	CPCT02050347T	CPCT02120198T	CPCT02120199T	WIDE01010255T	CPCT02040241T	WIDE01010305T	WIDE01010314T	CPCT02060228T	WIDE01010328T	CPCT02030479T	CPCT02040246T	WIDE01010376T	WIDE01010381T	WIDE01010392T	CPCT02080221T	CPCT02020723T	CPCT02020736T	CPCT02020743T	CPCT02020739T	CPCT02050365T	CPCT02020670TII	CPCT02030490T	CPCT02300042T	CPCT02020700T	CPCT02220050T	CPCT02050370T	CPCT02050373T	CPCT02080234T	CPCT02030499T	CPCT02020770T	CPCT02050376T	CPCT02080239T	CPCT02050301T	CPCT02080242T	CPCT02020789T	CPCT02020796T	CPCT02220057T	CPCT02340098T	CPCT02340097T	CPCT02170038T	CPCT02010920T	CPCT02050399T	CPCT02050404T	CPCT02050402T	CPCT02060256T	CPCT02080259T	CPCT02020813T	CPCT02020785T	CPCT02020810T	CPCT02020821T	CPCT02340100T	CPCT02080266T	CPCT02010941T	CPCT02020822T	CPCT02020819T	CPCT02050405T	CPCT02020837T	CPCT02340102T	DRUP01060021T	DRUP01060019T	DRUP01060018T	CPCT02070394T	CPCT02080269T	CPCT02030459TII	CPCT02050411T	CPCT02030547T	CPCT02020828T	CPCT02080270T	CPCT02060133T	CPCT02050276TII	CPCT02080271T	CPCT02050243T	CPCT02060126T	DRUP01010106T	CPCT02050245T	CPCT02030548T	CPCT02050415T	CPCT02020853T	CPCT02020506TII	DRUP01080021T	CPCT02020854T	CPCT02010994T	DRUP01080022T	CPCT02020863T	CPCT02050276T	CPCT02030552T	CPCT02080275T	CPCT02030553T	CPCT02120062T	CPCT02020615T	CPCT02050421T	CPCT02120053T	CPCT02020626T	CPCT02120055T	CPCT02070422T	CPCT02120058T	CPCT02170017T	CPCT02020609T	CPCT02050249T	CPCT02060146T	CPCT02060049T	CPCT02050159T	CPCT02010550T	CPCT02010534T	CPCT02050079TII	CPCT02050170T	CPCT02050168T	CPCT02020509T	CPCT02050073TII	CPCT02020511T	CPCT02010565T	CPCT02020517T	CPCT02010393TII	CPCT02050181T	CPCT02020519T	CPCT02020520T	CPCT02060092T	CPCT02080116T	CPCT02080113T	CPCT02050194T	CPCT02050193T	CPCT02030350T	CPCT02080123T	CPCT02020542T	CPCT02010505T	CPCT02020553T	CPCT02170006T	CPCT02050212T	CPCT02050214T	CPCT02050217T	CPCT02020573T	CPCT02180032T	CPCT02010503TII	CPCT02010622T	CPCT02030370T	CPCT02030339TII	CPCT02040142T	CPCT02120050T	CPCT02120037T	CPCT02050235T	CPCT02050236T	CPCT02050232T	CPCT02050240T	CPCT02020574T	CPCT02020578T	CPCT02090005T	CPCT02020423T	CPCT02020426T	CPCT02050092T	CPCT02010403TII	CPCT02020412T	CPCT02010469T	CPCT02180012T	CPCT02020445T	CPCT02050105T	CPCT02050055TII	CPCT02010493T	CPCT02010503T	CPCT02010501T	CPCT02020464T	CPCT02090009T	CPCT02020468T	CPCT02340001T	CPCT02080079T	CPCT02010526T	CPCT02010532T	CPCT02060051T	CPCT02050141T	CPCT02110024T	CPCT02120013T	CPCT02050158T	CPCT02050149T	CPCT02010557T	CPCT02220014T	CPCT02050052TII	CPCT02020506T	CPCT02030339T	CPCT02080163T	CPCT02050281T	CPCT02070243T	CPCT02340040T	CPCT02120077T	CPCT02030437T	CPCT02010641TII	CPCT02050291T	CPCT02020643T	CPCT02150006T	WIDE01010503T	WIDE01010567T	WIDE01010459T	CPCT02060041T	WIDE01010561T	WIDE01010651T
1:Del:C:0	42	21	9	15	31	12	19	11	68	8	35	6	21	19	20	9	23	33	10	22	7	9	28	9	12	25	22	24	55	6	14	11	10	56	26	30	24	5	18	30	59	7	6	26	53	25	147	12	84	21	77	27	17	21	17	15	21	12	28	39	19	6	23	47	27	28	28	51	25	23	17	26	47	11	86	27	17	1	280	17	15	44	20	15	57	32	20	17	29	18	27	12	44	198	20	10	17	3	7	17	35	35	2	32	36	13	5	21	13	11	15	14	18	40	22	30	11	12	30	20	64	21	33	37	855	58	16	71	8	15	117	41	6	36	15	109	34	40	27	43	19	64	25	12	58	28	8	5	13	13	52	26	86	24	55	17	82	88	8	228	18	48	7	11	19	35	43	24	48	31	23	7	18	22	6	11	28	34	15	165	21	25	114	22	67	59	18	35	16	15	76	60	56	143	68	27	39	13	7	28	4	21	21	18	21	338	21	19	23	18	47	68	17	11	168	58	21	19	77	73	103	35	77	21	23	16	216	21	29	141	32	40	3	53	24	4	8	115	24	2	14	59	29	37	59	31	51	71	8	83	27	34	26	16	52	45	7	7	13	23	11	10	11	4	57	32	19	51	11	6	50	81	54	15	118	4	91	93	58	78	28	8	39	24	10	17	75	46	11	53	51	8	24	2	9	11	2	42	11	14	91	19	21	17	21	34	25	46	39	5	25	29	6	21	11	15	11	37	73	25	211	57	96	27	15
1:Del:C:1	27	10	5	17	19	9	25	10	32	9	22	1	11	13	10	5	14	24	9	24	5	8	8	10	5	14	16	13	39	7	9	5	10	30	6	17	12	2	12	9	34	8	1	20	28	12	82	7	38	8	52	18	11	10	15	7	6	7	25	19	10	2	12	21	14	21	15	30	13	7	13	13	22	7	47	12	10	2	179	7	4	18	9	12	37	20	14	11	18	9	14	12	27	113	9	18	6	5	6	5	25	21	1	21	16	21	4	11	5	9	6	11	9	19	22	18	5	5	12	17	32	7	13	26	309	38	4	27	1	11	75	15	5	14	18	80	21	26	17	22	17	31	11	6	22	11	5	4	20	10	40	22	47	28	20	14	35	51	6	95	13	25	4	11	8	19	30	22	26	17	18	11	9	5	4	9	16	16	19	122	16	21	70	12	31	38	8	22	7	6	56	36	29	142	55	9	20	8	6	10	3	10	4	14	8	407	17	10	16	12	37	42	10	6	66	36	10	9	24	49	41	23	46	26	23	9	269	13	17	93	25	24	6	33	18	4	8	38	12	5	11	44	18	18	30	14	26	42	5	57	11	27	29	11	51	19	4	8	9	18	8	6	8	6	34	9	7	28	6	6	32	38	41	12	74	3	69	58	30	45	7	2	24	17	6	4	41	23	11	29	29	9	28	3	11	9	2	39	7	13	35	16	11	12	16	15	14	38	16	3	15	16	1	9	6	11	10	18	45	11	87	28	68	26	12
1:Del:C:2	14	3	0	8	2	4	10	2	9	1	4	3	6	7	6	1	6	13	2	10	1	4	5	4	6	5	8	4	12	0	4	5	3	11	9	9	11	1	9	3	15	1	4	11	17	9	35	4	8	5	17	3	8	7	3	4	2	2	1	5	3	4	4	13	8	4	6	13	4	3	2	9	13	2	14	3	5	3	56	5	4	12	6	3	16	4	5	3	8	2	2	3	2	40	6	4	5	1	2	2	7	9	0	8	9	6	2	3	4	1	3	3	9	11	8	7	1	5	10	5	11	2	7	5	145	7	2	11	1	3	26	4	3	6	4	27	8	14	4	5	4	17	5	2	13	11	6	3	7	5	13	5	15	13	7	3	29	21	0	44	6	6	2	2	4	3	10	30	7	5	9	4	7	4	0	4	4	5	6	51	5	14	31	7	8	25	5	10	2	4	25	11	9	61	19	5	12	3	0	4	5	4	3	6	2	362	10	5	6	4	5	9	2	5	21	8	3	4	19	23	27	11	21	9	8	4	264	8	8	34	12	6	5	18	7	3	0	33	9	4	7	7	8	7	8	8	18	11	2	17	2	17	9	5	18	4	0	2	2	6	4	2	4	3	12	4	3	18	5	3	12	15	13	2	21	1	23	21	12	18	6	3	9	4	1	1	19	17	6	10	10	3	10	2	6	3	0	11	2	10	21	6	8	3	6	8	6	5	12	3	5	6	0	6	3	3	4	11	20	4	45	10	13	6	5
1:Del:C:3	4	2	0	7	5	3	3	2	10	5	5	1	7	6	6	2	2	5	2	4	0	4	5	2	5	6	5	2	10	0	3	1	3	8	3	4	5	2	6	2	8	1	0	7	3	4	31	0	7	1	5	3	4	1	1	1	2	8	2	5	6	1	3	20	4	6	2	4	3	3	2	5	4	0	7	3	1	1	31	2	2	9	2	1	11	7	2	3	8	1	5	2	6	25	4	5	5	1	0	4	6	2	0	10	6	6	1	1	0	4	5	2	1	7	3	4	1	3	3	2	10	6	4	4	200	7	4	4	1	6	15	6	2	5	2	15	3	12	6	3	6	9	3	2	11	4	0	1	3	5	10	7	8	5	4	5	13	14	3	22	4	4	2	1	1	3	5	12	6	4	3	3	5	2	3	1	3	3	4	22	5	5	19	3	4	10	0	3	0	1	11	5	5	33	4	1	9	1	2	5	1	0	1	2	0	126	5	3	3	2	10	6	2	3	23	5	0	3	8	9	9	8	13	7	4	3	91	4	3	22	4	2	2	7	1	1	0	69	3	1	3	11	3	1	9	5	7	6	1	18	2	5	7	1	10	6	1	3	3	1	2	3	1	2	5	4	3	6	2	2	7	10	11	3	20	1	8	12	11	17	5	1	4	4	0	3	5	7	0	9	8	1	4	0	1	4	2	10	1	6	7	6	4	3	5	6	6	7	5	1	2	6	2	7	1	4	1	9	12	2	24	10	15	7	2
1:Del:C:4	2	0	1	2	0	1	1	4	7	0	2	0	3	5	2	2	2	3	1	3	1	1	1	2	0	6	2	1	3	0	2	1	0	2	3	4	2	1	2	2	3	1	0	6	3	1	8	0	7	1	4	3	2	1	3	1	0	3	3	2	4	1	0	28	0	2	1	3	3	5	1	1	1	1	9	4	0	0	29	3	3	0	2	2	8	4	2	3	2	0	2	0	2	20	3	2	0	0	0	0	6	1	1	4	6	2	1	2	1	5	1	1	4	6	5	2	1	2	3	2	2	0	1	2	397	6	0	6	2	2	11	1	2	5	1	11	4	7	2	5	2	1	3	0	11	7	2	3	3	1	7	3	9	2	7	2	5	8	1	11	3	5	2	0	1	2	5	7	7	0	4	3	1	1	1	2	1	3	3	18	2	8	15	2	4	4	2	2	1	3	12	2	2	14	4	1	6	0	1	7	1	1	2	1	3	80	2	2	1	0	7	6	1	1	8	10	0	3	5	8	4	5	4	1	1	3	83	3	3	13	2	1	0	6	3	2	0	170	2	3	2	1	2	1	7	2	6	6	0	8	3	4	2	0	5	2	0	1	3	4	1	1	0	1	3	1	1	3	2	0	3	10	6	2	14	0	8	4	6	9	2	0	3	1	1	1	5	6	1	3	6	2	3	0	2	2	0	1	3	7	6	3	2	0	2	1	5	7	2	0	2	2	1	1	0	1	1	3	7	2	8	8	14	5	0
1:Del:C:5	7	0	0	1	1	2	1	1	7	1	4	1	2	1	1	0	1	9	5	7	1	0	1	0	1	1	0	2	7	1	1	0	3	2	5	5	7	0	4	4	4	0	0	0	4	1	9	1	9	3	10	4	3	2	1	2	1	0	1	4	1	1	3	110	1	0	4	1	5	1	2	5	2	5	5	1	3	0	15	1	2	3	8	2	6	10	4	2	0	0	4	0	6	10	4	1	3	3	2	4	2	4	1	4	3	0	1	4	0	2	2	1	5	15	5	1	0	0	3	3	2	3	7	1	1639	7	3	21	2	11	4	2	1	1	5	9	2	1	2	5	0	7	2	3	25	2	0	2	2	1	0	4	5	3	4	2	4	6	0	14	2	3	2	1	0	3	2	2	2	1	5	1	2	3	2	2	2	4	2	11	0	2	17	3	1	2	2	3	2	5	8	4	3	18	8	3	5	0	0	7	0	1	4	2	5	49	1	1	5	0	3	8	1	2	9	5	1	0	6	5	3	4	15	4	3	3	40	1	7	12	3	4	1	5	2	0	1	715	2	1	1	7	3	0	8	11	1	3	3	8	0	4	4	3	6	2	0	0	2	4	0	0	3	1	2	3	1	2	0	0	3	7	5	1	27	1	11	4	1	32	0	0	2	3	0	3	6	9	3	2	4	0	6	0	0	0	0	0	5	3	17	3	0	2	4	3	5	3	1	0	4	2	0	1	3	3	3	5	5	2	10	5	10	11	2
1:Del:T:0	26	10	11	17	25	10	20	12	31	7	30	3	23	17	11	11	10	30	15	17	9	10	14	18	10	24	20	24	38	4	11	12	14	32	18	26	19	12	22	17	42	7	2	21	31	13	141	9	35	14	62	10	9	24	18	10	10	15	23	14	12	4	26	45	22	17	20	44	9	9	12	23	20	12	52	14	12	7	176	9	9	30	19	10	50	18	15	17	15	9	31	8	34	152	20	13	10	7	4	13	26	31	6	29	30	21	4	15	9	7	11	14	18	37	19	25	7	12	16	13	59	7	32	23	288	23	14	29	2	12	68	24	6	23	18	69	23	31	19	32	20	34	21	6	29	24	7	6	19	11	48	21	52	31	38	30	50	57	6	154	20	31	7	8	17	14	25	134	37	18	20	14	6	3	10	6	23	9	20	133	10	31	83	12	49	53	18	22	5	13	43	19	17	46	63	17	34	9	6	22	4	9	16	15	9	119	20	10	29	18	20	27	11	13	125	35	15	20	45	72	48	23	63	30	23	7	90	15	14	100	22	8	6	31	23	5	4	54	13	3	15	37	22	23	28	25	30	40	11	62	14	34	23	15	50	20	10	9	13	12	8	11	11	9	25	16	10	31	16	11	33	66	39	5	81	4	69	39	37	48	15	4	16	14	5	14	37	44	15	21	45	10	16	1	7	8	2	29	11	11	45	20	29	12	14	13	11	19	23	7	14	17	4	9	12	6	14	31	57	20	130	47	70	23	10
1:Del:T:1	102	45	18	112	74	33	110	10	187	36	119	4	61	37	44	2	101	57	14	114	6	50	101	60	21	116	121	81	305	3	19	5	30	172	11	130	47	4	61	52	297	34	19	119	255	44	304	11	41	56	234	112	9	73	66	42	38	5	143	100	5	3	91	142	120	162	16	169	53	84	7	79	187	26	448	12	4	0	1379	41	43	119	46	47	193	53	41	49	60	7	77	40	11	984	65	18	13	9	5	23	245	90	1	143	106	68	1	67	12	39	24	41	35	82	108	112	5	59	55	48	323	2	91	171	511	101	27	153	3	9	229	201	14	104	30	492	115	237	66	56	30	228	104	33	175	69	9	6	66	32	197	169	454	62	145	73	35	349	3	379	63	153	12	41	60	118	176	42	184	82	122	61	6	2	5	25	48	65	76	857	40	88	490	7	253	187	83	90	5	39	201	14	12	24	234	9	154	46	20	71	3	44	52	15	56	85	63	65	92	77	275	108	24	86	301	191	44	96	275	408	337	47	126	103	92	33	60	56	64	652	40	10	6	266	124	4	3	46	63	13	18	300	82	131	181	9	198	234	20	362	84	150	127	9	345	8	4	5	60	103	39	26	40	4	80	89	13	158	4	7	177	302	251	23	272	3	416	345	237	115	93	3	152	80	28	28	148	73	49	75	283	15	88	2	27	4	18	212	11	54	97	39	118	8	46	13	43	275	138	6	74	135	0	62	40	7	35	85	328	92	349	199	406	106	5
1:Del:T:2	23	5	2	16	7	8	20	16	28	6	11	3	6	12	12	8	9	24	9	12	4	6	13	10	9	14	12	12	26	2	9	2	8	22	12	18	9	1	15	6	28	9	1	23	25	9	58	4	22	10	38	12	14	8	5	6	5	1	11	18	3	2	4	26	14	16	9	24	15	10	8	19	20	7	30	10	7	3	123	10	8	17	8	9	28	9	8	12	14	3	19	3	13	103	9	12	8	5	2	10	29	18	4	14	26	11	2	11	5	8	9	10	7	22	15	14	2	4	13	14	49	4	17	20	167	13	5	26	2	7	43	21	5	20	4	53	11	20	16	20	9	33	13	5	39	13	6	3	22	10	40	26	32	9	19	13	38	43	4	72	2	17	6	9	9	12	23	17	27	14	16	10	10	11	4	7	9	12	15	114	11	24	71	12	30	25	17	16	4	4	40	18	18	29	38	9	21	4	1	10	5	13	7	9	10	58	18	11	15	6	26	19	5	7	52	25	12	11	36	30	53	10	40	18	8	10	47	9	21	69	11	13	6	41	11	2	3	40	9	2	9	30	15	18	25	14	21	30	10	47	15	26	20	8	31	18	2	1	11	16	2	3	3	6	14	14	9	21	7	3	22	34	32	3	50	1	65	47	30	43	17	4	22	6	4	14	25	33	10	16	21	10	10	1	15	2	1	24	6	10	32	8	12	9	15	18	11	25	11	5	12	13	2	10	7	7	6	20	40	8	75	28	26	16	2
1:Del:T:3	37	14	2	29	13	11	23	7	37	5	29	4	14	11	16	3	15	19	5	20	0	9	18	13	4	21	24	19	42	1	14	3	8	45	11	26	13	1	19	14	53	15	5	15	41	9	69	5	20	8	60	23	7	16	14	10	6	7	23	30	5	1	18	81	29	25	10	43	19	11	9	23	28	6	74	9	5	1	211	7	11	25	19	8	21	27	4	17	18	6	28	4	28	172	14	6	8	4	2	4	36	31	4	15	30	24	0	23	6	8	13	18	9	38	22	35	10	9	16	19	52	7	26	36	340	27	6	38	3	13	60	39	3	23	7	94	25	29	16	18	21	39	16	4	52	15	2	1	13	9	54	31	77	19	25	16	23	66	0	84	18	30	5	10	13	25	40	21	46	19	22	14	5	10	2	8	8	12	12	165	14	16	93	10	69	42	15	14	5	9	39	19	18	29	61	12	21	14	6	19	3	9	14	3	10	63	13	9	21	16	44	31	6	19	68	36	8	21	55	88	55	21	39	31	21	6	70	8	13	85	13	13	0	49	27	0	1	159	10	4	16	54	13	29	37	28	32	39	5	81	15	29	22	7	61	16	2	8	3	28	7	12	9	4	26	26	9	26	5	6	31	60	47	2	76	0	85	46	40	50	26	2	25	16	7	8	36	32	12	22	48	8	28	3	7	1	1	40	7	6	42	10	23	3	9	12	18	47	20	5	19	27	3	15	6	7	15	19	67	25	65	43	54	34	6
