MutationType	SP85623	SP85491	SP87582	SP89090	SP85511	SP85952	SP85840	SP87675	SP85836	SP120767	SP105708	SP85818	SP105922	SP86118	SP86306	SP87099	SP87434	SP85864	SP105807	SP89291	SP88050	SP88593	SP88158	SP87534	SP88776	SP85725	SP86660	SP87903	SP88098	SP85487	SP105759	SP86775	SP88322	SP85582	SP87446	SP87337	SP86929	SP86130	SP86425	SP85495	SP85787	SP86836	SP89245	SP86989	SP88757	SP85733	SP85737	SP85647
1:Del:C:0	3	7	4	5	8	5	8	5	11	11	7	0	7	6	9	10	6	1	2	1	0	10	3	12	7	4	15	4	7	13	4	2	3	5	11	2	8	6	5	2	9	0	2	14	3	6	1	6
1:Del:C:1	5	7	2	4	2	1	3	3	10	7	6	0	6	10	14	9	2	0	4	5	5	3	4	6	3	2	6	1	5	7	1	0	9	1	10	1	11	1	17	1	1	0	0	9	2	9	1	5
1:Del:C:2	1	4	1	4	4	2	3	1	2	2	3	0	3	3	7	0	3	1	6	0	1	0	0	2	5	1	4	3	6	5	2	0	2	1	7	1	5	4	8	0	1	0	0	3	0	3	0	3
1:Del:C:3	0	0	1	2	4	4	0	1	0	2	1	0	0	1	0	1	1	0	1	1	1	1	0	3	2	0	2	0	0	1	1	0	2	0	4	0	3	0	3	0	0	0	0	1	0	0	0	0
1:Del:C:4	0	0	1	1	2	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	1	1	1	0	2	0	1	2	1	0	0	0	3	2	3	1	2	0	0	0	0	0	1	0	0	0
1:Del:C:5	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	2	0	0	3	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
1:Del:T:0	7	11	1	7	9	1	4	2	15	8	3	0	4	3	5	3	6	0	7	1	0	1	0	7	8	11	7	4	2	7	2	3	4	5	3	4	7	4	2	1	1	0	2	7	3	3	0	4
1:Del:T:1	2	7	1	4	6	4	6	1	9	5	4	0	2	3	4	0	3	0	3	0	1	4	0	8	2	3	5	1	6	8	2	0	5	1	4	1	4	2	2	1	1	0	1	4	2	2	2	0
1:Del:T:2	1	3	0	2	4	1	6	6	2	8	3	0	2	2	2	1	6	0	2	1	3	6	0	5	3	3	6	0	1	5	3	0	1	4	6	1	2	0	7	3	0	0	1	2	0	4	0	2
1:Del:T:3	1	1	1	2	3	0	1	0	4	2	2	0	4	4	3	5	2	1	3	2	1	3	1	2	1	0	5	1	2	3	4	0	3	5	3	4	3	1	3	2	2	0	1	1	3	1	1	2
1:Del:T:4	3	4	2	0	2	0	1	1	2	3	4	0	1	2	2	2	0	1	2	2	2	2	2	1	2	0	4	1	0	2	0	0	0	3	3	2	2	0	3	0	0	0	2	5	4	1	0	1
1:Del:T:5	4	2	1	2	6	1	4	4	3	4	7	0	2	7	5	10	3	1	3	2	1	2	1	4	1	2	3	0	2	11	5	0	3	3	6	1	3	4	10	2	0	0	2	6	0	4	0	2
1:Ins:C:0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0
1:Ins:C:1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
1:Ins:C:2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	1	0	0	0
1:Ins:C:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
1:Ins:C:4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Ins:C:5	0	1	1	0	1	0	0	0	1	1	2	0	1	1	1	1	0	0	1	0	0	1	0	3	1	1	0	0	0	3	1	0	1	0	1	0	0	1	2	0	1	0	0	1	1	0	0	1
1:Ins:T:0	0	2	0	0	3	0	0	0	0	0	0	0	0	1	3	1	2	1	1	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	1	1	0	0	2	2	1	0	0	1	1	0	0	0
1:Ins:T:1	3	7	4	1	10	0	5	2	5	3	3	0	1	3	5	4	3	1	2	2	2	2	1	4	3	4	7	3	4	10	2	0	2	4	7	1	8	2	5	0	0	1	2	5	1	1	1	3
1:Ins:T:2	0	1	0	0	1	0	1	0	2	2	0	0	0	1	0	0	1	0	1	1	2	0	0	2	0	3	0	1	2	2	1	1	1	0	2	0	3	0	5	0	0	0	0	1	0	1	0	1
1:Ins:T:3	1	0	0	0	2	0	1	1	1	1	0	0	0	0	5	1	1	0	2	0	0	0	0	1	1	0	0	1	0	5	0	1	1	2	4	1	0	0	1	0	0	0	0	1	1	0	1	0
1:Ins:T:4	0	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
1:Ins:T:5	4	4	6	10	15	6	4	9	10	7	7	0	1	5	31	11	7	4	9	5	8	4	2	34	7	10	22	5	21	57	4	0	13	9	37	1	26	6	13	1	0	0	3	13	3	3	0	5
2:Del:R:0	2	5	0	0	1	0	3	1	0	4	2	0	0	2	0	0	0	0	2	0	0	2	0	3	1	4	1	1	3	3	0	0	1	1	1	0	3	0	2	0	2	0	0	6	1	2	0	1
2:Del:R:1	0	1	0	1	3	1	2	1	3	3	1	0	2	3	6	2	0	0	3	1	0	3	1	4	3	2	3	2	0	3	3	0	2	1	3	0	5	0	0	0	0	0	1	2	2	2	0	0
2:Del:R:2	0	0	0	0	0	0	1	0	1	3	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0	2	4	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	1	0	1
2:Del:R:3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
2:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2:Del:R:5	3	1	4	0	2	1	6	4	4	2	4	2	0	2	0	4	3	5	1	4	4	5	1	5	1	0	6	0	1	3	3	1	0	6	8	2	2	7	0	5	6	10	0	5	0	3	1	6
3:Del:R:0	1	0	1	3	0	0	0	0	2	1	0	0	0	2	1	1	0	0	1	0	1	0	1	1	0	2	3	0	1	0	1	0	0	0	3	0	1	0	1	0	1	0	1	0	0	0	0	0
3:Del:R:1	0	2	2	0	5	4	3	2	5	4	3	0	3	1	3	1	1	0	1	1	0	2	0	4	7	1	7	0	1	5	2	0	4	4	2	0	5	4	1	3	1	0	0	2	1	3	2	1
3:Del:R:2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	1	1	4	2	1	0	0	0	2	0	0	1	0	0	0	0	0	2	0	1	0	0
3:Del:R:3	0	0	0	0	2	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0
3:Del:R:4	0	0	2	0	1	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	2	0	0	1	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1
3:Del:R:5	1	0	1	0	1	0	1	0	0	1	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	3	0	2	0	1	0	3	1	0	1	0	0	1	0	0	0	1	0	0	0	3
4:Del:R:0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	3	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0
4:Del:R:1	3	2	1	3	2	4	4	2	5	2	3	0	1	3	4	3	1	0	4	1	0	4	2	5	7	1	4	2	3	4	2	1	7	2	4	2	3	5	6	0	1	0	2	2	2	6	1	2
4:Del:R:2	0	1	0	1	1	1	0	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	2	0	1	0	1	1	0	0	0	1
4:Del:R:3	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	1	1	2	0	0	1	0	0	1	0	0	0	1	1	0	0	0
4:Del:R:4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	3	0	0
4:Del:R:5	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:0	6	6	2	1	7	3	3	1	3	9	4	0	3	2	6	7	1	0	4	3	2	1	1	12	4	2	8	2	12	6	1	0	3	4	5	1	10	0	5	1	1	0	0	10	3	6	3	1
5:Del:R:1	0	1	2	0	1	0	0	1	2	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	2	3	0	1	2	1	0	1	2	1	0	1	1	0	0	0	0	0	1	1	0	0	0
5:Del:R:2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
5:Del:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	1	0	1	3	1	0	1	0	2	0	0	2	0	1	0	0	1	1	0	1	1	1
2:Ins:R:1	0	1	0	1	1	1	2	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0
2:Ins:R:2	0	0	0	0	3	1	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
2:Ins:R:3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2:Ins:R:5	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	1	2	0	2	1	0	0	2	1	2	1	3	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0
3:Ins:R:0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
3:Ins:R:1	0	0	1	1	0	1	2	0	3	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0
3:Ins:R:2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3:Ins:R:5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4:Ins:R:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
