MutationType	CPCT02030245T	CPCT02030257T	CPCT02070015T	CPCT02040043T	CPCT02100032T	CPCT02160007T	CPCT02030286T	CPCT02100140T	CPCT02100141T	CPCT02330072TII	CPCT02330132T	CPCT02130030T	CPCT02060183T	CPCT02130033T	CPCT02300031T	CPCT02180054T	CPCT02090037T	CPCT02130041T	CPCT02060200T	WIDE01010009T	CPCT02330094T	CPCT02110061T	WIDE01010016T	CPCT02230070T	CPCT02340070T	CPCT02340073T	CPCT02050330T	CPCT02340077T	WIDE01010064T	CPCT02050314T	CPCT02220037T	WIDE01010073T	CPCT02210045T	CPCT02100163T	CPCT02130049T	CPCT02050343T	CPCT02020712T	CPCT02130070T	CPCT02130071T	DRUP01020027T	CPCT02050349T	CPCT02040242T	CPCT02300039T	CPCT02010815T	CPCT02010813T	WIDE01010355T	CPCT02330072T	CPCT02130091T	CPCT02230097T	CPCT02050357T	CPCT02010833T	CPCT02060213T	CPCT02130107T	CPCT02070342T	CPCT02050362T	CPCT02150012T	DRUP01210002T	CPCT02130105T	CPCT02100176T	CPCT02230106T	CPCT02060199T	DRUP01330005T	CPCT02120150T	CPCT02060248T	CPCT02060255T	DRUP01010088T	CPCT02440014T	CPCT02050384T	CPCT02030519T	CPCT02050380T	CPCT02130140T	CPCT02220056T	DRUP01210003T	DRUP01050030T	CPCT02210067T	CPCT02150021T	CPCT02080255T	CPCT02330124T	CPCT02100186T	CPCT02050403T	DRUP01330013T	DRUP01050033T	DRUP01440001T	CPCT02040156T	DRUP01340013T	CPCT02080141T	CPCT02010662T	CPCT02120069T	CPCT02100126T	CPCT02380021T	CPCT02020622T	CPCT02340034T	CPCT02210033T	CPCT02050163T	CPCT02030277T	CPCT02100064T	CPCT02010569T	CPCT02110032T	CPCT02340011T	CPCT02330033T	CPCT02040119T	CPCT02020536T	CPCT02340012T	CPCT02020527T	CPCT02020526T	CPCT02100098T	CPCT02230029T	CPCT02230030T	CPCT02230034T	CPCT02070034T	CPCT02030363T	CPCT02230039T	CPCT02080130T	CPCT02340019T	CPCT02050233T	CPCT02100044T	CPCT02050100T	CPCT02030243T	CPCT02050041T	CPCT02030310T	CPCT02220007T	CPCT02030307T	CPCT02030304T	CPCT02110018T	CPCT02100061T	CPCT02070120T	CPCT02120011T	CPCT02120012T	CPCT02050147T	CPCT02030335T	CPCT02040108T	CPCT02400002T	CPCT02340041T	CPCT02380030T	CPCT02040196T	CPCT02230068T	CPCT02100127T	CPCT02100133T	CPCT02090026T	CPCT02050287T	CPCT02050292T	DRUP01050016T	CPCT02250004T	WIDE01010644T	WIDE01010539T	WIDE01010590T	WIDE01010691T	WIDE01010704T	WIDE01010725T
4:Del:R:0	6	3	2	3	1	9	4	4	5	3	14	0	6	2	4	3	3	5	4	2	3	6	4	4	1	2	5	1	6	3	2	3	5	3	22	2	0	8	1	7	2	7	1	6	2	6	2	21	3	6	2	2	5	4	4	12	6	6	6	12	1	6	10	2	1	2	6	2	3	5	33	1	1	4	5	4	4	1	1	2	5	3	12	5	3	4	4	4	7	6	6	4	2	4	9	3	2	3	1	5	5	7	4	1	4	2	1	7	2	3	1	4	10	8	4	0	3	6	21	3	8	1	1	5	7	1	8	3	5	5	11	4	4	0	5	7	6	4	0	4	3	3	2	3	5	6	2	2	8
4:Del:R:1	9	15	10	10	4	2	11	10	11	21	25	2	17	7	8	13	17	13	15	17	12	5	7	9	8	0	7	7	15	14	16	6	21	10	31	7	9	3	2	12	2	12	7	11	11	15	13	18	2	15	9	6	23	11	11	24	19	4	12	15	3	36	24	12	8	13	15	5	17	25	134	12	17	10	5	27	26	12	13	2	24	6	16	15	33	9	8	12	21	7	15	13	11	6	20	7	26	5	8	7	6	20	9	5	9	10	14	19	10	9	6	11	25	21	26	7	4	6	28	11	7	7	4	6	12	9	13	7	7	29	18	11	41	11	24	6	14	12	7	16	15	26	9	5	16	24	12	11	16
4:Del:R:2	3	7	0	2	0	3	2	2	3	5	8	2	6	2	4	5	4	3	3	5	5	7	0	6	5	2	2	3	7	2	5	2	9	3	9	4	5	3	1	2	2	5	1	6	2	4	3	2	0	6	6	0	6	1	3	11	11	1	4	3	1	6	6	2	6	8	8	1	7	4	57	0	6	5	3	4	7	4	1	0	6	3	9	1	12	3	4	2	7	1	5	3	4	4	8	0	7	3	2	2	3	3	3	3	5	2	2	8	1	3	3	2	6	3	7	3	3	2	13	5	5	5	4	4	5	3	3	4	4	14	8	6	12	3	7	2	8	1	3	5	8	7	5	2	9	8	3	2	2
4:Del:R:3	1	3	3	1	1	1	3	4	1	2	5	1	2	5	1	0	3	2	0	6	0	2	0	7	3	0	2	1	5	1	2	0	5	1	7	5	3	1	0	2	1	2	2	3	0	2	1	5	0	1	2	0	4	2	0	2	5	0	3	0	2	3	5	1	0	3	3	3	4	5	62	1	5	2	1	4	1	0	2	1	2	1	4	1	4	0	1	2	2	2	5	1	3	1	2	0	4	1	1	2	1	1	3	0	1	1	2	2	0	4	1	3	5	1	4	2	0	0	1	0	0	3	0	2	1	1	2	6	2	3	4	2	6	2	5	3	3	3	2	2	0	4	1	0	7	2	3	2	2
4:Del:R:4	1	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	1	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	2	1	2	0	2	2	1	2	1	21	0	0	0	1	1	0	0	1	0	1	0	2	2	3	0	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	1	0	0	2	1	0	1	1	0	0	2	0	2	2	4	0	2	0	1	1	0	1	1	1	0	2	4	1	1	1	2	3	0	1	0	1	0	1	1	0	2	2	0	0	1	0	1	1
4:Del:R:5	0	1	0	0	1	0	0	0	0	2	1	1	1	0	1	1	3	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	2	0	0	1	0	1	0	0	0	0	0	0	0	2	1	0	0	2	1	2	0	0	0	3	2	0	0	0	1	0	0	0	0	0	2	0	0	0	46	0	2	0	1	1	0	0	1	0	0	1	2	0	2	0	0	0	2	0	1	1	3	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	2	2	0	0	0	0	0	1	3	0	0	0	0	1	1	1	1	1	5	0	1	2	1	1	1	0	0	0	0	0	1	1	1	1	0	2	1	0
5:Del:R:0	31	26	19	22	23	56	24	35	29	19	74	32	31	15	42	42	20	49	33	11	43	37	9	28	20	33	30	25	9	42	23	33	42	30	110	38	63	70	27	91	36	58	40	55	38	19	18	95	12	40	53	23	38	54	21	67	49	41	46	72	11	52	49	21	11	17	27	38	47	46	135	14	20	34	30	44	37	24	33	36	36	24	37	45	48	52	29	36	24	37	49	38	43	65	48	14	30	22	12	20	28	44	12	12	38	12	14	31	24	25	14	50	82	26	44	20	18	44	90	52	29	16	23	19	23	21	35	19	38	27	26	27	53	26	57	17	31	57	26	33	43	38	25	8	15	27	16	27	135
5:Del:R:1	6	9	9	9	3	1	6	8	9	13	13	5	12	7	5	9	15	9	10	6	7	9	3	4	18	0	6	4	20	7	6	9	15	5	23	8	11	7	2	10	1	15	3	17	3	17	7	15	3	6	12	7	18	8	10	18	14	4	13	9	3	15	10	7	6	2	10	4	14	17	48	2	4	6	7	34	14	8	3	2	12	4	13	7	12	4	5	11	18	4	26	10	11	9	11	3	19	4	5	1	7	13	3	7	9	7	6	11	9	12	3	27	10	8	10	8	3	2	16	10	7	13	7	5	5	6	12	20	17	16	9	3	22	3	17	1	9	2	3	13	8	15	2	2	14	24	7	8	22
5:Del:R:2	2	3	2	1	1	2	1	6	2	1	6	2	4	2	0	4	5	2	3	2	1	3	1	0	3	0	3	1	4	1	1	1	3	3	3	3	2	2	0	2	0	1	0	1	2	8	1	5	2	4	6	0	5	1	4	5	3	0	0	1	0	0	0	2	0	2	5	1	4	5	21	1	2	1	3	3	2	1	1	1	1	2	5	1	3	2	1	5	2	1	8	1	3	3	3	1	4	1	3	0	3	2	0	0	0	2	1	3	2	2	1	5	6	1	2	1	1	3	7	3	0	2	1	0	4	1	5	1	4	4	0	1	3	2	6	0	0	2	2	4	2	2	0	3	3	4	3	2	3
5:Del:R:3	0	0	1	0	0	1	0	1	0	1	6	0	2	0	0	4	2	1	1	1	0	0	0	0	2	0	1	1	0	0	0	1	1	3	2	1	1	2	0	0	0	0	0	1	1	1	0	1	0	4	0	0	1	1	0	4	2	0	1	0	0	1	1	1	0	0	3	0	5	4	9	0	0	0	0	0	0	1	1	0	0	1	3	2	1	0	0	1	0	1	4	1	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	0	4	1	0	1	1	1	1	0	1	0	3	1	0	1	3	0	2	2	1	0	0	2	1	0	1	3	0	0	1	0	1	0	0	1	0	0	0	1
5:Del:R:4	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0	0	0
5:Del:R:5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
2:Ins:R:0	11	22	14	14	10	7	13	28	23	45	23	19	23	13	11	21	20	14	27	10	15	15	8	17	9	4	13	10	55	16	11	9	18	12	33	17	24	12	5	16	23	9	18	19	9	19	10	18	9	12	18	9	13	4	23	24	12	5	19	16	6	24	10	7	11	7	26	24	31	20	104	14	18	16	7	29	23	20	18	9	20	10	30	21	21	17	22	14	29	20	42	10	22	19	32	10	28	8	11	31	13	21	12	6	17	13	9	11	20	13	3	35	23	22	23	8	9	8	42	10	8	15	11	13	14	11	25	28	27	19	11	14	33	10	28	8	17	8	9	11	23	15	31	8	36	43	8	15	20
2:Ins:R:1	7	7	9	7	2	3	10	11	7	9	1	6	13	5	4	6	6	7	6	7	8	11	6	11	4	0	4	5	17	5	6	8	10	8	14	8	8	7	6	9	11	6	7	12	5	12	3	16	2	6	6	1	5	1	6	13	9	4	11	17	1	15	6	8	5	5	6	4	10	11	29	1	6	7	4	6	11	5	10	4	11	4	8	9	11	4	7	11	9	23	18	8	5	9	7	3	11	4	5	5	4	8	8	1	3	0	8	3	7	9	5	10	8	14	9	4	11	16	17	9	3	5	2	2	8	7	13	7	5	15	12	6	14	0	9	4	5	7	5	4	5	14	7	4	4	6	2	0	3
2:Ins:R:2	2	5	3	3	1	3	3	7	3	3	11	1	9	2	1	3	3	10	2	4	1	6	0	6	1	2	2	4	4	2	1	4	6	1	8	6	7	5	1	6	4	3	2	5	2	5	1	1	1	2	5	1	9	1	8	6	7	3	4	3	2	5	6	6	5	7	4	3	5	8	23	1	5	4	4	3	8	2	2	2	4	3	4	1	3	3	3	3	6	6	8	7	5	2	3	4	4	0	2	1	6	4	5	2	3	4	1	5	4	5	2	3	1	4	4	2	4	5	14	2	0	3	3	2	3	1	5	9	10	5	4	4	4	2	8	7	1	3	6	6	2	4	2	1	10	4	5	1	4
2:Ins:R:3	1	3	1	4	0	1	7	1	5	2	2	1	8	2	3	4	3	1	4	2	5	3	3	5	3	1	0	2	3	0	1	0	3	1	5	1	3	3	1	4	6	1	2	3	2	2	2	1	0	2	2	1	1	1	5	2	3	0	3	5	1	3	1	0	1	1	3	1	3	6	41	1	2	1	1	4	2	1	0	0	2	0	3	6	3	4	2	1	3	5	12	1	2	0	1	3	6	0	2	3	0	2	0	0	4	0	2	2	4	3	0	3	2	3	4	4	1	4	10	3	0	3	2	1	0	3	5	3	5	2	2	4	7	2	3	2	4	4	2	1	3	4	6	1	4	2	4	2	3
2:Ins:R:4	4	9	8	3	3	2	8	4	14	14	9	6	10	7	10	11	6	7	6	9	2	8	1	17	10	1	4	5	15	1	5	7	13	7	14	5	4	8	1	3	1	4	7	6	2	4	6	2	0	4	5	2	3	3	9	12	12	2	5	7	2	8	12	1	3	8	9	5	14	12	150	6	11	2	2	12	8	6	3	0	7	3	10	13	9	7	8	9	7	14	23	2	10	7	12	8	11	4	1	4	1	3	7	1	6	12	2	5	6	3	2	9	8	6	3	6	5	2	17	5	5	5	5	7	0	6	5	11	17	9	6	5	14	2	17	7	8	4	8	5	6	4	8	2	14	17	3	9	2
2:Ins:R:5	9	59	69	18	18	14	41	32	58	75	61	26	79	39	46	76	42	40	23	44	15	37	22	79	36	4	24	29	111	10	44	31	51	27	88	15	27	49	27	23	2	34	30	57	26	29	42	17	5	15	57	18	29	18	54	99	56	2	23	32	1	70	37	26	31	28	55	28	89	105	856	32	65	15	26	46	34	31	41	13	56	24	58	52	58	36	31	58	75	52	113	21	78	29	43	29	85	17	30	18	11	18	38	12	66	32	34	67	36	39	14	67	54	73	21	53	26	3	82	38	31	44	23	31	9	67	49	95	90	52	51	39	81	11	69	32	46	15	35	42	43	21	50	24	132	84	27	33	30
3:Ins:R:0	4	6	19	6	8	4	6	20	5	12	9	14	11	9	8	14	7	8	7	2	4	3	4	8	2	3	3	6	13	6	11	8	5	8	13	5	14	6	0	5	2	7	7	9	4	7	4	12	1	8	3	4	5	0	8	11	5	0	12	12	4	14	6	6	9	1	15	4	21	6	32	2	7	2	2	7	7	2	7	7	10	4	17	8	13	10	10	4	14	16	12	6	5	9	6	6	12	4	8	13	6	5	7	1	10	3	9	4	7	7	0	11	10	6	10	2	5	5	8	8	5	9	2	3	11	4	15	11	16	9	6	9	17	4	15	9	6	1	3	3	10	14	13	3	9	13	3	4	16
3:Ins:R:1	3	2	5	3	2	2	5	13	6	7	4	4	6	5	5	9	7	8	5	9	2	0	4	10	3	1	3	3	6	0	4	10	7	6	12	7	7	1	2	6	3	3	4	6	2	4	3	7	1	5	10	0	4	4	11	5	7	2	5	6	2	9	4	2	2	3	13	4	3	6	11	4	9	1	8	4	7	9	4	0	6	4	12	2	7	3	3	5	10	5	14	5	7	6	3	3	3	0	5	6	8	3	5	4	2	4	2	2	6	6	2	6	2	8	2	6	7	5	12	3	3	9	0	4	3	3	9	6	6	7	4	10	8	2	13	4	11	9	4	4	5	5	10	2	10	8	3	11	5
3:Ins:R:2	0	0	0	0	0	0	0	3	3	2	0	1	2	2	0	1	2	1	2	0	1	0	1	4	0	0	0	0	2	0	1	1	1	0	5	2	3	2	2	5	0	0	0	3	0	0	2	0	0	3	2	0	1	1	3	2	1	0	1	1	1	1	1	0	1	1	4	0	2	1	10	2	2	0	0	1	0	1	0	0	0	0	4	2	1	2	1	1	1	2	2	1	3	1	4	0	1	1	2	1	0	3	1	1	1	0	0	1	0	3	0	3	0	4	1	0	0	0	1	0	2	0	0	0	3	0	2	0	0	2	0	3	2	0	0	2	1	0	2	2	3	2	0	1	2	4	0	2	4
3:Ins:R:3	0	0	0	0	0	0	2	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	2	0	1	0	0	1	2	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	5	0	2	0	1	0	1	0	2	0	0	0	1	1	2	0	0	0	2	1	2	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0
3:Ins:R:4	0	1	3	0	0	0	0	0	1	1	1	0	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	2	0	0	0	1	0	0	1	1	0	2	17	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	2	0	1	3	0	0	0	0	1	3	0	2	1	1	0	1	0	1	0	0	1	0	0	1	1	0	1	3	0	0	1
3:Ins:R:5	1	1	7	1	2	0	6	3	2	6	0	5	9	6	1	4	3	3	2	6	3	2	0	9	2	0	0	3	14	2	2	1	10	3	8	4	1	5	1	1	0	4	4	3	2	4	5	1	0	3	7	3	5	1	3	5	9	0	2	3	0	7	0	1	1	3	8	3	5	4	75	1	3	1	3	8	3	6	6	0	2	0	8	7	6	7	2	0	4	4	8	1	3	4	4	1	14	1	0	4	2	3	3	0	5	1	2	12	3	6	0	6	5	2	2	1	2	0	10	1	1	3	3	2	1	4	4	4	8	2	1	3	9	3	6	1	5	3	3	2	2	2	5	2	7	11	1	0	2
4:Ins:R:0	7	13	25	7	5	2	13	18	17	12	11	20	18	16	8	17	23	20	12	8	10	22	5	18	17	3	6	4	22	3	10	10	16	11	31	5	19	19	5	14	12	13	10	13	6	10	5	19	5	9	5	7	10	4	11	23	20	7	8	15	1	22	5	16	6	8	23	12	20	18	68	11	16	8	4	19	12	13	9	3	19	11	30	12	16	9	20	12	32	14	24	15	16	11	11	7	24	5	6	13	9	10	3	6	10	12	8	19	8	11	4	17	19	10	18	12	15	6	36	5	5	12	3	11	14	24	18	16	19	12	12	2	27	5	28	12	21	4	9	10	22	23	22	5	28	51	8	5	13
4:Ins:R:1	0	10	12	7	1	1	5	17	6	15	7	8	13	3	6	7	7	8	4	3	7	9	3	10	6	2	8	2	9	3	4	7	10	4	11	10	7	3	2	10	4	12	5	8	1	4	10	8	3	5	13	6	5	3	6	10	10	4	6	25	2	7	2	4	7	5	12	3	3	10	6	3	10	3	4	6	2	8	8	2	5	8	10	5	8	4	9	9	20	8	8	14	10	10	7	4	11	3	3	7	7	6	4	4	2	4	2	7	4	4	1	9	8	5	5	5	6	3	13	6	7	6	0	3	6	9	5	9	11	10	7	11	11	2	13	1	6	8	5	7	9	5	9	0	4	11	6	1	2
4:Ins:R:2	2	1	2	0	0	0	1	3	0	0	3	1	2	0	1	1	3	2	2	0	1	1	0	0	1	0	0	1	2	0	1	1	1	1	0	1	2	1	1	1	0	0	0	2	1	0	0	0	0	1	0	1	2	0	0	2	1	0	0	0	1	0	0	2	0	1	3	0	4	2	7	0	0	0	0	1	0	1	0	0	0	0	3	0	4	2	2	1	4	2	3	0	0	1	1	0	2	0	0	0	0	1	2	0	0	1	1	3	1	1	0	0	2	1	2	1	1	0	5	1	1	2	1	0	0	0	4	1	1	2	1	2	4	1	3	2	1	0	0	1	1	2	5	0	1	2	0	0	3
4:Ins:R:3	0	1	1	1	0	1	0	1	2	2	1	1	1	0	3	4	0	0	1	0	1	1	1	2	0	0	1	0	1	0	2	0	2	1	1	0	0	2	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	0	1	2	0	0	1	0	1	1	0	1	1	2	2	3	0	14	1	2	0	0	3	0	0	1	0	1	1	1	0	0	0	2	0	1	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	2	0	1	1	0	2	1	0	0	0	1	0	3	2	0	1	1	0	0	2	0	2	1	0	1	2	0	1	5	0	2	0	1	0	2	0	1	0	5	2	0	0	0
4:Ins:R:4	1	1	3	1	1	0	3	2	1	1	1	4	3	1	2	5	1	1	2	1	0	2	0	4	1	0	0	0	2	2	0	2	1	1	3	2	1	6	0	0	0	2	3	1	1	0	2	1	2	0	0	0	0	0	1	4	1	0	1	0	0	0	2	0	3	3	2	0	3	6	12	0	0	2	0	3	2	2	5	0	0	0	2	1	3	1	0	3	3	2	4	1	2	2	0	0	6	2	2	1	1	0	3	0	2	0	1	0	1	0	0	2	3	1	1	3	1	0	3	0	1	4	0	0	1	3	5	2	1	1	1	0	5	1	1	0	3	1	0	4	2	2	3	0	3	5	2	1	1
4:Ins:R:5	1	4	5	1	0	1	6	2	2	4	6	6	7	2	3	5	3	6	1	4	1	2	1	8	4	0	2	2	4	1	5	4	4	2	6	1	4	3	0	0	1	1	4	1	0	5	3	1	0	0	0	3	5	1	3	7	4	1	4	2	1	7	0	2	1	3	2	2	6	2	22	2	3	2	2	8	2	0	1	4	1	2	2	2	2	6	1	0	9	2	14	0	7	2	4	0	7	0	3	2	4	0	4	1	5	1	1	4	0	4	0	6	4	5	1	2	1	0	5	6	1	5	2	0	2	5	1	4	5	1	4	2	5	1	11	1	5	2	1	2	4	3	5	2	7	10	2	1	1
5:Ins:R:0	42	43	56	54	31	11	53	61	60	46	51	64	49	54	59	108	58	85	74	34	55	80	11	54	43	46	53	34	59	57	41	28	87	72	149	44	79	96	59	102	60	33	56	91	60	42	42	66	23	47	45	45	43	87	58	85	86	63	52	39	15	75	28	60	26	36	51	81	122	78	262	50	52	44	56	100	51	61	34	65	48	60	90	87	67	76	73	36	89	66	121	53	118	116	57	19	67	18	41	48	38	36	34	14	48	25	30	37	40	56	17	74	134	50	78	32	37	15	101	28	21	23	27	27	48	39	61	49	68	40	19	48	94	46	108	26	68	108	53	61	104	70	40	19	67	71	33	25	68
5:Ins:R:1	11	24	17	20	11	11	19	19	23	27	23	19	28	17	25	25	20	23	12	10	9	19	22	24	12	5	12	17	36	6	20	8	33	18	25	15	34	18	9	30	9	19	20	25	13	20	17	55	7	14	23	14	15	9	28	33	30	12	28	24	4	30	31	9	8	20	21	17	21	20	42	13	31	6	25	15	31	22	19	14	24	12	27	14	31	27	16	13	36	19	65	26	39	29	29	10	29	5	8	13	21	27	13	12	14	13	15	16	19	20	10	32	31	22	14	22	17	8	59	13	15	26	9	21	9	21	21	21	30	19	20	30	39	10	40	15	19	13	30	12	13	20	11	9	35	49	20	29	30
5:Ins:R:2	2	1	0	0	1	0	2	4	1	3	2	1	1	2	1	1	1	3	2	1	0	1	1	2	3	0	1	0	4	1	4	0	4	2	3	0	0	0	0	3	1	2	2	3	1	1	1	1	0	1	2	0	2	0	0	2	3	0	1	3	1	2	1	1	0	0	5	0	1	2	7	2	0	1	1	5	1	1	0	0	1	1	3	1	0	2	0	1	2	2	4	4	0	0	5	0	2	0	0	3	0	0	1	1	1	0	2	4	2	2	0	3	3	1	1	3	2	0	2	0	0	0	2	1	0	0	1	4	4	0	1	2	2	0	3	1	2	1	0	2	0	1	2	0	2	2	0	1	4
5:Ins:R:3	1	1	0	1	3	0	2	0	1	1	1	2	1	0	0	3	0	1	0	1	0	1	0	2	3	0	0	2	2	0	3	0	0	1	0	2	0	0	0	0	2	0	0	3	1	3	0	0	1	0	1	0	0	0	1	2	0	2	2	0	0	2	2	0	0	1	2	0	1	1	5	0	2	0	0	0	1	0	0	0	1	0	1	0	3	0	2	1	2	2	2	0	2	1	2	0	2	0	1	1	2	0	0	0	0	0	0	1	1	0	1	0	0	2	1	0	2	0	4	1	0	0	1	1	0	0	1	1	2	1	0	1	4	0	2	1	0	0	1	0	2	1	0	1	2	3	0	1	0
5:Ins:R:4	0	0	0	1	0	0	0	1	0	0	0	1	2	1	1	2	0	0	0	1	0	0	1	1	0	0	1	1	1	0	1	0	0	1	2	0	3	2	0	0	0	0	1	0	0	0	0	2	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	2	0	0	3	1	1	0	1	0	1	0	0	0	0	0	3	0	1	0	1	1	0	0	2	1	1	1	1	0	3	0	0	0	0	0	0	0	1	0	1	1	1	0	0	2	0	2	1	0	0	0	1	2	0	1	0	0	1	0	2	1	1	0	1	0	1	2	3	0	1	0	0	1	0	2	0	0	2	0	0	1	0
5:Ins:R:5	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	3	1	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	3	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	0	0	1	1	1	2	1	0	0	0
2:Del:M:1	15	22	11	17	15	15	21	22	26	31	31	10	35	9	16	18	19	19	13	14	21	18	2	24	14	11	18	8	51	9	21	18	21	11	40	13	19	19	7	27	29	14	13	22	11	21	16	25	11	20	21	9	17	10	10	40	17	5	23	26	3	32	24	8	13	20	30	11	21	39	303	24	17	13	15	25	29	16	24	9	27	18	37	11	30	22	17	25	24	19	34	30	13	16	43	9	47	16	14	10	14	24	14	8	32	15	15	29	13	19	7	24	21	17	20	12	15	20	44	31	14	17	16	14	14	17	32	24	22	49	20	16	41	19	29	13	27	11	18	22	16	35	19	15	33	27	7	14	17
3:Del:M:1	3	3	2	4	2	3	6	1	3	3	14	1	2	4	3	3	3	4	2	2	7	7	2	4	0	0	2	5	5	2	2	4	4	5	11	3	6	5	3	13	2	5	2	1	5	5	2	8	3	4	7	0	1	2	4	15	5	1	6	9	3	7	10	2	0	7	2	7	2	9	38	4	2	4	0	2	2	1	7	4	6	2	3	4	4	3	1	6	5	4	9	3	4	3	13	3	7	5	2	1	6	2	4	0	5	4	1	6	3	5	1	8	4	7	8	2	2	13	17	9	5	2	5	1	6	6	4	0	3	3	11	6	6	4	4	4	2	2	2	3	3	11	1	5	2	5	2	2	10
3:Del:M:2	9	15	13	5	5	9	10	12	12	19	12	6	17	9	6	13	9	8	7	12	12	11	9	20	5	4	4	7	15	3	13	9	19	11	34	13	7	5	5	12	4	12	7	13	6	16	12	18	3	11	12	2	10	5	9	28	18	0	9	12	7	12	13	5	6	13	11	7	10	21	166	6	8	5	11	12	7	12	8	3	10	2	12	12	13	6	7	18	13	5	27	16	11	8	19	3	19	2	6	5	7	15	3	4	16	12	7	17	8	9	3	16	21	14	19	13	8	5	33	5	10	9	6	7	8	9	20	8	13	23	16	11	14	8	30	9	14	6	9	10	6	18	10	6	12	16	6	5	7
4:Del:M:1	5	6	1	1	1	10	2	4	5	4	13	2	11	5	1	3	6	5	4	4	5	10	0	6	6	0	2	2	7	3	4	2	3	1	14	3	3	7	4	11	1	8	2	4	4	3	3	13	3	6	5	2	6	5	2	16	3	2	8	11	0	8	6	2	1	3	5	5	8	8	62	2	1	3	4	7	6	2	3	3	4	2	6	8	6	4	2	7	6	4	8	7	2	8	11	2	7	7	5	1	4	7	5	4	8	0	1	6	2	5	2	9	10	7	4	3	0	1	18	12	2	2	5	2	2	5	8	6	8	6	8	5	6	5	9	2	5	1	4	2	4	7	3	5	4	7	7	4	11
4:Del:M:2	5	5	4	3	5	8	5	6	9	7	8	0	12	6	4	7	3	4	2	4	4	7	4	9	7	3	5	5	6	2	13	7	6	4	19	5	11	7	3	11	5	8	4	7	3	7	4	12	1	11	8	7	6	3	4	20	5	5	7	9	3	13	9	3	4	5	5	5	5	9	57	9	2	5	2	6	9	3	6	4	11	3	4	4	4	2	4	6	8	8	24	5	4	5	9	2	14	10	6	2	11	8	4	3	12	8	8	11	2	2	4	8	14	5	5	2	3	9	15	5	5	11	3	4	5	5	7	3	8	21	6	4	7	3	12	3	10	6	4	12	6	10	6	4	8	12	2	3	15
