hdp.1	hdp.2	hdp.3	hdp.4	hdp.5	hdp.6	hdp.7	hdp.8	hdp.9	hdp.10	hdp.11	hdp.12	hdp.13	hdp.14	hdp.15	hdp.16	hdp.17	hdp.18	hdp.19	hdp.20	hdp.21	hdp.22	hdp.23	hdp.24	hdp.25	hdp.26	hdp.27	hdp.28	hdp.29	hdp.30	hdp.31	hdp.32	hdp.33	hdp.34	hdp.35	hdp.36	hdp.37	hdp.38	hdp.39	hdp.40	hdp.41	hdp.42	hdp.43	hdp.44	hdp.45	hdp.46
0.00202985535259115	0.00152074334395528	0.00724286725888925	0.00983138306727774	0.000784038695590416	0.0218383255332941	0.00314325692420335	0.0037863021691421	0.00345827888432369	0.00857036046487635	0.00156372068721801	0.00444420733859539	0.0321860751589622	0.00120333497800896	0.00793237588826503	0.00616054977929733	0.0203423412565349	0.00362844628319841	0.00990119909959456	0.00221510515864156	0.00188432391750307	0.00634979237782084	0.00267041956316048	0.00097837628285761	0.00105171687490847	0.00622068408960616	0.000579825866192273	0.000823945300584783	0.00135967591336768	0.0156637933331454	0.00262021240432912	0.00226190917826872	0.000291854530549813	0.000235422964901552	0.00252568396402342	0.000290178074562341	0.00824419645807756	0.000483958436535843	0.00521949667594543	0.000334222205007893	0.00225426268800963	0.00229473379238576	0.000164196686392883	0.00169660923764054	0.0064828901940405	0.00176377616337649
5.73880912324404e-05	0.000112512180724994	0.00198082218451938	0.00188520430861593	0.000138149896513448	0.00219760048700528	0.000463575719074252	0.000210234179176267	0.00101565385287239	0.0012183689488634	0.000623264730259216	0.000504256396411418	0.00260607506349705	1.78004371126196e-05	0.00186755895913197	0.00308239663728134	0.00115754577317131	0.00054267458615076	0.000895187786475005	0.000880014215628419	0.00035837956083402	0.000734866627539498	0.000153051223010795	0.000122328213146085	0.00100625345600507	0.00229581093880568	6.76256188077411e-05	7.91754309110899e-05	0.00034410483074383	0.00108885214321666	3.15506099714532e-05	0.00220233982639269	4.49325527699961e-05	1.32739211878468e-05	0.00119187902760143	1.49736017122916e-05	0.000973733761654197	0.000107980665305467	0.000178877771913646	0.000136232109211815	0.00184841239607312	3.34679215547547e-05	6.88249583682743e-06	0.000366528053565997	0.00073615395734661	0.000270529854603213
0.000733961390054194	0.000804897148865338	0.00394211175145556	0.00715629076627993	0.000997143543821701	0.0339134641164569	0.00302085663373454	0.00456985301183757	0.0098330207085896	0.00775277729616739	0.00212940595368036	0.00292591183814334	0.00720126260544259	0.00152023361700534	0.00706725383867062	0.00120643856301456	0.0153515130196947	0.00323509031954786	0.0094095386761965	0.00112158394676385	0.00018581255881156	0.0045539754651325	0.0016663467670683	0.000142976543236084	0.00325952483913057	0.00223319712969681	0.000682419876667163	2.50473928635976e-05	0.00201186802344808	0.0127160151081452	0.00186426677243939	0.00133299763586881	5.9892815155398e-05	0.000228407731942171	0.00161235795259932	7.17126518787912e-05	0.00573081653259206	7.95627192790584e-05	0.00258062201208359	8.31319173804304e-05	0.000856169206072042	0.00162464596819727	0.000114151109522238	0.00216516056384862	0.00448473381000247	0.00302897885772075
0.000201767447202827	0.000570037686010525	0.00293709770837197	0.00355753553269374	0.000562005176805758	0.00487692494191853	0.00190454111031604	0.00100081676193203	0.00192119813187451	0.00580094163113052	0.00132352615705506	0.00208609113224894	0.0270019252863645	0.00321124971350832	0.00161733352909957	0.0249164052864521	0.00986008822042594	0.00059253010207083	0.00566321663759884	0.000743324064143705	0.000805074544963009	0.00131574567455491	0.00053691653000478	0.000273654647903417	0.000750050587369804	0.00256497706024814	0.000337198204602017	0.000150566983495524	0.00106620708285309	0.00418833140013591	0.000485776163579723	0.00189670950575579	0.000132985861827327	6.95333384503268e-05	0.00226820905311647	8.00313194967309e-05	0.00382032204181787	0.000298385295946084	0.000835079047309362	0.000241250589972465	0.00113750735585126	0.000311219408841626	3.72637988879657e-05	0.00191577034183464	0.00296417173966507	0.000993478447446995
1.26596000794587e-05	1.33861919028282e-05	0.000613732084617295	0.0003401468074023	0.000247932096657525	0.000578889838809054	0.000440302331231354	0.000110143248017118	9.91510080330654e-05	0.000609972465309714	0.000365359408582634	0.000152229140118959	0.00437751720861278	0.000110057559747739	0.000400780515359325	0.00576724712927935	0.000425158563894127	0.000347204300857153	0.000691903273166142	0.000145866366518029	2.00498613819105e-05	0.000496964812207701	5.9274286022635e-05	1.03989917383196e-05	0.000316455207645648	0.000505374884862556	2.91266215277281e-05	2.50575907202861e-07	0.000239672084594112	0.000168790818952997	6.30745486619384e-06	0.000349318696723014	1.84803241231436e-05	8.94098318352372e-06	0.000216196954752451	5.10594081376993e-06	0.000477502520479323	1.24238315593482e-06	0.00020477820368908	1.21607840772332e-05	7.64860301823362e-05	2.06263950738754e-05	4.12949750209646e-06	0.00045343676729814	0.000300605910111778	0.000219768182105922
0.000255306134229756	0.000397440821748375	0.00250656446528537	0.00367937457779267	0.000330777361028005	0.0116759883044456	0.000797090379310707	0.00196712267117877	0.00189522065508909	0.00670409477222256	0.00130173024866675	0.00197955157074029	0.0113736382383679	0.000429829697878012	0.00182813696608997	0.00947474101332719	0.0119967721077139	0.00130346705445182	0.00759680601699476	0.00111448423598544	0.000935937366856389	0.00227458095574092	0.000939579502267631	0.000144219817525093	0.00189636757397774	0.000610064484208125	0.000141277585996805	6.60617156280286e-05	0.00107960821745614	0.00622917069684697	0.000486149864596014	0.00156521767513688	0.000176106618114662	9.82132614313221e-05	0.00202481548753599	0.0001380898824578	0.00306049866809854	9.6215673298508e-05	0.000735053010068583	0.000153576178305574	0.000629972147819629	0.000436752168252471	5.20120042525959e-05	0.000317405737108698	0.00236432650255416	0.000550785475029437
0.0002290262588845	0.000277582896526999	0.00144832354036604	0.00160502450335728	0.000176744210812106	0.00406654396045694	0.000739879390662219	0.00151607122700713	0.000453710821435322	0.00401251478757587	0.000607544786842738	0.00079752861802163	0.0145699458676048	0.000709754286071893	0.000497413900338031	0.0160831782743018	0.00415301549109103	0.000376158966070527	0.00459811886213214	0.000278776451498805	0.00040590429067502	0.00165610082669401	0.00025771027088887	0.000298566180879494	0.0018312068892731	0.000654751696903175	0.000321541420841107	0.000180590930423104	0.00217804209252598	0.00141442492179839	0.000344533242807126	0.000618196798684026	0.000154054466639987	2.23524579588093e-05	0.000908700538323099	7.26305738228397e-05	0.00242634780086259	0.0002904666719926	0.000886164772888037	0.000404467108817017	0.0009439206205448	0.000161504463026591	1.51414908410203e-05	0.000668819231764757	0.00183906068492404	0.00109295426279463
3.37822030276002e-05	3.06029734024498e-05	0.000395367321215813	0.00051086395909519	8.04908482002188e-05	0.000396612328171288	9.27627755352793e-05	0.000216584509655947	0.000623852379473567	0.000587395983015238	0.000334772742362745	9.2068919690581e-05	0.0021857468730188	1.3248611050964e-05	9.93215329624434e-05	0.00259976821709332	0.000372598988699964	0.00030234109812709	0.00102712209062385	0.000232817104553223	0.000151919860891438	0.000233695722924593	7.28778128256001e-05	5.60509491961748e-05	0.000661817483750954	0.000205785260852404	6.15765261880799e-05	1.76692435494761e-05	0.000456428762926742	0.000243371102985124	1.3211982726785e-05	0.00103555888574805	1.96709332403209e-05	1.29300372192497e-05	0.000292722186942418	4.5322395987396e-06	0.000448127335559314	4.0935897521812e-05	0.00019902600695624	0.000150471903213259	0.000752112630126306	1.68391617043097e-05	4.91606845487674e-06	6.0458235639752e-05	0.000326602770254655	0.000360791786539574
0.000189361191686465	0.000217547216078592	0.00142516585539513	0.00174912915556325	0.000467870788747105	0.00356389051661831	0.000419423760443354	0.000937164970868408	0.000471218330999945	0.00297412249744984	0.000705587591834979	0.000786508841417937	0.00623724931634437	0.000586804124015442	0.000554082232076003	0.00683848614066263	0.00298165840774254	0.00041696145355725	0.00533540865292057	0.000328129110275572	0.000133802375168415	0.00119040873444992	0.000166198219859678	0.000144522961564697	0.00131501075923218	0.000345423104648971	0.000235629434409158	8.50413837619755e-05	0.0012787672305889	0.00289250813341839	0.00024232859105501	0.000925459156358627	0.000130967002889505	1.76068591921698e-05	0.00157427098738159	6.70656720370455e-05	0.00190582064734694	0.000109605802868028	0.000450816759078039	0.000301798194066605	0.000790652102698801	0.000154757576912661	1.09136719698264e-05	0.00116004239633774	0.0014149326112972	0.000905178731422294
0.000351307311723507	0.000396309031891196	0.00121339908802575	0.00108835760581949	9.71709812218347e-05	0.00292447724336166	0.000459222709068389	0.000677776752228108	0.00169975651463818	0.00191986738441996	0.000134110767271822	0.00103308763368029	0.0064210717514912	0.000664236025455337	0.000507406207994751	0.0104472340067866	0.00197376787458806	0.000448970107200629	0.00284105337147514	0.00039994116540583	0.000216718857986129	0.00258616243733566	0.000474828456249591	0.000466930078115845	0.00366600187507323	0.000733240886105455	0.00039815188857098	0.000452541545245036	0.000580210398240396	0.00111985780443699	0.000408581293224397	0.000597513867763948	0.000118180896283296	6.44438557150902e-05	0.00115060107144693	6.37955751113726e-05	0.00158474006513677	0.000719145332751747	0.000766161511858884	0.00111886333407546	0.00131182435487146	0.00048405050500127	3.6968834780673e-05	0.000205935865147905	0.00120461652962787	0.00135384366531012
