Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N
CPCT02220050T	1.47E+00	1.51E+00	2.75E+00	3.85E+00	1.83E+00	5.28E+00	2.35E+00	1.81E+00	1.20E+00	1.11E+00	2.28E+00	1.07E+00	4.32E+00	1.46E+00
CPCT02050370T	7.30E+00	1.47E+00	2.28E+00	3.08E+00	4.01E+00	4.81E+00	2.68E+00	2.29E+00	2.00E+00	1.93E+00	2.57E+00	9.08E-01	8.03E+00	8.37E-01
CPCT02050373T	2.32E-01	6.60E-02	1.10E+00	9.63E-01	1.10E+00	9.52E-01	7.35E-01	9.92E-01	4.59E-01	6.13E-01	1.21E+00	2.38E-01	8.64E-01	6.19E-01
CPCT02080234T	9.00E+00	1.66E+00	3.68E+00	8.54E+00	5.59E+00	1.35E+01	6.73E+00	4.12E+00	3.84E+00	1.66E+00	4.98E+00	1.33E+00	1.44E+01	1.08E+00
CPCT02030499T	1.67E+00	8.88E-01	8.56E-01	1.57E+00	9.55E-01	1.77E+00	1.36E+00	1.19E+00	8.81E-01	1.40E+00	9.36E-01	5.89E-01	1.76E+00	8.96E-01
CPCT02020770T	2.80E+00	9.21E-01	1.67E+00	1.94E+00	2.88E+00	3.42E+00	1.70E+00	2.07E+00	1.43E+00	4.73E-01	1.45E+00	7.96E-01	3.44E+00	9.68E-01
CPCT02050376T	8.23E-01	4.27E-01	4.01E+00	4.35E-01	1.93E+00	1.67E+00	7.36E-01	1.39E+00	8.59E-01	2.59E-01	4.23E+00	6.40E-01	1.50E+00	5.80E-01
CPCT02080239T	1.40E+00	4.22E-01	1.08E+00	9.78E-01	1.47E+00	1.52E+00	7.84E-01	9.95E-01	6.74E-01	4.89E-01	1.47E+00	4.69E-01	1.17E+00	4.54E-01
CPCT02050301T	1.66E+00	5.38E-01	8.55E-01	1.61E+00	1.65E+00	2.18E+00	8.91E-01	1.35E+00	1.05E+00	1.07E+00	9.59E-01	4.86E-01	2.25E+00	6.02E-01
CPCT02080242T	2.68E+00	1.03E+00	1.74E+00	1.97E+00	3.05E+00	2.58E+00	1.47E+00	1.84E+00	1.52E+00	1.46E+00	1.94E+00	4.76E-01	3.58E+00	6.47E-01
CPCT02020789T	3.95E+00	1.52E+00	1.86E+00	2.32E+00	3.32E+00	3.50E+00	2.16E+00	1.90E+00	1.39E+00	1.57E+00	1.63E+00	5.79E+00	6.49E+00	2.60E+00
CPCT02020796T	2.14E+00	1.15E+00	3.96E+00	1.91E-01	3.46E+00	9.62E+00	3.63E+00	2.04E+00	2.84E+00	9.79E-01	7.36E+00	7.03E-01	9.13E+00	9.03E-01
CPCT02220057T	3.76E+00	1.05E+00	1.89E+00	2.47E+00	3.41E+00	4.00E+00	1.85E+00	2.40E+00	2.09E+00	1.82E+00	2.50E+00	6.21E-01	4.97E+00	3.29E-01
CPCT02340098T	2.31E+00	9.54E-01	1.17E+00	1.94E+00	1.71E+00	2.74E+00	1.72E+00	1.74E+00	1.17E+00	1.06E+00	1.27E+00	1.74E-01	2.64E+00	7.58E-01
CPCT02340097T	2.23E+00	1.04E+00	2.04E+00	1.92E+00	1.66E+00	1.94E+00	1.42E+00	1.16E+00	7.87E-01	1.38E+00	2.07E+00	4.19E-01	2.18E+00	6.58E-01
CPCT02170038T	1.93E+00	7.76E-01	1.83E+00	1.42E+00	1.54E+00	1.55E+00	1.07E+00	1.49E+00	9.85E-01	1.04E+00	1.85E+00	4.83E-01	1.92E+00	5.98E-01
CPCT02010920T	3.82E-01	2.88E-01	1.18E-01	1.16E+00	1.21E+00	1.62E+00	1.26E+00	1.08E+00	4.93E-01	2.75E-01	8.55E-01	4.32E-01	1.39E+00	6.05E-01
CPCT02050399T	2.68E-01	6.65E-01	1.75E+00	1.62E+00	1.08E+00	1.76E+00	1.02E+00	1.45E+00	7.21E-01	6.85E-01	2.15E+00	4.94E-01	1.60E+00	7.38E-01
CPCT02050404T	4.87E-01	6.35E-01	1.63E+00	1.09E+00	1.09E+00	1.58E+00	6.74E-01	9.31E-01	5.41E-01	4.43E-01	1.86E+00	5.21E-01	1.32E+00	5.32E-01
CPCT02050402T	1.16E+00	8.56E-01	8.51E-01	1.82E+00	1.59E+00	1.18E+00	7.41E-01	1.78E+00	6.56E-01	9.86E-01	7.81E-01	4.32E-01	1.31E+00	6.09E-01
CPCT02060256T	1.62E+00	7.35E-01	1.43E+00	1.72E+00	1.89E+00	2.48E+00	1.25E+00	1.40E+00	1.06E+00	1.41E+00	1.45E+00	5.08E-01	2.20E+00	7.96E-01
CPCT02080259T	1.74E+00	1.00E+00	9.93E-01	1.63E+00	2.10E+00	2.07E+00	1.35E+00	1.40E+00	1.15E+00	6.63E-01	9.75E-01	7.80E-01	1.80E+00	1.11E+00
CPCT02020813T	1.83E+00	7.67E-01	1.32E+00	1.61E+00	1.69E+00	2.70E+00	1.11E+00	1.49E+00	8.81E-01	9.37E-01	1.53E+00	7.58E-01	2.37E+00	9.16E-01
CPCT02020785T	1.34E+01	2.40E+00	6.14E+00	5.73E+00	1.04E+01	9.39E+00	7.29E+00	6.20E+00	6.53E+00	4.03E+00	7.29E+00	1.31E+00	2.22E+01	8.96E-01
CPCT02020810T	1.48E+00	5.45E-01	5.70E-01	1.43E+00	2.04E+00	1.64E+00	1.17E+00	1.32E+00	1.44E+00	6.88E-01	9.11E-01	3.60E-01	1.96E+00	5.11E-01
CPCT02020821T	2.43E+00	1.13E+00	2.56E+00	2.53E+00	2.25E+00	2.26E+00	1.43E+00	2.00E+00	8.90E-01	1.92E+00	2.60E+00	7.41E-01	3.29E+00	8.71E-01
CPCT02340100T	7.09E+00	3.67E+00	3.02E+00	4.34E+00	5.37E+00	8.22E+00	3.47E+00	3.91E+00	2.83E+00	2.69E+00	3.33E+00	1.60E+00	9.37E+00	2.34E+00
CPCT02080266T	4.73E-01	6.34E-01	1.44E+00	1.52E+00	1.54E+00	2.50E+00	1.41E+00	1.48E+00	9.24E-01	9.79E-01	1.96E+00	5.49E-01	2.05E+00	7.58E-01
CPCT02010941T	5.86E+00	1.07E+00	1.19E+00	3.51E+00	1.84E+00	5.11E+00	1.77E+00	1.83E+00	1.73E+00	1.49E+00	1.88E+00	6.79E-01	6.10E+00	6.65E-01
CPCT02020822T	3.82E+00	8.94E-01	1.16E+00	3.37E+00	2.89E+00	3.03E+00	2.09E+00	2.30E+00	1.77E+00	3.47E+00	1.66E+00	9.95E-01	4.95E+00	1.10E+00
CPCT02020819T	2.00E+00	4.56E-01	1.96E+00	5.64E-01	2.77E+00	2.61E+00	9.00E-01	1.63E+00	1.17E+00	9.78E-01	2.07E+00	5.89E-01	2.11E+00	4.48E-01
CPCT02050405T	2.17E+00	7.95E-01	1.16E+00	1.84E+00	1.78E+00	2.85E+00	1.61E+00	1.53E+00	1.35E+00	1.01E+00	1.33E+00	4.37E-01	2.55E+00	3.58E-01
CPCT02020837T	4.31E-01	5.03E-01	9.21E-01	1.26E+00	8.99E-01	1.79E+00	8.42E-01	1.21E+00	8.06E-01	4.62E-01	1.54E+00	3.97E-01	1.23E+00	4.01E-01
CPCT02340102T	1.42E+00	8.05E-01	1.08E+00	1.25E+00	1.10E+00	1.43E+00	1.10E+00	1.07E+00	6.15E-01	7.50E-01	1.23E+00	4.34E-01	1.40E+00	5.10E-01
DRUP01060021T	4.15E+00	1.77E+00	3.84E+00	2.52E+00	3.50E+00	5.06E+00	3.10E+00	2.79E+00	1.86E+00	1.84E+00	4.89E+00	1.04E+00	6.25E+00	1.44E+00
DRUP01060019T	7.76E-01	2.12E+00	3.94E+00	5.50E+00	3.01E+00	7.34E+00	2.46E+00	1.85E+00	1.17E+00	2.98E+00	1.53E+00	9.28E-01	5.78E+00	1.97E+00
DRUP01060018T	6.50E-01	1.84E+00	3.45E+00	4.68E+00	3.23E+00	7.01E+00	2.16E+00	1.93E+00	1.37E+00	1.89E+00	1.78E+00	7.56E-01	5.35E+00	1.76E+00
CPCT02070394T	1.81E+00	2.83E+00	9.10E+00	1.31E+00	2.37E+00	1.06E+01	2.70E+01	1.99E+00	4.38E+00	9.44E-01	1.37E+01	1.74E+00	3.28E+01	1.38E+00
CPCT02080269T	4.98E+00	2.03E+00	1.83E+00	3.16E+00	3.92E+00	4.26E+00	2.63E+00	2.73E+00	1.67E+00	1.34E+00	1.81E+00	1.66E+00	5.10E+00	2.38E+00
CPCT02030459TII	6.58E-01	1.36E+00	3.81E+00	1.94E-01	1.76E+00	3.18E+00	1.07E+00	1.28E+00	1.06E+00	7.98E-01	4.14E+00	1.02E+00	2.61E+00	1.58E+00
CPCT02050411T	3.27E+00	1.04E+00	1.47E+00	2.10E+00	2.56E+00	3.16E+00	1.62E+00	1.88E+00	1.67E+00	1.45E+00	1.91E+00	6.58E-01	3.90E+00	8.13E-01
CPCT02030547T	1.35E+00	5.95E-01	8.43E-01	1.65E+00	1.02E+00	1.21E+00	9.94E-01	1.42E+00	3.91E-01	1.09E+00	8.15E-01	4.46E-01	9.47E-01	7.15E-01
CPCT02020828T	9.97E-01	4.28E-01	8.97E-01	1.18E+00	1.14E+00	1.28E+00	3.64E-01	1.22E+00	4.82E-01	4.44E-01	1.29E+00	3.31E-01	1.18E+00	4.22E-01
CPCT02080270T	1.99E+00	9.17E-01	1.66E+00	1.74E+00	1.48E+00	2.58E+00	1.20E+00	1.36E+00	9.12E-01	9.69E-01	1.98E+00	3.50E-01	1.99E+00	5.94E-01
CPCT02060133T	3.49E-01	4.03E-01	3.26E-01	1.14E+00	6.95E-01	9.13E-01	5.95E-01	7.98E-01	1.16E-01	6.74E-01	5.78E-01	1.69E-01	8.21E-01	4.56E-01
CPCT02050276TII	1.63E+00	7.81E-01	1.01E+00	1.51E+00	1.86E+00	2.05E+00	1.24E+00	1.18E+00	6.61E-01	9.12E-01	1.43E+00	5.40E-01	1.88E+00	5.37E-01
CPCT02080271T	1.61E+00	8.11E-01	1.15E+00	1.52E+00	1.80E+00	2.06E+00	5.32E-01	1.83E+00	5.40E-01	5.35E-01	1.49E+00	6.14E-01	1.56E+00	7.17E-01
CPCT02050243T	8.55E-01	5.99E-01	3.35E+00	1.20E+00	1.33E+00	1.79E+00	1.40E+00	1.40E+00	6.41E-01	3.84E-01	3.16E+00	1.79E-01	2.09E+00	6.19E-01
CPCT02060126T	1.77E+00	6.44E-01	1.97E+00	1.12E+00	2.13E+00	1.95E+00	9.49E-01	1.27E+00	1.12E+00	9.49E-01	2.25E+00	3.92E-01	2.03E+00	4.54E-01
DRUP01010106T	4.59E+00	2.67E+00	4.09E+00	1.66E+00	3.31E+00	9.93E+00	1.67E+01	1.25E+00	2.72E+00	1.30E+00	6.30E+00	2.56E+00	1.66E+01	0.00E+00
CPCT02050245T	1.73E+00	1.13E+00	3.77E+00	1.92E+00	2.24E+00	2.59E+00	1.37E+00	1.67E+00	1.16E+00	7.83E-01	4.08E+00	3.28E-01	2.36E+00	7.61E-01
CPCT02030548T	1.52E+00	5.52E-01	1.27E+00	1.70E+00	1.98E+00	1.84E+00	1.01E+00	1.67E+00	9.92E-01	1.04E+00	1.40E+00	5.32E-01	1.97E+00	5.00E-01
CPCT02050415T	1.80E+00	7.42E-01	9.97E-01	2.25E+00	1.74E+00	2.96E+00	1.10E+00	1.48E+00	1.14E+00	1.45E+00	1.81E+00	6.38E-01	2.57E+00	8.56E-01
CPCT02020853T	1.84E+00	3.31E-01	7.73E-01	1.29E+00	1.77E+00	1.95E+00	7.91E-01	1.20E+00	7.42E-01	6.25E-01	4.60E-01	5.32E-01	1.78E+00	2.66E-01
CPCT02020506TII	4.83E+00	1.18E+00	2.12E+00	2.89E+00	4.53E+00	2.68E+00	1.75E+00	3.59E+00	1.80E+00	1.17E+00	1.95E+00	6.87E-01	5.41E+00	9.88E-02
DRUP01080021T	2.86E+00	1.94E+00	2.45E+00	2.08E+00	4.65E+00	5.07E+00	2.72E+00	2.56E+00	1.88E+00	1.46E+00	2.73E+00	1.09E+00	4.78E+00	1.79E+00
CPCT02020854T	1.07E+00	4.81E-01	8.64E-01	1.44E+00	1.47E+00	1.34E+00	1.26E+00	1.44E+00	8.29E-01	7.89E-01	1.05E+00	3.75E-01	1.46E+00	3.61E-01
CPCT02010994T	2.10E+00	5.62E-01	1.52E+00	1.49E+00	1.99E+00	1.75E+00	7.51E-01	1.22E+00	5.35E-01	1.44E+00	1.60E+00	3.98E-01	2.08E+00	3.92E-01
DRUP01080022T	7.06E+00	1.26E+00	3.22E+00	6.05E+00	3.58E+00	9.98E+00	4.87E+00	2.11E+00	4.07E+00	1.37E+00	3.33E+00	1.14E+00	1.16E+01	8.49E-01
CPCT02020863T	3.45E+00	1.10E+00	1.65E+00	3.14E+00	3.72E+00	3.16E+00	2.00E+00	2.64E+00	2.23E+00	2.12E+00	1.99E+00	6.82E-01	4.68E+00	8.30E-01
CPCT02050276T	1.55E+00	7.84E-01	1.17E+00	1.57E+00	1.40E+00	1.96E+00	9.97E-01	1.47E+00	5.27E-01	6.07E-01	1.34E+00	2.99E-01	2.10E+00	5.86E-01
CPCT02030552T	2.19E+00	6.11E-01	1.18E+00	1.49E+00	1.89E+00	1.99E+00	1.01E+00	1.53E+00	8.79E-01	1.41E+00	1.21E+00	5.87E-01	2.33E+00	5.85E-01
CPCT02080275T	5.37E+00	1.13E+00	1.64E+00	3.22E+00	3.16E+00	4.96E+00	2.50E+00	1.78E+00	1.53E+00	1.87E+00	1.93E+00	7.85E-01	6.33E+00	1.00E+00
CPCT02030553T	6.29E+00	9.88E-01	2.51E+00	4.05E+00	5.42E+00	3.86E+00	3.04E+00	3.53E+00	3.08E+00	3.48E+00	2.23E+00	6.86E-01	8.43E+00	8.48E-01
CPCT02120062T	6.56E+00	1.08E+00	1.98E+00	3.33E+00	7.59E+00	5.16E+00	3.36E+00	4.58E+00	4.41E+00	1.17E+00	2.60E+00	7.73E-01	1.04E+01	3.98E-01
CPCT02020615T	1.59E+00	1.69E+00	2.41E+00	2.56E+00	2.04E+00	2.90E+00	1.77E+00	1.83E+00	7.44E-01	2.25E+00	2.55E+00	1.01E+00	2.44E+00	1.42E+00
CPCT02050421T	3.48E+00	2.67E+00	2.42E+00	4.48E+00	2.32E+00	6.51E+00	2.74E+00	1.91E+00	1.42E+00	1.68E+00	2.44E+00	9.64E-01	5.10E+00	1.01E+00
CPCT02120053T	2.63E+00	8.79E-01	1.65E+00	1.86E+00	2.32E+00	2.82E+00	1.83E+00	1.84E+00	1.23E+00	9.84E-01	2.23E+00	6.41E-01	3.13E+00	3.44E-01
CPCT02020626T	2.28E+00	6.81E-01	1.36E+00	1.78E+00	2.13E+00	2.37E+00	1.43E+00	1.68E+00	1.02E+00	9.81E-01	1.60E+00	6.28E-01	2.33E+00	9.45E-01
CPCT02120055T	1.14E+00	1.14E+00	1.51E+00	1.78E+00	1.56E+00	1.23E+00	1.01E+00	1.96E+00	5.92E-01	7.92E-01	1.28E+00	4.43E-01	1.20E+00	5.83E-01
CPCT02070422T	3.29E+00	2.62E+00	4.05E+00	2.08E+00	3.78E+00	7.93E+00	9.83E+00	1.52E+00	2.30E+00	2.50E+00	4.30E+00	1.83E+00	7.82E+00	1.12E+00
CPCT02120058T	1.66E+00	7.48E-01	1.49E+00	2.03E+00	2.22E+00	1.15E+00	1.08E+00	1.75E+00	6.06E-01	1.40E+00	1.35E+00	5.51E-01	1.66E+00	6.73E-01
CPCT02170017T	2.16E+00	1.60E+00	1.66E+00	1.70E+00	2.05E+00	2.56E+00	1.44E+00	1.69E+00	4.41E-01	7.89E-01	2.08E+00	8.80E-01	3.19E+00	1.37E+00
CPCT02020609T	9.73E+00	2.15E+00	3.97E+00	5.06E+00	5.76E+00	7.08E+00	4.33E+00	4.40E+00	2.75E+00	4.42E+00	3.82E+00	1.10E+00	1.21E+01	1.22E+00
CPCT02050249T	1.47E+00	9.15E-01	2.32E+00	1.29E+00	1.74E+00	2.68E+00	1.53E+00	1.72E+00	1.12E+00	1.10E+00	2.81E+00	5.33E-01	2.45E+00	7.54E-01
CPCT02060146T	6.78E-01	1.44E+00	3.01E+00	3.01E+00	2.17E+00	4.92E+00	1.88E+00	1.71E+00	1.06E+00	1.23E+00	7.21E-01	7.13E-01	3.57E+00	1.31E+00
CPCT02060049T	5.05E-01	4.22E-01	1.19E+00	5.18E-01	1.07E+00	1.08E+00	7.36E-01	7.50E-01	4.30E-01	3.46E-01	1.30E+00	3.86E-01	9.78E-01	5.77E-01
CPCT02050159T	4.80E+00	1.24E+00	3.21E+00	2.43E+00	2.88E+00	3.73E+00	2.14E+00	1.90E+00	1.99E+00	1.32E+00	3.20E+00	5.70E-01	5.58E+00	6.17E-01
CPCT02010550T	2.37E+00	9.49E-01	1.10E+00	1.82E+00	1.68E+00	2.87E+00	1.24E+00	1.17E+00	9.96E-01	9.91E-01	1.65E+00	6.10E-01	2.89E+00	4.79E-01
CPCT02010534T	3.62E-01	3.94E-02	3.13E-01	9.58E-01	6.48E-01	6.02E-01	6.61E-01	6.87E-01	4.91E-01	5.00E-01	4.89E-01	2.08E-01	8.55E-01	4.60E-01
CPCT02050079TII	3.28E-01	2.89E-01	8.80E-01	8.55E-01	1.62E+00	1.65E+00	5.48E-01	1.11E+00	5.38E-01	5.41E-01	8.04E-01	4.83E-01	1.42E+00	6.33E-01
CPCT02050170T	4.50E-01	9.67E+01	8.50E+01	0.00E+00	6.41E+01	7.01E+01	1.50E+00	4.47E+00	1.60E+00	0.00E+00	4.50E+01	5.79E+00	6.60E+01	8.23E+00
CPCT02050168T	1.55E+00	9.95E-01	2.11E+00	1.88E+00	1.34E+00	2.03E+00	1.25E+00	1.21E+00	1.08E+00	1.27E+00	2.26E+00	5.71E-01	2.31E+00	7.62E-01
CPCT02020509T	8.31E-01	1.67E-01	8.99E-01	8.48E-01	1.03E+00	4.68E-01	7.08E-01	8.18E-01	5.13E-01	4.11E-01	1.05E+00	4.09E-01	1.12E+00	5.36E-01
CPCT02050073TII	9.95E-01	5.66E-01	1.81E+00	1.32E+00	1.26E+00	2.41E+00	1.23E+00	1.13E+00	1.13E+00	8.33E-01	2.79E+00	6.51E-01	2.32E+00	7.29E-01
CPCT02020511T	5.06E+00	9.63E-01	2.13E+00	2.30E+00	4.48E+00	3.66E+00	2.21E+00	2.96E+00	2.25E+00	1.59E+00	1.50E+00	8.44E-01	5.38E+00	8.08E-01
CPCT02010565T	1.98E+00	7.13E-01	2.15E+00	2.30E+00	1.90E+00	2.74E+00	1.42E+00	1.56E+00	9.51E-01	1.70E+00	2.09E+00	6.44E-01	2.55E+00	1.08E+00
CPCT02020517T	2.66E+00	5.45E-01	1.52E+00	1.90E+00	2.26E+00	3.31E+00	1.32E+00	1.43E+00	1.22E+00	1.56E+00	1.26E+00	5.84E-01	2.96E+00	6.10E-01
CPCT02010393TII	3.52E+00	1.30E+00	3.25E+00	1.96E-01	3.54E+00	3.01E+00	2.68E+00	2.34E+00	2.03E+00	6.17E-01	3.73E+00	6.20E-01	4.63E+00	8.41E-01
CPCT02050181T	6.90E-01	3.43E+00	6.06E+00	1.89E+00	1.68E+00	5.21E+00	1.07E+00	9.83E-01	2.42E+00	1.70E+00	7.03E+00	8.80E-01	3.82E+00	1.37E+00
CPCT02020519T	3.95E+00	1.05E+00	2.00E+00	2.22E+00	2.59E+00	2.92E+00	1.75E+00	1.76E+00	1.36E+00	1.44E+00	2.13E+00	6.18E-01	4.06E+00	8.74E-01
CPCT02020520T	4.27E+00	8.74E-01	1.93E+00	2.24E+00	3.71E+00	4.28E+00	2.78E+00	2.39E+00	1.62E+00	1.17E+00	2.90E+00	7.59E-01	6.23E+00	8.24E-01
CPCT02060092T	1.08E+00	6.58E-01	8.34E-01	1.47E+00	1.01E+00	1.34E+00	4.09E-01	9.76E-01	5.30E-01	1.37E+00	1.09E+00	3.71E-01	1.11E+00	4.14E-01
CPCT02080116T	6.13E+00	1.57E+00	2.64E+00	4.25E+00	5.06E+00	5.23E+00	2.86E+00	3.32E+00	2.62E+00	3.96E+00	3.20E+00	1.19E+00	7.08E+00	6.08E-01
CPCT02080113T	1.78E+00	6.50E-01	1.13E+00	1.55E+00	1.56E+00	2.24E+00	1.44E+00	1.09E+00	6.96E-01	1.00E+00	1.68E+00	4.68E-01	2.79E+00	6.00E-01
CPCT02050194T	3.66E+00	7.96E-01	2.38E+00	1.90E+00	2.16E+00	3.21E+00	1.95E+00	1.85E+00	9.27E-01	1.40E+00	2.61E+00	6.79E-01	3.81E+00	5.81E-01
CPCT02050193T	2.47E+00	8.83E-01	3.43E+00	2.28E+00	2.61E+00	1.83E+00	1.49E+00	1.52E+00	1.64E+00	1.83E+00	3.49E+00	5.19E-01	2.27E+00	5.57E-01
CPCT02030350T	6.61E-01	6.81E-01	1.55E+00	1.29E+00	1.44E+00	1.94E+00	1.13E+00	1.12E+00	6.37E-01	5.86E-01	1.89E+00	6.39E-01	1.56E+00	5.42E-01
CPCT02080123T	6.03E+00	1.39E+00	3.87E+00	2.42E+00	4.67E+00	3.52E+00	2.55E+00	3.08E+00	2.48E+00	1.79E+00	3.32E+00	9.70E-01	6.68E+00	1.20E+00
CPCT02020542T	6.34E-01	9.91E-01	1.88E+00	8.14E-01	1.29E+00	3.76E+00	1.98E+00	1.05E+00	1.37E+00	7.36E-01	2.33E+00	6.31E-01	3.36E+00	8.94E-01
CPCT02010505T	3.59E-01	4.83E-01	1.09E+00	1.25E+00	1.58E+00	1.51E+00	0.00E+00	1.26E+00	3.57E-01	9.24E-01	1.49E+00	4.72E-01	1.57E+00	5.27E-01
CPCT02020553T	4.50E-01	6.40E-01	1.50E+00	7.71E-01	1.15E+00	1.56E+00	9.11E-01	8.62E-01	2.99E-01	8.33E-01	1.42E+00	3.58E-01	1.15E+00	3.87E-01
CPCT02170006T	1.74E+00	5.85E-01	8.38E-01	1.29E+00	1.69E+00	1.24E+00	1.02E+00	1.24E+00	9.92E-01	8.56E-01	9.23E-01	5.34E-01	1.75E+00	4.37E-01
CPCT02050212T	2.28E+00	9.10E-01	1.59E+00	1.84E+00	2.01E+00	2.27E+00	1.38E+00	1.88E+00	9.92E-01	1.03E+00	1.84E+00	8.38E-01	2.48E+00	8.46E-01
CPCT02050214T	1.09E+00	5.86E-01	1.51E+00	8.12E-01	1.09E+00	1.41E+00	1.08E+00	1.12E+00	3.57E-01	8.00E-01	1.64E+00	3.30E-01	1.27E+00	4.45E-01
CPCT02050217T	1.16E+00	5.46E-01	9.51E-01	1.26E+00	1.45E+00	1.23E+00	8.06E-01	1.31E+00	5.85E-01	6.48E-01	1.15E+00	4.09E-01	1.48E+00	6.47E-01
CPCT02020573T	1.32E+00	5.48E-01	8.79E-01	1.31E+00	1.27E+00	1.57E+00	7.42E-01	1.36E+00	7.54E-01	6.92E-01	1.12E+00	4.20E-01	1.20E+00	4.48E-01
CPCT02180032T	3.16E-01	5.41E-01	3.14E-01	1.24E+00	1.33E+00	1.36E+00	7.00E-01	1.22E+00	6.46E-01	8.23E-01	7.37E-01	3.62E-01	1.20E+00	3.40E-01
CPCT02010503TII	2.28E+00	1.45E+00	2.07E+00	2.99E+00	4.23E+00	3.61E+00	2.24E+00	3.18E+00	1.56E+00	7.13E-01	2.53E+00	7.27E-01	4.25E+00	6.08E-01
CPCT02010622T	2.62E+00	7.85E-01	1.01E+00	2.18E+00	1.78E+00	2.51E+00	8.09E-01	1.42E+00	1.38E+00	2.06E+00	9.42E-01	4.91E-01	2.71E+00	6.48E-01
CPCT02030370T	7.45E-01	8.28E-01	1.04E+00	1.41E+00	1.53E+00	2.05E+00	9.79E-01	1.36E+00	3.47E-01	5.88E-01	1.25E+00	4.34E-01	1.40E+00	1.00E+00
CPCT02030339TII	3.13E+00	1.11E+00	1.76E+00	2.17E+00	1.82E+00	3.03E+00	2.18E+00	1.92E+00	7.82E-01	8.99E-01	2.07E+00	6.74E-01	3.11E+00	9.10E-01
CPCT02040142T	3.73E-01	4.94E-01	1.97E+00	1.37E+00	1.10E+00	2.21E+00	1.13E+00	1.75E+00	5.29E-01	4.86E-01	2.21E+00	4.99E-01	1.84E+00	2.26E-01
CPCT02120050T	6.35E-01	1.09E-01	5.41E-01	1.21E+00	9.46E-01	1.20E+00	8.26E-01	1.20E+00	5.45E-01	4.65E-01	7.98E-01	3.95E-01	1.12E+00	3.17E-01
CPCT02120037T	3.64E+00	8.92E-01	1.70E+00	2.67E+00	3.20E+00	2.94E+00	1.85E+00	2.23E+00	1.01E+00	1.38E+00	1.77E+00	6.38E-01	3.11E+00	7.78E-01
CPCT02050235T	5.84E+00	2.28E+00	4.12E+00	2.52E+00	4.18E+00	4.39E+00	2.62E+00	2.92E+00	2.38E+00	1.54E+00	3.80E+00	8.61E-01	6.90E+00	1.31E+00
CPCT02050236T	4.37E+00	9.52E-01	1.90E+00	2.83E+00	3.52E+00	3.70E+00	2.76E+00	2.73E+00	1.74E+00	1.64E+00	1.93E+00	6.86E-01	6.30E+00	6.12E-01
CPCT02050232T	9.74E-01	5.53E-01	9.56E-01	1.20E+00	8.88E-01	1.65E+00	9.62E-01	1.22E+00	6.32E-01	8.52E-01	1.23E+00	5.20E-01	1.44E+00	3.97E-01
CPCT02050240T	6.01E+00	4.23E+00	3.79E+00	6.54E+00	5.12E+00	8.44E+00	3.37E+00	3.52E+00	3.06E+00	2.30E+00	4.08E+00	1.60E+00	9.03E+00	2.49E+00
CPCT02020574T	3.16E-01	2.94E-01	3.77E-01	9.47E-01	1.18E+00	3.96E-01	3.12E-01	1.06E+00	5.25E-01	4.97E-01	2.94E-01	1.72E-01	6.12E-01	4.68E-01
CPCT02020578T	6.92E+00	1.64E+00	2.23E+00	3.68E+00	4.95E+00	5.57E+00	2.89E+00	3.27E+00	2.66E+00	2.05E+00	3.35E+00	9.94E-01	9.82E+00	1.00E+00
CPCT02090005T	5.77E+00	1.32E+00	2.41E+00	1.44E+00	8.69E+00	4.88E+00	2.83E+00	4.32E+00	4.46E+00	1.93E+00	2.50E+00	9.29E-01	8.67E+00	1.02E+00
CPCT02020423T	4.48E+00	9.11E-01	1.72E+00	2.74E+00	3.15E+00	3.00E+00	2.15E+00	2.12E+00	2.03E+00	2.51E+00	1.36E+00	7.14E-01	5.20E+00	3.95E-01
CPCT02020426T	5.00E+00	6.72E+00	4.78E+00	7.58E+00	3.65E+00	6.79E+00	1.33E+00	2.60E+00	2.83E+00	8.27E+00	2.27E+00	5.18E+00	6.42E+00	8.67E+00
CPCT02050092T	2.60E+00	6.69E-01	1.16E+00	1.68E+00	1.21E+00	2.32E+00	9.53E-01	9.39E-01	1.08E+00	1.27E+00	1.41E+00	4.85E-01	2.54E+00	6.45E-01
CPCT02010403TII	3.43E-01	2.76E-01	5.99E-01	1.06E+00	9.12E-01	1.12E+00	5.00E-01	8.83E-01	5.84E-01	4.82E-01	8.65E-01	4.73E-02	1.03E+00	4.59E-01
CPCT02020412T	3.18E+00	8.02E-01	1.03E+00	1.79E+00	1.24E+00	2.49E+00	1.86E+00	1.23E+00	9.74E-01	5.61E-01	9.17E-01	2.45E-01	3.17E+00	4.00E-01
CPCT02010469T	1.91E+00	7.00E-01	1.31E+00	1.57E+00	2.37E+00	1.97E+00	1.44E+00	1.70E+00	9.41E-01	1.18E+00	1.29E+00	5.63E-01	2.10E+00	4.50E-01
CPCT02180012T	1.09E+00	5.53E-01	8.72E-01	1.24E+00	1.53E+00	1.18E+00	5.23E-01	9.56E-01	7.21E-01	7.24E-01	8.78E-01	3.02E-01	1.30E+00	3.11E-01
CPCT02020445T	1.16E+00	8.12E-01	1.56E+00	1.23E+00	1.43E+00	1.76E+00	4.64E-01	1.03E+00	8.16E-01	0.00E+00	1.91E+00	4.42E-01	1.39E+00	3.66E-01
